dataset,model,target,transform,shots,n_query,episodes,alpha,features,n_hop,hop_sizes,node_limit,spearman,rmse,r2,n_pred,n_labeled
twibot20,__features_only__,followers_count,log1p,10,12,500,1.0,raw_x,2,"9,9",101,0.1597396683482624,3.1302876969305395,-0.09708636434120388,6000,162988
twibot20,sat_h2m_shared_s000000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.4246706129836022,6.5825568478326275,-3.851338132480495,6000,162988
twibot20,sat_h2m_all8_s000100,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.3547729162591199,303.2609540526893,-10295.871725308822,6000,162988
twibot20,sat_h2m_all8_s000500,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.31161708484655587,288.7687690631468,-9335.256006271906,6000,162988
twibot20,sat_h2m_all8_s001000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.3356599348401549,31.45995194164153,-109.81241463037802,6000,162988
twibot20,sat_h2m_all8_s002000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.3187506276642293,130.23523352955553,-1898.0189341782066,6000,162988
twibot20,sat_h2m_all8_s010000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.3022582391363898,870.3072726833249,-84803.23367558164,6000,162988
twibot20,sat_h2m_all8_s040000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.2979780935457759,19.177006149465864,-40.17502994410601,6000,162988
twibot20,sat_h2m_ukr_s000100,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.40020526433919157,27.998793805266416,-86.7709811430457,6000,162988
twibot20,sat_h2m_ukr_s000500,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.298886162128206,45.89743321853217,-234.8571822911088,6000,162988
twibot20,sat_h2m_ukr_s001000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.31851980688481946,13.092857965438334,-18.192927455848608,6000,162988
twibot20,sat_h2m_ukr_s002000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.2864978952994468,13.640605666253844,-19.83241492725402,6000,162988
twibot20,sat_h2m_ukr_s010000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.2790042422781017,8.5610433587833,-7.205890206355763,6000,162988
twibot20,sat_h2m_ukr_s040000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.24602490497507967,221.09099538965356,-5471.861006596899,6000,162988
twibot20,sat_h2m_covid_s000100,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.40223708919273643,33.17487517373695,-122.22275189042445,6000,162988
twibot20,sat_h2m_covid_s000500,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.2713302043630931,28.822689662353707,-92.01250051913725,6000,162988
twibot20,sat_h2m_covid_s001000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.2766878647022353,17.307824185271926,-32.539552096507165,6000,162988
twibot20,sat_h2m_covid_s002000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.2875176191864143,7.966454547281817,-6.105628109303122,6000,162988
twibot20,sat_h2m_covid_s010000,followers_count,log1p,10,12,500,1.0,frozen_emb,2,"9,9",101,0.2611544735317016,38.851692770742616,-168.0021385587771,6000,162988
