order,rung,added,source_count,ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference,target_mean,in_mixture_mean,held_out_mean
A,1,ukr_rus_twitter,1,0.0004929583519697189,0.04331628233194351,0.04022407531738281,0.242330864071846,0.4139211177825928,0.07171270251274109,0.039872556924819946,0.01827278733253479,0.019938187673687935,0.09889794803327984,0.0004929583519697189,0.11119857174344361
A,2,covid19_twitter,2,0.0005178664578124881,4.074090156791499e-06,0.0006732452311553061,0.12375233322381973,0.0028628555592149496,0.18101777136325836,0.012729725800454617,9.78400421445258e-05,0.10331287980079651,0.04721873239653481,0.0002609702739846398,0.060635235860120575
A,3,midterm,3,0.0010721840662881732,1.2035414329147898e-05,0.00023611811047885567,0.01663021557033062,0.001245270250365138,0.09038390219211578,0.010855133645236492,0.0002771336294244975,0.02190418541431427,0.015846242032542552,0.0004401125303653923,0.023549306783631135
A,4,covid_political,4,0.0010163100669160485,2.5189156076521613e-05,0.0004999666707590222,5.947409590589814e-06,0.001396823558025062,0.10534216463565826,0.010359532199800014,0.0003313102060928941,0.0022316339891403913,0.013467653099117646,0.00038685332583554555,0.023932292917743327
A,5,election2020,5,0.0010150260059162974,9.208647497871425e-06,0.000510908430442214,1.995144884858746e-06,0.00018475500110071152,0.11180795729160309,0.0034747282043099403,0.00022536747565027326,0.002196453744545579,0.013269599993994538,0.00034437864596839065,0.02942612667902722
A,6,ukr_rus_suspended,6,0.0013104395475238562,4.6288492740131915e-05,0.00017581456631887704,9.342819794255774e-06,0.00019084553059656173,0.00093041080981493,0.01707128807902336,0.0007039299234747887,0.00017136629321612418,0.002289969562500321,0.0004438569611314354,0.005982194765238091
A,7,twibot20,7,0.001172784948721528,2.9893353712395765e-05,0.00010642430424923077,6.436909643525723e-06,0.00011422991519793868,0.0009545003995299339,0.0003803498693741858,0.0003185200912412256,0.0005201459862291813,0.0004003650864332384,0.0003949456714898198,0.00041933303873520344
A,8,cp_hk_twitter,8,0.0013177420478314161,3.2387491955887526e-05,0.00012567029625643045,5.572635473072296e-06,0.0001279256393900141,0.0010704633314162493,0.0002936545934062451,0.00014697560982313007,0.0003422142763156444,0.0003847339913186766,0.0003900489556940556,0.0003422142763156444
A,9,facebook_page_reference,9,0.0018491579685360193,7.868648390285671e-05,0.0003933475527446717,2.0896404748782516e-05,0.0004226819146424532,0.0023967453744262457,0.0006469060317613184,0.0002720477059483528,4.576219362206757e-05,0.0006806924033703075,0.0006806924033703075,
B,1,ukr_rus_suspended,1,0.004214120097458363,0.0030606240034103394,0.0007359826704487205,0.00020666261843871325,0.0021092749666422606,0.0003229711146559566,0.024701988324522972,0.0031409983057528734,0.00014549786283168942,0.004293124440462432,0.0003229711146559566,0.004789393606188241
B,2,election2020,2,0.0026563871651887894,0.00011994349188171327,0.0002808483550325036,0.00011883871047757566,0.00045305091771297157,0.0003563400823622942,0.004776503890752792,0.00015981303295120597,4.7453190745727625e-06,0.000991830107270491,0.0004046955000376329,0.0011595828521941648
B,3,ukr_rus_twitter,3,0.0008477442897856236,3.594259760575369e-05,0.000799994042608887,0.00011140812421217561,0.0005518153193406761,0.00042408204171806574,0.003353171981871128,6.262171518756077e-05,5.613539087789832e-06,0.0006880437390464067,0.0006078805502814552,0.0007281253334288825
