batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,1,65,140923,9,9,0.8,True,True
0,1,66,32505,2,2,1.0,False,False
0,1,67,14421,1,1,1.0,False,False
0,1,68,29356,77,61,0.15,True,True
0,1,69,24025,0,0,1.0,False,False
0,1,70,131248,2,2,1.0,False,False
0,1,71,67883,9,9,0.6363636363636364,True,True
0,1,72,79266,10,10,0.3333333333333333,True,True
0,1,73,108389,11,11,0.2222222222222222,True,True
0,1,74,95415,9,9,0.6363636363636364,True,True
0,1,75,90553,19,20,0.11428571428571428,True,True
0,1,76,34826,9,9,0.2,True,True
0,1,77,67754,29,29,0.16,True,True
0,1,78,120141,2,2,1.0,False,False
0,1,79,136222,32,33,0.41304347826086957,True,True
0,2,0,58421,7,7,1.0,False,False
0,2,1,78712,10,9,0.26666666666666666,True,True
0,2,2,64815,5,5,1.0,False,False
0,2,3,8321,9,10,0.05555555555555555,True,True
0,2,4,142855,20,20,0.1111111111111111,True,True
0,2,5,112134,15,15,1.0,False,False
0,2,6,108005,3,3,1.0,False,False
0,2,7,83520,5,5,1.0,False,False
0,2,8,92640,4,4,1.0,False,False
0,2,9,125058,3,3,1.0,False,False
0,2,10,126684,10,10,0.1111111111111111,True,True
0,2,11,46606,4,4,1.0,False,False
0,2,12,44299,20,20,0.14285714285714285,True,True
0,2,13,52537,2,2,1.0,False,False
0,2,14,45776,10,10,0.05263157894736842,True,True
0,2,15,109034,16,15,0.4090909090909091,True,True
0,2,16,43990,9,10,0.5833333333333334,True,True
0,2,17,148018,3,3,1.0,False,False
0,2,18,42174,66,67,0.43010752688172044,True,True
0,2,19,56758,19,20,0.21875,True,True
0,2,20,21464,1,1,1.0,False,False
0,2,21,146420,1,1,1.0,False,False
0,2,22,1096,6,6,1.0,False,False
0,2,23,75993,4,4,1.0,False,False
0,2,24,87757,1,1,1.0,False,False
0,2,25,59980,10,10,0.1111111111111111,True,True
0,2,26,124982,2,2,1.0,False,False
0,2,27,141402,2,2,1.0,False,False
0,2,28,111056,1,1,1.0,False,False
0,2,29,1841,3,3,1.0,False,False
0,2,30,137821,0,0,1.0,False,False
0,2,31,46731,2,2,1.0,False,False
0,2,32,71725,12,12,0.5,True,True
0,2,33,103468,19,20,0.21875,True,True
0,2,34,105546,2,2,1.0,False,False
0,2,35,99944,11,10,0.3125,True,True
0,2,36,113460,10,10,0.05263157894736842,True,True
0,2,37,98104,1,1,1.0,False,False
0,2,38,91888,0,0,1.0,False,False
0,2,39,36237,0,0,1.0,False,False
0,2,40,83916,1,1,1.0,False,False
0,2,41,147819,11,11,1.0,False,False
0,2,42,11000,2,2,1.0,False,False
0,2,43,148867,1,1,1.0,False,False
0,2,44,83504,1,1,1.0,False,False
0,2,45,133794,34,35,0.35294117647058826,True,True
0,2,46,123557,0,0,1.0,False,False
0,2,47,62311,87,81,0.19148936170212766,True,True
0,2,48,19011,0,0,1.0,False,False
0,2,49,81867,7,7,1.0,False,False
0,2,50,42999,19,19,0.1875,True,True
0,2,51,132577,2,2,1.0,False,False
0,2,52,9946,5,5,1.0,False,False
0,2,53,131371,9,9,1.0,False,False
0,2,54,133641,15,15,0.42857142857142855,True,True
0,2,55,44968,14,14,0.2727272727272727,True,True
0,2,56,130020,12,12,0.5,True,True
0,2,57,129551,1,1,1.0,False,False
0,2,58,78414,9,9,0.6363636363636364,True,True
0,2,59,41758,7,7,1.0,False,False
0,2,60,101974,0,0,1.0,False,False
0,2,61,37111,11,11,1.0,False,False
0,2,62,79510,54,55,0.3974358974358974,True,True
0,2,63,20237,0,0,1.0,False,False
0,2,64,51355,0,0,1.0,False,False
