model,dataset,shots,target,task,split,run,roc_auc,accuracy,f1
cov_CL,twibot20,10,,classification,test,eval_cov_CL_to_twibot20_pl_10shot_21_07_2026_13_46_42,0.6347064861111111,0.6119166666666667,0.6008399760006857
cov_FP,twibot20,10,,classification,test,eval_cov_FP_to_twibot20_pl_10shot_21_07_2026_13_46_42,0.4828743333333333,0.4893333333333333,0.6399529964747356
cov_MIX,twibot20,10,,classification,test,eval_cov_MIX_to_twibot20_pl_10shot_21_07_2026_13_46_42,0.6208433194444445,0.5871666666666666,0.5921962462956866
cov_NM,twibot20,10,,classification,test,eval_cov_NM_to_twibot20_pl_10shot_21_07_2026_13_46_42,0.6245330972222222,0.5915,0.592179700499168
all8_NM,twibot20,10,,classification,test,eval_all8_NM_to_twibot20_pl_10shot_21_07_2026_13_46_57,0.6460583055555555,0.6063333333333333,0.5988451086956522
all8_CL,twibot20,10,,classification,test,eval_all8_CL_to_twibot20_pl_10shot_21_07_2026_13_46_58,0.6462165555555555,0.6139166666666667,0.5728772932608095
all8_FP,twibot20,10,,classification,test,eval_all8_FP_to_twibot20_pl_10shot_21_07_2026_13_46_58,0.5881536944444444,0.5136666666666667,0.6496998799519808
all8_MIX,twibot20,10,,classification,test,eval_all8_MIX_to_twibot20_pl_10shot_21_07_2026_13_47_03,0.6429210555555556,0.6113333333333333,0.611527569548559
cov_NM,election2020,10,,classification,test,eval_cov_NM_to_election2020_pl_10shot_21_07_2026_13_47_11,0.978838,0.967,0.9673590504451038
cov_CL,election2020,10,,classification,test,eval_cov_CL_to_election2020_pl_10shot_21_07_2026_13_47_15,0.5768540000000001,0.568,0.5924528301886792
cov_FP,election2020,10,,classification,test,eval_cov_FP_to_election2020_pl_10shot_21_07_2026_13_47_15,0.31026,0.403,0.538996138996139
cov_MIX,election2020,10,,classification,test,eval_cov_MIX_to_election2020_pl_10shot_21_07_2026_13_47_25,0.980188,0.959,0.958876629889669
all8_NM,election2020,10,,classification,test,eval_all8_NM_to_election2020_pl_10shot_21_07_2026_13_47_27,0.980152,0.961,0.9616519174041298
all8_CL,election2020,10,,classification,test,eval_all8_CL_to_election2020_pl_10shot_21_07_2026_13_47_34,0.649796,0.622,0.6235059760956175
all8_FP,election2020,10,,classification,test,eval_all8_FP_to_election2020_pl_10shot_21_07_2026_13_47_34,0.6262,0.505,0.6675621222296844
all8_MIX,election2020,10,,classification,test,eval_all8_MIX_to_election2020_pl_10shot_21_07_2026_13_47_46,0.978332,0.952,0.952286282306163
