rung,test_graph,entry_rung,rel_to_entry,role,auc_interleaved,auc_sequential,delta_sequential_minus_interleaved
1,ukr_rus_twitter,1,0,newcomer,0.9455077090836527,0.9432019108397192,-0.00230579824393351
1,covid19_twitter,2,-1,heldout,0.9711098078703703,0.970507894811622,-0.000601913058748238
1,midterm,3,-2,heldout,0.8699922557950192,0.8708133793901659,0.0008211235951467444
1,covid_political,4,-3,heldout,0.8448359347222225,0.8443545294220945,-0.00048140530012796834
1,election2020,5,-4,heldout,0.8302339057471265,0.8225289586206894,-0.0077049471264371006
1,ukr_rus_suspended,6,-5,heldout,0.8232057425287356,0.7918827586206896,-0.031322983908046
1,twibot20,7,-6,heldout,0.9099036612867178,0.9115502474137931,0.0016465861270752447
1,cp_hk_twitter,8,-7,heldout,0.7063602985632186,0.7088645492816092,0.002504250718390666
2,ukr_rus_twitter,1,1,incumbent,0.9431266049648788,0.926396430252235,-0.01673017471264382
2,covid19_twitter,2,0,newcomer,0.980046657774585,0.9808160168422734,0.0007693590676883799
2,midterm,3,-1,heldout,0.8841330986270752,0.8857878337962964,0.0016547351692212109
2,covid_political,4,-2,heldout,0.8474316738186461,0.8476708445242658,0.00023917070561962905
2,election2020,5,-3,heldout,0.8268513448275864,0.8368345379310346,0.009983193103448196
2,ukr_rus_suspended,6,-4,heldout,0.8000634321839081,0.8237677839080461,0.023704351724137984
2,twibot20,7,-5,heldout,0.9161999911398467,0.9208277558588762,0.004627764719029481
2,cp_hk_twitter,8,-6,heldout,0.7173846643678162,0.721443141810345,0.004058477442528741
3,ukr_rus_twitter,1,2,incumbent,0.9389399155172413,0.8735778379629628,-0.06536207755427847
3,covid19_twitter,2,1,incumbent,0.9784782560504471,0.9525813032247766,-0.025896952825670505
3,midterm,3,0,newcomer,0.9127096802362706,0.9210112997605364,0.00830161952426578
3,covid_political,4,-1,heldout,0.8504164077266924,0.8444397313537676,-0.005976676372924761
3,election2020,5,-2,heldout,0.8256378528735632,0.8199951678160919,-0.005642685057471231
3,ukr_rus_suspended,6,-3,heldout,0.7938895264367817,0.7269394482758622,-0.06695007816091947
3,twibot20,7,-4,heldout,0.9171295515644957,0.884386244220945,-0.03274330734355069
3,cp_hk_twitter,8,-5,heldout,0.7122497915229887,0.6796700880747125,-0.03257970344827621
4,ukr_rus_twitter,1,3,incumbent,0.9360493834131545,0.7893373862068968,-0.14671199720625772
4,covid19_twitter,2,2,incumbent,0.976840920019157,0.8936416198435503,-0.08319930017560673
4,midterm,3,1,incumbent,0.9108899937579823,0.823311726516603,-0.08757826724137929
4,covid_political,4,0,newcomer,0.9083534875798212,0.9108331575031927,0.0024796699233715636
4,election2020,5,-1,heldout,0.8199114735632183,0.7856101333333333,-0.03430134022988496
4,ukr_rus_suspended,6,-2,heldout,0.8166782873563216,0.6301557977011495,-0.18652248965517215
4,twibot20,7,-3,heldout,0.9163527072477652,0.8286133932311621,-0.08773931401660306
4,cp_hk_twitter,8,-4,heldout,0.7153107176724138,0.630811494827586,-0.0844992228448278
