model_id	rung	seed	schedule	sources	order	segment_sources	segment_steps	source_counts
r2_blocked_s0	2	0	blocked	ukr_rus,covid	ukr_rus,covid	ukr_rus,covid	10,10	10,10
r2_replay100_s0	2	0	replay100	ukr_rus,covid	ukr_rus,covid	ukr_rus,covid,ukr_rus,covid,ukr_rus,covid	4,4,4,4,2,2	10,10
r2_interleaved_s0	2	0	interleaved	ukr_rus,covid	ukr_rus,covid	ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	10,10
