family,label_budget_per_class,head_updates,training_loss_mean,training_loss_std,training_roc_auc_mean
GraphSAGE,1,0,0.6801717678705851,0.06425065016405107,0.75
GraphSAGE,1,1,0.4577343712250392,0.155618155081112,1.0
GraphSAGE,1,3,0.25541183569778997,0.18396233046555927,1.0
GraphSAGE,1,10,0.0811256900002869,0.12110182917096744,1.0
GraphSAGE,1,30,0.017033125096228674,0.03288578263241121,1.0
GraphSAGE,1,100,0.0036128987837097328,0.0062023784809710075,1.0
GraphSAGE,10,0,0.694072887301445,0.02675204549149498,0.5454166666666667
GraphSAGE,10,1,0.6287264923254648,0.026344361514741906,0.7212500000000001
GraphSAGE,10,3,0.5924348334471384,0.04582605183843162,0.7404166666666666
GraphSAGE,10,10,0.5579570283492407,0.060706860493327366,0.7454166666666667
GraphSAGE,10,30,0.5195808857679367,0.07341271086542418,0.78625
GraphSAGE,10,100,0.47225682189067203,0.09697562227044952,0.8137500000000001
GraphSAGE,100,0,0.6999515742063522,0.02004768410363815,0.5253833333333333
GraphSAGE,100,1,0.6785074720780054,0.029672927963870634,0.6236833333333333
GraphSAGE,100,3,0.6596306016047796,0.02890615936727153,0.637075
GraphSAGE,100,10,0.6520874152580897,0.0227694718992657,0.6470916666666667
GraphSAGE,100,30,0.6413525491952896,0.02864188045325321,0.6556333333333334
GraphSAGE,100,100,0.6279598921537399,0.039132684943769466,0.6774249999999999
PRODIGY,1,0,0.7121364689535565,0.12140411591220186,0.4444444444444444
PRODIGY,1,1,0.2767970713062418,0.09591397250958293,1.0
PRODIGY,1,3,0.05528997350484127,0.046923475538340816,1.0
PRODIGY,1,10,0.00173712387509614,0.0022593217481890423,1.0
PRODIGY,1,30,9.241770225620153e-05,0.00013548065187655813,1.0
PRODIGY,1,100,4.812371490062821e-05,6.91896201014441e-05,1.0
PRODIGY,10,0,0.7137503110700183,0.07419102756489165,0.4883333333333333
PRODIGY,10,1,0.44888805142707294,0.09855907054394229,0.9266666666666666
PRODIGY,10,3,0.2708609160035848,0.11909736544134306,0.9575
PRODIGY,10,10,0.1099795971563758,0.06915466173669998,0.9947222222222223
PRODIGY,10,30,0.02180513687158555,0.01862073066427783,1.0
PRODIGY,10,100,0.0046642521269353795,0.003620591908316247,1.0
PRODIGY,100,0,0.7115557475222481,0.06429522221383835,0.5069555555555555
PRODIGY,100,1,0.4980533793568611,0.134888726271722,0.8435930555555555
PRODIGY,100,3,0.3906347643997934,0.2016962752291327,0.8672749999999999
PRODIGY,100,10,0.3506555874935455,0.17950867564065792,0.9048
PRODIGY,100,30,0.27020632645710263,0.1625899432154474,0.9402583333333333
PRODIGY,100,100,0.18758614403648402,0.14137090819309056,0.9711694444444444
Raw MLP,1,0,0.6942755629618963,0.13705906786423835,0.5833333333333334
Raw MLP,1,1,0.0,0.0,1.0
Raw MLP,1,3,0.0,0.0,1.0
Raw MLP,1,10,0.0,0.0,1.0
Raw MLP,1,30,0.0,0.0,1.0
Raw MLP,1,100,0.0,0.0,1.0
Raw MLP,10,0,0.6912756363550822,0.039293930699844125,0.5679166666666667
Raw MLP,10,1,0.1950024095182622,0.45114281497285064,0.9804166666666667
Raw MLP,10,3,0.04424816070192448,0.10482083334132723,0.9954166666666667
Raw MLP,10,10,0.04741517453664401,0.11646252463092023,0.9954166666666667
Raw MLP,10,30,0.02529408608872666,0.06140082174727461,0.9954166666666667
Raw MLP,10,100,0.02528542876243578,0.06137887766664494,0.9954166666666667
Raw MLP,100,0,0.7013701448837916,0.022435107704899537,0.5190541666666667
Raw MLP,100,1,1.694811686873436,1.1278607069641222,0.8817833333333334
Raw MLP,100,3,0.9574210091183583,1.0610220896524745,0.8723624999999999
Raw MLP,100,10,0.2959967795371388,0.3467931025624881,0.9725208333333333
Raw MLP,100,30,0.05841789616478985,0.06479510644942281,0.9923458333333333
Raw MLP,100,100,0.057811487821761175,0.06425922649120917,0.9923458333333333
Raw logistic,1,0,0.8509769390026728,0.28777067427738845,0.25
Raw logistic,1,1,0.0012026749779275668,0.0014038130455465085,1.0
Raw logistic,1,3,2.37422950573792e-06,4.2578512787809635e-06,1.0
Raw logistic,1,10,0.0,0.0,1.0
Raw logistic,1,30,0.0,0.0,1.0
Raw logistic,1,100,0.0,0.0,1.0
Raw logistic,10,0,0.828084871172905,0.12036364445244085,0.4154166666666667
Raw logistic,10,1,0.16035268393655613,0.11120019655522716,0.9829166666666667
Raw logistic,10,3,0.03000983849051404,0.06296067905171833,0.9954166666666667
Raw logistic,10,10,0.02672615321235601,0.06458446692251957,0.9954166666666667
Raw logistic,10,30,0.025465861504917392,0.06183188214999672,0.9954166666666667
Raw logistic,10,100,0.02528725187410429,0.06137955375768072,0.9954166666666667
Raw logistic,100,0,0.7926648954550425,0.0863727027297758,0.4689375
Raw logistic,100,1,0.6020834073424339,0.2573668528603019,0.8419541666666667
Raw logistic,100,3,0.35532271427412826,0.18582099950081424,0.9149375000000001
Raw logistic,100,10,0.12897986235717926,0.10412903114817296,0.9822041666666667
Raw logistic,100,30,0.06606040490927013,0.070974041397906,0.9923458333333333
Raw logistic,100,100,0.059552718198877565,0.06564939282534914,0.9923458333333333
SAMGPT,1,0,0.7193882697158389,0.14119169243781773,0.4722222222222222
SAMGPT,1,1,0.287516886057953,0.1951037495978883,1.0
SAMGPT,1,3,0.08766044262706091,0.12181121960020054,1.0
SAMGPT,1,10,0.0069367562995112896,0.014458026136812682,1.0
SAMGPT,1,30,0.00037542590084238537,0.0009107164651889257,1.0
SAMGPT,1,100,0.00015031245807820595,0.00034496183216497307,1.0
SAMGPT,10,0,0.7324211945136389,0.07845207450600629,0.49
SAMGPT,10,1,0.6719213020470407,0.13515391555249548,0.7302777777777778
SAMGPT,10,3,0.4722229705916511,0.14054353333251202,0.8883333333333333
SAMGPT,10,10,0.23901596344593493,0.08269495851008392,0.9755555555555555
SAMGPT,10,30,0.07970363827836177,0.040472324824363685,0.9994444444444444
SAMGPT,10,100,0.021057995359620243,0.015249099087729895,1.0
SAMGPT,100,0,0.7061089542176988,0.03877047222992445,0.5467486111111112
SAMGPT,100,1,0.7980495757526822,0.1869044261118531,0.6721041666666667
SAMGPT,100,3,0.5875208187434409,0.14032799557667672,0.7956069444444445
SAMGPT,100,10,0.4517117163373364,0.18271992003804396,0.8495652777777778
SAMGPT,100,30,0.3365816365306576,0.18168771437244283,0.9054569444444444
SAMGPT,100,100,0.2569096312444243,0.16586116961363775,0.9442875
VISION,1,0,0.740723594195313,0.15580849489246373,0.3611111111111111
VISION,1,1,0.0697610856344302,0.063636731457161,1.0
VISION,1,3,0.0018633174792436142,0.002399595259721814,1.0
VISION,1,10,4.751744375654078e-06,8.602174978684896e-06,1.0
VISION,1,30,1.2748751269479422e-07,4.3664486291022947e-07,1.0
VISION,1,100,6.953868207186058e-08,2.605905327505635e-07,1.0
VISION,10,0,0.7309055808517668,0.06412542069318249,0.45625000000000004
VISION,10,1,0.3831344238585896,0.08638595831414461,0.9395833333333334
VISION,10,3,0.16695145124362573,0.07093351178543511,0.9895833333333334
VISION,10,10,0.038546280521485496,0.05905994173549576,0.9954166666666667
VISION,10,30,0.026343345783970965,0.05965651700316002,0.9954166666666667
VISION,10,100,0.025646324439650075,0.05952107249266332,0.9954166666666667
VISION,100,0,0.7289187709490458,0.040290933976251796,0.47491805555555555
VISION,100,1,0.5956176378660731,0.16044865039324077,0.7649902777777778
VISION,100,3,0.49634845637612873,0.14821690236448093,0.8181680555555555
VISION,100,10,0.3972637268404166,0.14254034671709045,0.8836291666666667
VISION,100,30,0.27338550819291,0.14812872913553046,0.9467541666666666
VISION,100,100,0.15419196192589066,0.12132652946905335,0.9841347222222221
