family,label_budget_per_class,training_loss_10,test_roc_auc_10,training_loss_100,test_roc_auc_100,training_loss_delta_100_minus_10,test_roc_auc_delta_100_minus_10,validation_selected_test_roc_auc,validation_selection_gain_over_update_100
GraphSAGE,1,0.0811256900002869,0.5443601200500015,0.0036128987837097328,0.5431700162774517,-0.07751279121657716,-0.0011901037725497998,0.5768299227671788,0.033659906489727165
GraphSAGE,10,0.5579570283492407,0.5761591324894112,0.47225682189067203,0.5682102118376643,-0.08570020645856863,-0.007948920651746905,0.608661491610139,0.04045127977247476
GraphSAGE,100,0.6520874152580897,0.6105982351442799,0.6279598921537399,0.6298824660264463,-0.024127523104349735,0.019284230882166353,0.6337529042484812,0.003870438222034922
PRODIGY,1,0.00173712387509614,0.720638711381818,4.812371490062821e-05,0.7205821737614482,-0.0016890001601955118,-5.653762036983423e-05,0.7353730943261406,0.014790920564692445
PRODIGY,10,0.1099795971563758,0.7668695182528716,0.0046642521269353795,0.7543077207556501,-0.10531534502944043,-0.012561797497221527,0.781105870917503,0.02679815016185294
PRODIGY,100,0.3506555874935455,0.8050408327083816,0.18758614403648402,0.7835733856401357,-0.16306944345706145,-0.021467447068245882,0.8061813043333785,0.022607918693242857
Raw MLP,1,0.0,0.6068327026961662,0.0,0.581818549383253,0.0,-0.025014153312913234,0.638510529789798,0.056691980406545106
Raw MLP,10,0.04741517453664401,0.6659306215586139,0.02528542876243578,0.6542331792422971,-0.02212974577420823,-0.011697442316316864,0.6906155376982489,0.036382358455951835
Raw MLP,100,0.2959967795371388,0.712000564676082,0.057811487821761175,0.7010589587930856,-0.23818529171537764,-0.010941605882996419,0.7281612368241087,0.027102278031023164
Raw logistic,1,0.0,0.6267411416945989,0.0,0.6283004345276032,0.0,0.0015592928330042666,0.6327499088362,0.004449474308596768
Raw logistic,10,0.02672615321235601,0.6749313849414369,0.02528725187410429,0.6744587069947686,-0.0014389013382517211,-0.00047267794666827623,0.6767808814058895,0.0023221744111209253
Raw logistic,100,0.12897986235717926,0.7139318062571532,0.059552718198877565,0.7111837037467618,-0.0694271441583017,-0.0027481025103914813,0.72907929499459,0.017895591247828246
SAMGPT,1,0.0069367562995112896,0.5577115811634391,0.00015031245807820595,0.5582319364726829,-0.0067864438414330834,0.0005203553092437696,0.6193370440024121,0.0611051075297292
SAMGPT,10,0.23901596344593493,0.7169135870390047,0.021057995359620243,0.7179755104156926,-0.21795796808631468,0.0010619233766879788,0.7444282957719013,0.026452785356208652
SAMGPT,100,0.4517117163373364,0.7701367152150562,0.2569096312444243,0.7647366523219399,-0.19480208509291214,-0.005400062893116342,0.779742381233362,0.015005728911422156
VISION,1,4.751744375654078e-06,0.6314663445365258,6.953868207186058e-08,0.6314216728469678,-4.6822056935822175e-06,-4.4671689558017924e-05,0.638365066370458,0.00694339352349016
VISION,10,0.038546280521485496,0.6790872643655981,0.025646324439650075,0.6752753892430173,-0.012899956081835421,-0.0038118751225807435,0.6900338414973919,0.014758452254374554
VISION,100,0.3972637268404166,0.7336358149602231,0.15419196192589066,0.7118544647950253,-0.24307176491452595,-0.021781350165197777,0.7408487742426932,0.0289943094476679
