family,label_budget_per_class,head_updates,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,cells
GraphSAGE,0,0,0.520249878446225,0.09006215360987185,0.49291428481050287,0.04633429891622558,0.46539473633043177,0.0434961243918718,12
GraphSAGE,1,0,0.520249878446225,0.09006215360987185,0.49291428481050287,0.04633429891622558,0.46539473633043177,0.0434961243918718,12
GraphSAGE,1,1,0.5459893583645135,0.07649737151232959,0.5148218161466313,0.042998180850699966,0.5043686550592593,0.04309613996288846,12
GraphSAGE,1,3,0.5431633181360059,0.072366716659991,0.5092905697805128,0.04977123607824213,0.5028898033741828,0.04959839150032567,12
GraphSAGE,1,10,0.5443601200500015,0.07568316285142655,0.5138299226148504,0.04454762081045881,0.5084216869605619,0.04425511636514758,12
GraphSAGE,1,30,0.5433758328507554,0.07725605601967132,0.5138178962314209,0.044422296617634055,0.5086312334404781,0.04421765497123793,12
GraphSAGE,1,100,0.5431700162774517,0.07800086353754553,0.5174762431221247,0.04086837233418276,0.5120861230753847,0.0410864852102066,12
GraphSAGE,10,0,0.520249878446225,0.09006215360987185,0.49291428481050287,0.04633429891622558,0.46539473633043177,0.0434961243918718,12
GraphSAGE,10,1,0.5822210615289795,0.07238237288634765,0.5532443844766471,0.06437259372069241,0.529518349439976,0.0635874121692077,12
GraphSAGE,10,3,0.5777085505945342,0.07614570831011658,0.5585851419323916,0.08143879445022809,0.5375948813743877,0.07008918195169185,12
GraphSAGE,10,10,0.5761591324894112,0.07509685875518586,0.5703479337438603,0.07934664572231427,0.5467121951555466,0.06484675192260794,12
GraphSAGE,10,30,0.5757953577531267,0.07787509093290396,0.5695312565738618,0.07991238340939186,0.5524729179571136,0.06806392338817575,12
GraphSAGE,10,100,0.5682102118376643,0.08068222779776744,0.566405006583842,0.08085597320858214,0.5476471687084693,0.06706926001730791,12
GraphSAGE,100,0,0.520249878446225,0.09006215360987185,0.49291428481050287,0.04633429891622558,0.46539473633043177,0.0434961243918718,12
GraphSAGE,100,1,0.595098883368178,0.059275644236954354,0.5423038355661784,0.06383985435708883,0.5336940127881618,0.06508288726356737,12
GraphSAGE,100,3,0.6088019172936018,0.07163987534379444,0.5790332082447781,0.07602363282059685,0.5620681917018725,0.07063759059001552,12
GraphSAGE,100,10,0.6105982351442799,0.057154200017884994,0.6031061388754061,0.06676065245707752,0.5766867334433147,0.05769330844689459,12
GraphSAGE,100,30,0.6191139225253344,0.05832763770843017,0.6121186410697134,0.06524959760936284,0.5852868576368199,0.05926515345039436,12
GraphSAGE,100,100,0.6298824660264463,0.07428896795652308,0.6114636938646834,0.07022293842738428,0.5840374895485859,0.06248662652664029,12
PRODIGY,0,0,0.5042754370329933,0.1915551827797157,0.49155175241050597,0.14452412339223403,0.4784908773014343,0.14670010519455634,36
PRODIGY,1,0,0.5042754370329933,0.1915551827797157,0.49155175241050597,0.14452412339223403,0.4784908773014343,0.14670010519455634,36
PRODIGY,1,1,0.7066020098109762,0.19022365908025524,0.6602171109941566,0.1770217967132016,0.6528750851080412,0.17822246075062406,36
