family,model_id,target,label_seed,label_budget_per_class,final_roc_auc,updates_to_95pct
Raw MLP,raw_mlp,ukr_rus_suspended,1,100,0.5125545070081403,1
Raw MLP,raw_mlp,ukr_rus_suspended,2,1,0.5174515840909316,0
Raw MLP,raw_mlp,ukr_rus_suspended,2,10,0.5484398335626955,1
Raw MLP,raw_mlp,ukr_rus_suspended,2,100,0.5291248883041251,1
Raw logistic,raw_logistic,covid_political,0,1,0.7699893303428283,10
Raw logistic,raw_logistic,covid_political,0,10,0.8289108022966782,10
Raw logistic,raw_logistic,covid_political,0,100,0.8303567457991419,1
Raw logistic,raw_logistic,covid_political,1,1,0.8153873135569014,1
Raw logistic,raw_logistic,covid_political,1,10,0.7929999959769967,1
Raw logistic,raw_logistic,covid_political,1,100,0.8625976380186424,1
Raw logistic,raw_logistic,covid_political,2,1,0.7235356675668408,1
Raw logistic,raw_logistic,covid_political,2,10,0.7844740776694068,1
Raw logistic,raw_logistic,covid_political,2,100,0.8138140365630113,1
Raw logistic,raw_logistic,election2020,0,1,0.7602140492715912,10
Raw logistic,raw_logistic,election2020,0,10,0.8681859791022702,10
Raw logistic,raw_logistic,election2020,0,100,0.8859215635147013,1
Raw logistic,raw_logistic,election2020,1,1,0.6395751824670459,10
Raw logistic,raw_logistic,election2020,1,10,0.819478975446601,1
Raw logistic,raw_logistic,election2020,1,100,0.884545489356767,1
Raw logistic,raw_logistic,election2020,2,1,0.7837643461058328,1
Raw logistic,raw_logistic,election2020,2,10,0.876305107217551,1
Raw logistic,raw_logistic,election2020,2,100,0.9004650562401703,1
Raw logistic,raw_logistic,twibot20,0,1,0.550317318050713,1
Raw logistic,raw_logistic,twibot20,0,10,0.516070425349535,1
Raw logistic,raw_logistic,twibot20,0,100,0.6058707821241993,1
Raw logistic,raw_logistic,twibot20,1,1,0.517367787765409,1
Raw logistic,raw_logistic,twibot20,1,10,0.4868848388143034,0
Raw logistic,raw_logistic,twibot20,1,100,0.6041498945893038,1
Raw logistic,raw_logistic,twibot20,2,1,0.4657882200650998,0
Raw logistic,raw_logistic,twibot20,2,10,0.5434920478634062,1
Raw logistic,raw_logistic,twibot20,2,100,0.5849265600203871,1
Raw logistic,raw_logistic,ukr_rus_suspended,0,1,0.4980451694452308,1
Raw logistic,raw_logistic,ukr_rus_suspended,0,10,0.5109548780178788,1
Raw logistic,raw_logistic,ukr_rus_suspended,0,100,0.5313451553349243,1
Raw logistic,raw_logistic,ukr_rus_suspended,1,1,0.4998205019796232,0
Raw logistic,raw_logistic,ukr_rus_suspended,1,10,0.5195073863017349,1
Raw logistic,raw_logistic,ukr_rus_suspended,1,100,0.5134148884186025,1
Raw logistic,raw_logistic,ukr_rus_suspended,2,1,0.5158003277141213,0
Raw logistic,raw_logistic,ukr_rus_suspended,2,10,0.5462399698808624,1
Raw logistic,raw_logistic,ukr_rus_suspended,2,100,0.5167966349812894,0
SAMGPT,samgpt_all9_s39,covid_political,0,1,0.6638761375993261,0
SAMGPT,samgpt_all9_s39,covid_political,0,10,0.8023973185486873,10
SAMGPT,samgpt_all9_s39,covid_political,0,100,0.8796313384999568,100
SAMGPT,samgpt_all9_s39,covid_political,1,1,0.7157329221606484,10
SAMGPT,samgpt_all9_s39,covid_political,1,10,0.7103828279082047,1
SAMGPT,samgpt_all9_s39,covid_political,1,100,0.8595965971480821,10
SAMGPT,samgpt_all9_s39,covid_political,2,1,0.7593324489249829,10
SAMGPT,samgpt_all9_s39,covid_political,2,10,0.8264217701453794,10
SAMGPT,samgpt_all9_s39,covid_political,2,100,0.850729343318645,10
SAMGPT,samgpt_all9_s39,election2020,0,1,0.4607692299744725,0
SAMGPT,samgpt_all9_s39,election2020,0,10,0.981758638917366,10
SAMGPT,samgpt_all9_s39,election2020,0,100,0.981888432866566,10
SAMGPT,samgpt_all9_s39,election2020,1,1,0.5900854115217249,0
SAMGPT,samgpt_all9_s39,election2020,1,10,0.940215962602295,10
SAMGPT,samgpt_all9_s39,election2020,1,100,0.9823258417040744,10
SAMGPT,samgpt_all9_s39,election2020,2,1,0.5664385118277803,1
SAMGPT,samgpt_all9_s39,election2020,2,10,0.98159613818445,10
SAMGPT,samgpt_all9_s39,election2020,2,100,0.9829464795619086,10
SAMGPT,samgpt_all9_s39,twibot20,0,1,0.3961284736299505,0
SAMGPT,samgpt_all9_s39,twibot20,0,10,0.6052919644615367,0
SAMGPT,samgpt_all9_s39,twibot20,0,100,0.7221892411588227,10
SAMGPT,samgpt_all9_s39,twibot20,1,1,0.6882033412874005,1
SAMGPT,samgpt_all9_s39,twibot20,1,10,0.6894312021452814,1
SAMGPT,samgpt_all9_s39,twibot20,1,100,0.7231839822076012,10
SAMGPT,samgpt_all9_s39,twibot20,2,1,0.3975557894797809,0
SAMGPT,samgpt_all9_s39,twibot20,2,10,0.5764763289277068,1
SAMGPT,samgpt_all9_s39,twibot20,2,100,0.682355436759374,10
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,0,1,0.5435689962478418,1
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,0,10,0.5503890688728309,1
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,0,100,0.5224516908507717,1
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,1,1,0.4683842309799306,0
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,1,10,0.5514971363280712,1
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,1,100,0.516066632417767,1
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,2,1,0.4465887433453569,0
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,2,10,0.5122445979842456,0
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,2,100,0.539512845845608,0
SAMGPT,samgpt_all9_s40,covid_political,0,1,0.7049713556727445,1
SAMGPT,samgpt_all9_s40,covid_political,0,10,0.7926686201066009,10
SAMGPT,samgpt_all9_s40,covid_political,0,100,0.8452714217043639,10
SAMGPT,samgpt_all9_s40,covid_political,1,1,0.69566791042707,1
SAMGPT,samgpt_all9_s40,covid_political,1,10,0.7124316673859143,1
SAMGPT,samgpt_all9_s40,covid_political,1,100,0.8417251660277157,10
SAMGPT,samgpt_all9_s40,covid_political,2,1,0.7342734983351833,1
SAMGPT,samgpt_all9_s40,covid_political,2,10,0.767772785991772,1
SAMGPT,samgpt_all9_s40,covid_political,2,100,0.8311544747376594,1
SAMGPT,samgpt_all9_s40,election2020,0,1,0.4837246459466447,0
SAMGPT,samgpt_all9_s40,election2020,0,10,0.9800504197833356,10
SAMGPT,samgpt_all9_s40,election2020,0,100,0.9821376162624458,10
SAMGPT,samgpt_all9_s40,election2020,1,1,0.6197617728923593,0
SAMGPT,samgpt_all9_s40,election2020,1,10,0.9148485585510192,10
SAMGPT,samgpt_all9_s40,election2020,1,100,0.9814741657736068,10
SAMGPT,samgpt_all9_s40,election2020,2,1,0.5674245261100224,0
SAMGPT,samgpt_all9_s40,election2020,2,10,0.981013114742242,10
