family,label_efficiency_auc_mean,label_efficiency_auc_std,cells
PRODIGY,0.7338000297251637,0.17085239528801432,36
SAMGPT,0.6755651011104974,0.13237671424593403,36
VISION,0.6575561171768576,0.12893427295210286,36
Raw logistic,0.6552213830874739,0.13867904911393558,12
Raw MLP,0.6380518497272015,0.11930583074357197,12
GraphSAGE,0.5729179916511118,0.05944620434762058,12
