family,label_budget_per_class,roc_auc_mean,roc_auc_std
GraphSAGE,0,0.520249878446225,0.09006215360987185
GraphSAGE,1,0.5431700162774517,0.07800086353754553
GraphSAGE,10,0.5682102118376643,0.08068222779776744
GraphSAGE,100,0.6298824660264463,0.07428896795652308
PRODIGY,0,0.5042754370329933,0.1915551827797157
PRODIGY,1,0.7205821737614482,0.19877303597259596
PRODIGY,10,0.7543077207556501,0.18225181216896125
PRODIGY,100,0.7835733856401357,0.18302930463597464
Raw MLP,0,0.5394838507128655,0.06088761729836403
Raw MLP,1,0.581818549383253,0.07953182721233464
Raw MLP,10,0.6542331792422971,0.14720473135141654
Raw MLP,100,0.7010589587930856,0.15041872956720762
Raw logistic,0,0.4604925722354794,0.10062399657721571
Raw logistic,1,0.6283004345276032,0.1337473133862046
Raw logistic,10,0.6744587069947686,0.16346267303599388
Raw logistic,100,0.7111837037467618,0.16287337296344265
SAMGPT,0,0.5562639333874525,0.1087715898299131
SAMGPT,1,0.5582319364726829,0.12143205264762044
SAMGPT,10,0.7179755104156926,0.1701280965508987
SAMGPT,100,0.7647366523219399,0.17351789861198397
VISION,0,0.47401859054076234,0.07969716005563175
VISION,1,0.6314216728469678,0.12274732739379327
VISION,10,0.6752753892430173,0.147470171856301
VISION,100,0.7118544647950253,0.15535235219724491
