family,label_budget_per_class,test_roc_auc_mean,test_roc_auc_std,cells,roc_auc_mean,roc_auc_std,primary_minus_fixed100
GraphSAGE,1,0.5431633181360059,0.072366716659991,12,0.5431700162774517,0.0780008635375455,-6.698141445715677e-06
GraphSAGE,10,0.5732823770510085,0.0744873162310434,12,0.5682102118376643,0.0806822277977674,0.005072165213344193
GraphSAGE,100,0.6105982351442799,0.0571542000178849,12,0.6298824660264463,0.074288967956523,-0.019284230882166353
PRODIGY,1,0.7210398636040639,0.1964737646008765,36,0.7205821737614482,0.1987730359725959,0.0004576898426157383
PRODIGY,10,0.7740872890762902,0.1931205755899417,36,0.7543077207556501,0.1822518121689612,0.019779568320640095
PRODIGY,100,0.8050408327083816,0.1838001089403989,36,0.7835733856401357,0.1830293046359746,0.021467447068245882
Raw MLP,1,0.6315539013104338,0.1220396428816101,12,0.581818549383253,0.0795318272123346,0.049735351927180815
Raw MLP,10,0.6713307614286536,0.1618467698139378,12,0.6542331792422971,0.1472047313514165,0.017097582186356486
Raw MLP,100,0.712000564676082,0.1664317773108829,12,0.7010589587930856,0.1504187295672076,0.010941605882996419
Raw logistic,1,0.6204344452700549,0.1288872895942765,12,0.6283004345276032,0.1337473133862046,-0.007865989257548334
Raw logistic,10,0.6748581490655402,0.1636732988173181,12,0.6744587069947686,0.1634626730359938,0.0003994420707715829
Raw logistic,100,0.7139318062571532,0.1647059856433484,12,0.7111837037467618,0.1628733729634426,0.0027481025103914813
SAMGPT,1,0.558210544965757,0.1218759891505928,36,0.5582319364726829,0.1214320526476204,-2.1391506925927395e-05
SAMGPT,10,0.6807618620180709,0.1815516186040043,36,0.7179755104156926,0.1701280965508987,-0.03721364839762176
SAMGPT,100,0.7701367152150562,0.1704704543806005,36,0.7647366523219399,0.1735178986119839,0.005400062893116342
VISION,1,0.6306244957896996,0.1255295314005234,36,0.6314216728469678,0.1227473273937932,-0.000797177057268228
VISION,10,0.6829516710443103,0.1530380542184879,36,0.6752753892430173,0.147470171856301,0.007676281801292983
VISION,100,0.7336358149602231,0.1594488141393963,36,0.7118544647950253,0.1553523521972449,0.021781350165197777
