family,model_id,target,rows,label_seeds,expected_rows,complete
GraphSAGE,graphsage_pilot_v1,covid_political,57,3,57,True
GraphSAGE,graphsage_pilot_v1,election2020,57,3,57,True
GraphSAGE,graphsage_pilot_v1,twibot20,57,3,57,True
GraphSAGE,graphsage_pilot_v1,ukr_rus_suspended,57,3,57,True
PRODIGY,prodigy_all9_s0,covid_political,57,3,57,True
PRODIGY,prodigy_all9_s0,election2020,57,3,57,True
PRODIGY,prodigy_all9_s0,twibot20,57,3,57,True
PRODIGY,prodigy_all9_s0,ukr_rus_suspended,57,3,57,True
PRODIGY,prodigy_all9_s1,covid_political,57,3,57,True
PRODIGY,prodigy_all9_s1,election2020,57,3,57,True
PRODIGY,prodigy_all9_s1,twibot20,57,3,57,True
PRODIGY,prodigy_all9_s1,ukr_rus_suspended,57,3,57,True
PRODIGY,prodigy_all9_s2,covid_political,57,3,57,True
PRODIGY,prodigy_all9_s2,election2020,57,3,57,True
PRODIGY,prodigy_all9_s2,twibot20,57,3,57,True
PRODIGY,prodigy_all9_s2,ukr_rus_suspended,57,3,57,True
Raw MLP,raw_mlp,covid_political,57,3,57,True
Raw MLP,raw_mlp,election2020,57,3,57,True
Raw MLP,raw_mlp,twibot20,57,3,57,True
Raw MLP,raw_mlp,ukr_rus_suspended,57,3,57,True
Raw logistic,raw_logistic,covid_political,57,3,57,True
Raw logistic,raw_logistic,election2020,57,3,57,True
Raw logistic,raw_logistic,twibot20,57,3,57,True
Raw logistic,raw_logistic,ukr_rus_suspended,57,3,57,True
SAMGPT,samgpt_all9_s39,covid_political,57,3,57,True
SAMGPT,samgpt_all9_s39,election2020,57,3,57,True
SAMGPT,samgpt_all9_s39,twibot20,57,3,57,True
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,57,3,57,True
SAMGPT,samgpt_all9_s40,covid_political,57,3,57,True
SAMGPT,samgpt_all9_s40,election2020,57,3,57,True
SAMGPT,samgpt_all9_s40,twibot20,57,3,57,True
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,57,3,57,True
SAMGPT,samgpt_all9_s41,covid_political,57,3,57,True
SAMGPT,samgpt_all9_s41,election2020,57,3,57,True
SAMGPT,samgpt_all9_s41,twibot20,57,3,57,True
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,57,3,57,True
VISION,vision_all9_s0,covid_political,57,3,57,True
VISION,vision_all9_s0,election2020,57,3,57,True
VISION,vision_all9_s0,twibot20,57,3,57,True
VISION,vision_all9_s0,ukr_rus_suspended,57,3,57,True
VISION,vision_all9_s1,covid_political,57,3,57,True
VISION,vision_all9_s1,election2020,57,3,57,True
VISION,vision_all9_s1,twibot20,57,3,57,True
VISION,vision_all9_s1,ukr_rus_suspended,57,3,57,True
VISION,vision_all9_s2,covid_political,57,3,57,True
VISION,vision_all9_s2,election2020,57,3,57,True
VISION,vision_all9_s2,twibot20,57,3,57,True
VISION,vision_all9_s2,ukr_rus_suspended,57,3,57,True
