family,label_budget_per_class,test_roc_auc_mean
GraphSAGE,1,0.5431633188086528
GraphSAGE,10,0.5732823770510084
GraphSAGE,100,0.6105982311247077
GraphSAGE,1000,0.6424998920086546
PRODIGY,1,0.7210400798656332
PRODIGY,10,0.7740866576885692
PRODIGY,100,0.8050401962706653
PRODIGY,1000,0.824456335274538
Raw MLP,1,0.6315539767352983
Raw MLP,10,0.6713307277980657
Raw MLP,100,0.7120006731947753
Raw MLP,1000,0.7537704419674204
Raw logistic,1,0.6204344551539815
Raw logistic,10,0.6748581523517134
Raw logistic,100,0.7139317678189671
Raw logistic,1000,0.7399706017783673
SAMGPT,1,0.5582107800427258
SAMGPT,10,0.6807615300644878
SAMGPT,100,0.770136581135334
SAMGPT,1000,0.8122230630900558
VISION,1,0.6306244983695399
VISION,10,0.6829516737386808
VISION,100,0.7336358121120415
VISION,1000,0.7711744617482226
