family,model_id,target,label_seed,label_efficiency_auc
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,0,0.5349002109159826
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,1,0.5153225622161991
SAMGPT,samgpt_all9_s39,ukr_rus_suspended,2,0.5049469122958246
SAMGPT,samgpt_all9_s40,covid_political,0,0.767749453864334
SAMGPT,samgpt_all9_s40,covid_political,1,0.731535350285323
SAMGPT,samgpt_all9_s40,covid_political,2,0.7624008640576494
SAMGPT,samgpt_all9_s40,election2020,0,0.826069049406749
SAMGPT,samgpt_all9_s40,election2020,1,0.8454749602183737
SAMGPT,samgpt_all9_s40,election2020,2,0.8468641816100292
SAMGPT,samgpt_all9_s40,twibot20,0,0.5496114905849137
SAMGPT,samgpt_all9_s40,twibot20,1,0.6837784427190869
SAMGPT,samgpt_all9_s40,twibot20,2,0.5426311250672757
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,0,0.5342217196917666
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,1,0.5246110722321433
SAMGPT,samgpt_all9_s40,ukr_rus_suspended,2,0.4902954994156708
SAMGPT,samgpt_all9_s41,covid_political,0,0.7398400971448907
SAMGPT,samgpt_all9_s41,covid_political,1,0.7321622030379695
SAMGPT,samgpt_all9_s41,covid_political,2,0.7532340122967374
SAMGPT,samgpt_all9_s41,election2020,0,0.8149423204368897
SAMGPT,samgpt_all9_s41,election2020,1,0.8201589485169463
SAMGPT,samgpt_all9_s41,election2020,2,0.8423477459059571
SAMGPT,samgpt_all9_s41,twibot20,0,0.5655266197740889
SAMGPT,samgpt_all9_s41,twibot20,1,0.6911019374013863
SAMGPT,samgpt_all9_s41,twibot20,2,0.5290427992366017
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,0,0.5329507629290863
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,1,0.5143847286473388
SAMGPT,samgpt_all9_s41,ukr_rus_suspended,2,0.48958227147023736
VISION,vision_all9_s0,covid_political,0,0.7782056179500326
VISION,vision_all9_s0,covid_political,1,0.7491245575767947
VISION,vision_all9_s0,covid_political,2,0.7398039711438921
VISION,vision_all9_s0,election2020,0,0.8076246262413324
VISION,vision_all9_s0,election2020,1,0.7309728540466566
VISION,vision_all9_s0,election2020,2,0.8418406119024335
VISION,vision_all9_s0,twibot20,0,0.5446868826656043
VISION,vision_all9_s0,twibot20,1,0.5434521041865534
VISION,vision_all9_s0,twibot20,2,0.5611895388973525
VISION,vision_all9_s0,ukr_rus_suspended,0,0.5084690150498578
VISION,vision_all9_s0,ukr_rus_suspended,1,0.5098247688897214
VISION,vision_all9_s0,ukr_rus_suspended,2,0.5351359298713416
VISION,vision_all9_s1,covid_political,0,0.7917289335711007
VISION,vision_all9_s1,covid_political,1,0.7796886981153639
VISION,vision_all9_s1,covid_political,2,0.7481848033080614
VISION,vision_all9_s1,election2020,0,0.8017362899325192
VISION,vision_all9_s1,election2020,1,0.7490163364512218
VISION,vision_all9_s1,election2020,2,0.8451165463074648
VISION,vision_all9_s1,twibot20,0,0.535459438770427
VISION,vision_all9_s1,twibot20,1,0.5646285034041058
VISION,vision_all9_s1,twibot20,2,0.5499894855704944
VISION,vision_all9_s1,ukr_rus_suspended,0,0.5098377982203164
VISION,vision_all9_s1,ukr_rus_suspended,1,0.5103317154365409
VISION,vision_all9_s1,ukr_rus_suspended,2,0.5320145484040705
VISION,vision_all9_s2,covid_political,0,0.7986287110793473
VISION,vision_all9_s2,covid_political,1,0.7862090153546503
VISION,vision_all9_s2,covid_political,2,0.7175558256661616
VISION,vision_all9_s2,election2020,0,0.8072516707126495
VISION,vision_all9_s2,election2020,1,0.7699514899265584
VISION,vision_all9_s2,election2020,2,0.8228422176705799
VISION,vision_all9_s2,twibot20,0,0.5413532668018003
VISION,vision_all9_s2,twibot20,1,0.5580961400826264
VISION,vision_all9_s2,twibot20,2,0.5439125665017656
VISION,vision_all9_s2,ukr_rus_suspended,0,0.5101218383685269
VISION,vision_all9_s2,ukr_rus_suspended,1,0.5135325636299748
VISION,vision_all9_s2,ukr_rus_suspended,2,0.5345013366589728
