family,label_budget_per_class,roc_auc_mean,roc_auc_std,log10_budget_plus_one
GraphSAGE,0,0.520249878446225,0.09006215360987185,0.0
GraphSAGE,1,0.5431633181360059,0.072366716659991,0.3010299956639812
GraphSAGE,10,0.5732823770510085,0.07448731623104349,1.0413926851582251
GraphSAGE,100,0.6105982351442799,0.057154200017884994,2.0043213737826426
PRODIGY,0,0.5042754370329933,0.1915551827797157,0.0
PRODIGY,1,0.7210398636040639,0.1964737646008765,0.3010299956639812
PRODIGY,10,0.7740872890762902,0.1931205755899417,1.0413926851582251
PRODIGY,100,0.8050408327083816,0.18380010894039892,2.0043213737826426
Raw MLP,0,0.5394838507128655,0.06088761729836403,0.0
Raw MLP,1,0.6315539013104338,0.12203964288161015,0.3010299956639812
Raw MLP,10,0.6713307614286536,0.16184676981393786,1.0413926851582251
Raw MLP,100,0.712000564676082,0.1664317773108829,2.0043213737826426
Raw logistic,0,0.4604925722354794,0.10062399657721571,0.0
Raw logistic,1,0.6204344452700549,0.12888728959427656,0.3010299956639812
Raw logistic,10,0.6748581490655402,0.16367329881731815,1.0413926851582251
Raw logistic,100,0.7139318062571532,0.16470598564334846,2.0043213737826426
SAMGPT,0,0.5562639333874525,0.1087715898299131,0.0
SAMGPT,1,0.558210544965757,0.12187598915059289,0.3010299956639812
SAMGPT,10,0.6807618620180709,0.18155161860400434,1.0413926851582251
SAMGPT,100,0.7701367152150562,0.17047045438060052,2.0043213737826426
VISION,0,0.47401859054076234,0.07969716005563175,0.0
VISION,1,0.6306244957896996,0.12552953140052348,0.3010299956639812
VISION,10,0.6829516710443103,0.15303805421848796,1.0413926851582251
VISION,100,0.7336358149602231,0.15944881413939635,2.0043213737826426
