family,label_budget_per_class,test_roc_auc_mean,test_roc_auc_std,cells
GraphSAGE,1,0.5431633181360059,0.072366716659991,12
GraphSAGE,10,0.5732823770510085,0.07448731623104349,12
GraphSAGE,100,0.6105982351442799,0.057154200017884994,12
PRODIGY,1,0.7210398636040639,0.1964737646008765,36
PRODIGY,10,0.7740872890762902,0.1931205755899417,36
PRODIGY,100,0.8050408327083816,0.18380010894039892,36
Raw MLP,1,0.6315539013104338,0.12203964288161015,12
Raw MLP,10,0.6713307614286536,0.16184676981393786,12
Raw MLP,100,0.712000564676082,0.1664317773108829,12
Raw logistic,1,0.6204344452700549,0.12888728959427656,12
Raw logistic,10,0.6748581490655402,0.16367329881731815,12
Raw logistic,100,0.7139318062571532,0.16470598564334846,12
SAMGPT,1,0.558210544965757,0.12187598915059289,36
SAMGPT,10,0.6807618620180709,0.18155161860400434,36
SAMGPT,100,0.7701367152150562,0.17047045438060052,36
VISION,1,0.6306244957896996,0.12552953140052348,36
VISION,10,0.6829516710443103,0.15303805421848796,36
VISION,100,0.7336358149602231,0.15944881413939635,36
