model,dataset,task,target,metric,n
raw_feat,midterm,regression,followers_count,0.25965314436956666,333430
raw_feat,midterm,regression,friends_count,0.20343694854291897,333430
raw_feat,midterm,regression,statuses_count,0.04720758798457737,333430
raw_feat,midterm,regression,favourites_count,0.06401621728132463,333430
raw_feat,midterm,regression,listed_count,0.11538682741041775,333430
raw_feat,midterm,regression,account_age_days,0.03327753614105925,333430
raw_feat,ukr_rus_twitter,regression,followers_count,0.22010608355933464,10273623
raw_feat,ukr_rus_twitter,regression,friends_count,0.15143018675843686,10273623
raw_feat,ukr_rus_twitter,regression,statuses_count,0.12004362603158301,10273623
raw_feat,ukr_rus_twitter,regression,favourites_count,0.11372616867277549,10273623
raw_feat,ukr_rus_twitter,regression,listed_count,0.14118923938219927,10273623
raw_feat,ukr_rus_twitter,regression,account_age_days,-0.0054111721525046015,10273623
raw_feat,covid19_twitter,regression,followers_count,0.13356772986926482,23012850
raw_feat,covid19_twitter,regression,friends_count,0.09902576389324812,23012850
raw_feat,covid19_twitter,regression,statuses_count,0.06840829233569866,23012850
raw_feat,covid19_twitter,regression,favourites_count,0.041133922162592894,23012850
raw_feat,covid19_twitter,regression,listed_count,0.13685284925891614,23012850
raw_feat,covid19_twitter,regression,account_age_days,0.015858521891519827,23012850
raw_feat,twibot20,regression,followers_count,0.19996836450164954,162988
raw_feat,twibot20,regression,friends_count,0.10410261817925272,162988
raw_feat,twibot20,regression,statuses_count,0.14338305530820752,162988
raw_feat,twibot20,regression,listed_count,0.21324279797696888,162988
raw_feat,twibot20,regression,account_age_days,0.05375702344205171,162988
raw_feat,twibot20,classification,,0.5599189814814814,11826
raw_feat,election2020,classification,,0.8475694444444445,78932
