arm,step,score,task
B0,20000,-0.01692207150153467,node_regression
B0,40000,0.05961605925284013,node_regression
B0,60000,0.06663088031555116,node_regression
B0,110000,0.016427527650019803,node_regression
E1,20000,0.19317949180160832,node_regression
E1,40000,0.22201916096557528,node_regression
E1,60000,0.1906624253354465,node_regression
E1,110000,0.14200241638434322,node_regression
B0,20000,0.7963177569444444,node_classification
B0,40000,0.7925124097222223,node_classification
B0,60000,0.7955308541666667,node_classification
B0,110000,0.7905184027777779,node_classification
E1,20000,0.7942636527777778,node_classification
E1,40000,0.7784825347222222,node_classification
E1,60000,0.7729913333333334,node_classification
E1,110000,0.7741076458333334,node_classification
