arm,dataset,task,target,condition,metric,intact,retained
B0,election2020,pl,,both,0.5145959999999999,0.983488,0.5232356673391032
B0,election2020,pl,,random_feat,0.5196599999999999,0.983488,0.528384687967723
B0,election2020,pl,,rewired_edge,0.977752,0.983488,0.9941676970130799
B0,twibot20,pl,,both,0.49269647222222224,0.597548875,0.8245291604343197
B0,twibot20,pl,,random_feat,0.5708597361111112,0.597548875,0.9553356386305827
B0,twibot20,pl,,rewired_edge,0.5510432638888889,0.597548875,0.9221727074440378
B0,covid19_twitter,reg,account_age_days,both,0.001768885299405949,0.04758856008115777,0.03717038919415261
B0,covid19_twitter,reg,account_age_days,random_feat,-0.005877235441932228,0.04758856008115777,-0.12350101435952593
B0,covid19_twitter,reg,account_age_days,rewired_edge,0.059791681670845316,0.04758856008115777,1.2564297295164275
B0,covid19_twitter,reg,followers_count,both,0.017661973665344277,0.04288600388478299,0.41183537903868866
B0,covid19_twitter,reg,followers_count,random_feat,0.0285721334685088,0.04288600388478299,0.6662344560073805
B0,covid19_twitter,reg,followers_count,rewired_edge,0.04030239792735703,0.04288600388478299,0.9397564304576607
B0,covid19_twitter,reg,statuses_count,both,0.011435054222721555,0.014396579157490588,0.7942896779594935
B0,covid19_twitter,reg,statuses_count,random_feat,-0.018264002222963698,0.014396579157490588,-1.2686348627104846
B0,covid19_twitter,reg,statuses_count,rewired_edge,0.04257400478201071,0.014396579157490588,2.9572306251557903
B0,midterm,reg,account_age_days,both,0.0036212396156281926,-0.06597956382898634,-0.05488426120873049
B0,midterm,reg,account_age_days,random_feat,0.00618768011432867,-0.06597956382898634,-0.09378176749344135
B0,midterm,reg,account_age_days,rewired_edge,-0.06872582041667585,-0.06597956382898634,1.0416228363498672
B0,midterm,reg,followers_count,both,0.007272900380913445,-0.09472721309168855,-0.0767773076346482
B0,midterm,reg,followers_count,random_feat,0.03144185163390614,-0.09472721309168855,-0.33191994789789586
B0,midterm,reg,followers_count,rewired_edge,-0.09351142958288826,-0.09472721309168855,0.9871654251284316
B0,midterm,reg,statuses_count,both,0.015053766099611827,-0.07414610085196763,-0.2030284253202553
B0,midterm,reg,statuses_count,random_feat,-0.0009806507796819703,-0.07414610085196763,0.013225925145272781
B0,midterm,reg,statuses_count,rewired_edge,-0.05322733496362082,-0.07414610085196763,0.7178709918932753
B0,twibot20,reg,account_age_days,both,0.003556937668580179,0.0692252980681808,0.05138204916180946
B0,twibot20,reg,account_age_days,random_feat,0.0554452528949841,0.0692252980681808,0.8009391716937849
B0,twibot20,reg,account_age_days,rewired_edge,0.04249219782111062,0.0692252980681808,0.6138247000288761
B0,twibot20,reg,followers_count,both,0.013028858747744416,0.03245246206335398,0.4014752015520229
B0,twibot20,reg,followers_count,random_feat,0.16915317901005428,0.03245246206335398,5.212337316035743
B0,twibot20,reg,followers_count,rewired_edge,-0.07605108181767758,0.03245246206335398,-2.3434610806788707
B0,twibot20,reg,statuses_count,both,0.013831699089095822,-0.052395378916018094,-0.2639870037253849
B0,twibot20,reg,statuses_count,random_feat,0.10359655028351121,-0.052395378916018094,-1.9772077695928278
B0,twibot20,reg,statuses_count,rewired_edge,-0.10885254655930138,-0.052395378916018094,2.0775218885958555
B0,ukr_rus_twitter,reg,account_age_days,both,0.008858656248411487,0.07113243421985808,0.12453751014664996
B0,ukr_rus_twitter,reg,account_age_days,random_feat,0.004254786452703731,0.07113243421985808,0.05981499859196327
B0,ukr_rus_twitter,reg,account_age_days,rewired_edge,0.09065560651435652,0.07113243421985808,1.2744623111611177
B0,ukr_rus_twitter,reg,followers_count,both,0.0009126676742115367,0.017765454082026,0.05137316896025292
B0,ukr_rus_twitter,reg,followers_count,random_feat,0.027234810119586585,0.017765454082026,1.5330207713148802
