arm,rule,roc_auc
B0,count_threshold,0.513334875
B0,in_degree,0.502750875
B0,out_degree,0.51168675
B0,existence,0.51041525
B0,conjunction,0.507401
B1,count_threshold,0.5178945
B1,in_degree,0.507080625
B1,out_degree,0.5175317500000001
B1,existence,0.49671875000000004
B1,conjunction,0.51629525
E1,count_threshold,0.6350055
E1,in_degree,0.58743125
E1,out_degree,0.53091175
E1,existence,0.55729275
E1,conjunction,0.518088125
