arm,rule,roc_auc
E1_log,count_threshold,0.563197
E1_log,in_degree,0.53069725
E1_log,out_degree,0.524019875
E1_log,existence,0.5183433749999999
E1_log,conjunction,0.52067475
E2_log,count_threshold,0.50406875
E2_log,in_degree,0.510548125
E2_log,out_degree,0.504747375
E2_log,existence,0.6314135000000001
E2_log,conjunction,0.59770025
E4_log,count_threshold,0.17989275000000002
E4_log,in_degree,0.20754375
E4_log,out_degree,0.23768174999999997
E4_log,existence,0.47734787500000003
E4_log,conjunction,0.440386875
E4r_log,count_threshold,0.165982875
E4r_log,in_degree,0.19544987500000002
E4r_log,out_degree,0.243711125
E4r_log,existence,0.4207386249999999
E4r_log,conjunction,0.381212125
E2b_log,count_threshold,0.5255663749999999
E2b_log,in_degree,0.5278265
E2b_log,out_degree,0.5441946249999999
E2b_log,existence,0.56799
E2b_log,conjunction,0.53614625
