source,target,auc,bce,balanced_bce,calibrated_bce,average_precision,checkpoint_step
ukr_rus_twitter,ukr_rus_twitter,0.9585533673469386,0.608232886908967,0.4194465275724544,0.12612368763749632,0.9352981903951563,80000
ukr_rus_twitter,covid19_twitter,0.9002164285714286,0.6435284532779126,0.5259911985269756,0.231342541805922,0.8211826758915988,80000
ukr_rus_twitter,midterm,0.8183053061224489,0.7236680884410259,0.5736106070966128,0.3457998577799289,0.6162765292778345,80000
ukr_rus_twitter,covid_political,0.8720094897959184,0.7142428233362684,0.5214859466912427,0.25523637877051364,0.7853356368169306,80000
ukr_rus_twitter,election2020,0.8521404591836734,1.7137678090229036,1.0645558202777552,0.3342689184637516,0.5523710855776593,80000
ukr_rus_twitter,ukr_rus_suspended,0.9031976530612245,0.6852500255693864,0.48864743705363917,0.23994159781489585,0.8005650282402976,80000
ukr_rus_twitter,twibot20,0.8988780612244899,0.6704111923865033,0.5258105318738491,0.27348680474192627,0.7533687170866838,80000
ukr_rus_twitter,cp_hk_twitter,0.8640465306122449,0.6809906239932271,0.5663982751519189,0.27052637551688,0.7500302459430963,80000
ukr_rus_twitter,facebook_page_reference,0.7645214285714286,0.6983901155271378,0.6190689912954979,0.36675073998007357,0.5524405666225143,80000
covid19_twitter,ukr_rus_twitter,0.9548985714285714,0.6413429425854726,0.45286005173810295,0.16360852484442814,0.8949741121385852,56000
covid19_twitter,covid19_twitter,0.9563926530612247,0.6162381961421881,0.4413809599776227,0.15841181107444408,0.9090575440643972,56000
covid19_twitter,midterm,0.8693700000000002,0.7448679745565538,0.5611772305594684,0.3250741988569696,0.6550262771363664,56000
covid19_twitter,covid_political,0.937141224489796,0.7439332543013224,0.5020337145672801,0.20989299357659658,0.8470689427285603,56000
covid19_twitter,election2020,0.8636442857142858,1.9702127272089625,1.2040118757472726,0.3265390084274939,0.5574391626531726,56000
covid19_twitter,ukr_rus_suspended,0.8900905102040816,0.7570551852669956,0.5451791220186016,0.29840182919412556,0.6670748329995861,56000
covid19_twitter,twibot20,0.9184673469387754,0.7385492120758789,0.5216491089701235,0.24781059000000505,0.7843017938516503,56000
covid19_twitter,cp_hk_twitter,0.9054708163265306,0.6945661308805741,0.49335968774465844,0.23664075260622613,0.8037580384666847,56000
covid19_twitter,facebook_page_reference,0.7765213265306122,0.7260101939112547,0.6277020933946155,0.3838595208489338,0.5013701471548477,56000
midterm,ukr_rus_twitter,0.8258392857142858,0.7052863144796383,0.6157610268394998,0.3825478570958075,0.49918250071619197,30000
midterm,covid19_twitter,0.8341725510204081,0.7123437733067064,0.5931932178010559,0.3653090137597114,0.5360854503057887,30000
midterm,midterm,0.9552167346938776,0.6177304896914253,0.44281959097136436,0.16698989974041795,0.9130575526992584,30000
midterm,covid_political,0.8921445918367348,0.6769661012532326,0.5478931585733295,0.2583143346366327,0.7738830745793481,30000
midterm,election2020,0.8210969387755102,1.1922152806200284,0.7716717172199221,0.36987225577981986,0.42541768644348377,30000
midterm,ukr_rus_suspended,0.8259127551020408,0.7267643375221928,0.6024779969656986,0.38333457595220927,0.511570656862174,30000
midterm,twibot20,0.870214081632653,0.6924709604236048,0.5696499321577606,0.3278265187229572,0.6309503954051191,30000
midterm,cp_hk_twitter,0.8239060204081632,0.7002296357309576,0.6083252573339479,0.3631191212863999,0.5810148999937653,30000
midterm,facebook_page_reference,0.6556779591836734,0.7483419841407383,0.6797989038091534,0.4341879489767156,0.28256883067178706,30000
covid_political,ukr_rus_twitter,0.7984973979591837,0.695172694513473,0.6289589175263363,0.3915592952795327,0.5024209984068992,4000
covid_political,covid19_twitter,0.7788694897959184,0.7113701208129468,0.6355022131659318,0.3975762466397719,0.4905338134308923,4000
covid_political,midterm,0.7740678571428572,0.6978925985012452,0.6045595481544602,0.3728721590517981,0.5517285461802239,4000
covid_political,covid_political,0.9593479591836734,0.6111401938898541,0.41859073079728343,0.13632835915308117,0.9342153085153777,4000
covid_political,election2020,0.8652521428571428,1.0113029216023797,0.6701379105138314,0.34000302255454007,0.5680562559418846,4000
