rung,added,Observed ladder,Mean specialist gain,Best specialist gain
1,ukr_rus_twitter,67.7254506802721,67.7254506802721,67.7254506802721
2,covid19_twitter,68.72142857142856,68.07868197278913,68.80207482993197
3,midterm,69.42905612244897,66.75672335600908,69.82313775510204
4,covid_political,68.97372448979591,63.91393707482993,69.82313775510204
5,election2020,68.24954931972789,61.76122619047618,69.82313775510204
6,ukr_rus_suspended,68.13128401360544,60.48094104308389,69.82313775510204
7,twibot20,69.28627551020408,61.29168731778426,71.26652210884353
8,cp_hk_twitter,68.73572278911566,60.86773596938776,71.44289965986394
9,facebook_page_reference,70.36994897959184,61.4623932350718,73.02514455782313
