objective	architecture	source	target	checkpoint_step	metric	value	replicate_std
lp	node_mlp	ukr_rus_twitter	ukr_rus_twitter	9500	roc_auc	0.6635456632653062	
lp	node_mlp	ukr_rus_twitter	covid19_twitter	9500	roc_auc	0.7330392857142857	
lp	node_mlp	ukr_rus_twitter	midterm	9500	roc_auc	0.6378420918367347	
lp	node_mlp	ukr_rus_twitter	twibot20	9500	roc_auc	0.6362265306122449	
lp	node_mlp	ukr_rus_twitter	cp_hk_twitter	9500	roc_auc	0.5766030612244898	
lp	node_mlp	ukr_rus_twitter	facebook_page_reference	9500	roc_auc	0.789115306122449	
lp	node_mlp	covid19_twitter	ukr_rus_twitter	9250	roc_auc	0.6520701530612245	
lp	node_mlp	covid19_twitter	covid19_twitter	9250	roc_auc	0.7710581632653061	
lp	node_mlp	covid19_twitter	midterm	9250	roc_auc	0.6316742346938775	
lp	node_mlp	covid19_twitter	twibot20	9250	roc_auc	0.6533663265306122	
lp	node_mlp	covid19_twitter	cp_hk_twitter	9250	roc_auc	0.5860418367346939	
lp	node_mlp	covid19_twitter	facebook_page_reference	9250	roc_auc	0.7845489795918368	
lp	node_mlp	midterm	ukr_rus_twitter	10000	roc_auc	0.5889201530612245	
lp	node_mlp	midterm	covid19_twitter	10000	roc_auc	0.6579418367346939	
lp	node_mlp	midterm	midterm	10000	roc_auc	0.6991058673469388	
lp	node_mlp	midterm	twibot20	10000	roc_auc	0.6404469387755102	
lp	node_mlp	midterm	cp_hk_twitter	10000	roc_auc	0.5522459183673469	
lp	node_mlp	midterm	facebook_page_reference	10000	roc_auc	0.6809525510204082	
lp	node_mlp	covid_political	ukr_rus_twitter	7000	roc_auc	0.5154446428571429	
lp	node_mlp	covid_political	covid19_twitter	7000	roc_auc	0.5505107142857143	
lp	node_mlp	covid_political	midterm	7000	roc_auc	0.5531645408163265	
lp	node_mlp	covid_political	twibot20	7000	roc_auc	0.5842974489795918	
lp	node_mlp	covid_political	cp_hk_twitter	7000	roc_auc	0.4909780612244898	
lp	node_mlp	covid_political	facebook_page_reference	7000	roc_auc	0.6015841836734694	
lp	node_mlp	election2020	ukr_rus_twitter	9750	roc_auc	0.5203380102040817	
lp	node_mlp	election2020	covid19_twitter	9750	roc_auc	0.5134464285714285	
lp	node_mlp	election2020	midterm	9750	roc_auc	0.5158160714285714	
lp	node_mlp	election2020	twibot20	9750	roc_auc	0.5589581632653061	
lp	node_mlp	election2020	cp_hk_twitter	9750	roc_auc	0.5000938775510204	
lp	node_mlp	election2020	facebook_page_reference	9750	roc_auc	0.553215306122449	
lp	node_mlp	ukr_rus_suspended	ukr_rus_twitter	9250	roc_auc	0.5273920918367347	
lp	node_mlp	ukr_rus_suspended	covid19_twitter	9250	roc_auc	0.5659719387755102	
lp	node_mlp	ukr_rus_suspended	midterm	9250	roc_auc	0.5240599489795918	
lp	node_mlp	ukr_rus_suspended	twibot20	9250	roc_auc	0.5399051020408163	
lp	node_mlp	ukr_rus_suspended	cp_hk_twitter	9250	roc_auc	0.5021780612244898	
lp	node_mlp	ukr_rus_suspended	facebook_page_reference	9250	roc_auc	0.5581086734693878	
lp	node_mlp	twibot20	ukr_rus_twitter	9000	roc_auc	0.593193112244898	
lp	node_mlp	twibot20	covid19_twitter	9000	roc_auc	0.7017295918367347	
lp	node_mlp	twibot20	midterm	9000	roc_auc	0.6386303571428571	
lp	node_mlp	twibot20	twibot20	9000	roc_auc	0.739969387755102	
lp	node_mlp	twibot20	cp_hk_twitter	9000	roc_auc	0.5575280612244898	
lp	node_mlp	twibot20	facebook_page_reference	9000	roc_auc	0.7111642857142857	
lp	node_mlp	cp_hk_twitter	ukr_rus_twitter	10000	roc_auc	0.5384415816326531	
lp	node_mlp	cp_hk_twitter	covid19_twitter	10000	roc_auc	0.5859474489795918	
lp	node_mlp	cp_hk_twitter	midterm	10000	roc_auc	0.5752114795918367	
lp	node_mlp	cp_hk_twitter	twibot20	10000	roc_auc	0.5481295918367347	
lp	node_mlp	cp_hk_twitter	cp_hk_twitter	10000	roc_auc	0.5966244897959184	
lp	node_mlp	cp_hk_twitter	facebook_page_reference	10000	roc_auc	0.6024948979591837	
lp	node_mlp	facebook_page_reference	ukr_rus_twitter	10000	roc_auc	0.6282956632653062	
lp	node_mlp	facebook_page_reference	covid19_twitter	10000	roc_auc	0.6868020408163266	
lp	node_mlp	facebook_page_reference	midterm	10000	roc_auc	0.5859900510204081	
lp	node_mlp	facebook_page_reference	twibot20	10000	roc_auc	0.6342010204081633	
lp	node_mlp	facebook_page_reference	cp_hk_twitter	10000	roc_auc	0.5266852040816327	
lp	node_mlp	facebook_page_reference	facebook_page_reference	10000	roc_auc	0.88405	
