dataset,target,spearman,n
midterm,followers_count,0.22516242607458611,333430
midterm,statuses_count,0.2326563060128464,333430
midterm,account_age_days,0.011412236440015544,333430
ukr_rus_twitter,followers_count,0.22195407814351029,10273623
ukr_rus_twitter,statuses_count,0.28127493346450844,10273623
ukr_rus_twitter,account_age_days,0.0818870221768652,10273623
covid19_twitter,followers_count,0.25590002953857305,23012850
covid19_twitter,statuses_count,0.3368522506975907,23012850
covid19_twitter,account_age_days,0.10009498843036871,23012850
twibot20,followers_count,0.4170887106325503,162988
twibot20,statuses_count,0.41820248426574097,162988
twibot20,account_age_days,0.2097127723685582,162988
