rung,target,seed,discovery_selected_conventional,delta_accuracy,delta_roc_auc,delta_u1_agreement
2,covid_political,0,blocked,-0.01041666666666674,-0.0009929515697337798,-0.01888020833333326
2,covid_political,1,blocked,0.0126953125,0.00270758734809029,0.00748697916666663
2,covid_political,2,blocked,0.01822916666666674,-0.0008284957320601194,0.03287760416666663
2,election2020,0,blocked,-0.00390625,0.00360107421875,-0.00390625
2,election2020,1,blocked,0.0,-0.0003662109375,0.0
2,election2020,2,blocked,0.00390625,0.00146484375,0.00390625
2,facebook_page_reference,0,blocked,0.0146484375,0.0092315673828125,0.0068359375
2,facebook_page_reference,1,blocked,0.0107421875,0.03156280517578125,-0.0224609375
2,facebook_page_reference,2,blocked,0.0146484375,0.0115203857421875,0.013671875
2,twibot20,0,blocked,-0.00651041666666663,-0.008954577975803013,-0.0035807291666666297
2,twibot20,1,blocked,-0.00911458333333337,-0.00808461507161462,0.0016276041666666297
2,twibot20,2,blocked,0.00748697916666663,0.003694958157009487,0.05533854166666674
2,ukr_rus_suspended,0,blocked,-0.015625,-0.0137939453125,-0.015625
2,ukr_rus_suspended,1,blocked,0.01953125,0.02154541015625,-0.0078125
2,ukr_rus_suspended,2,blocked,0.0390625,0.00738525390625,0.0390625
3,covid_political,0,interleaved,-0.02669270833333337,-0.01911474157262716,-0.04069010416666663
3,covid_political,1,interleaved,0.021484375,-0.00344113950376157,0.03287760416666663
3,covid_political,2,interleaved,-0.01595052083333326,-0.0046273690682870905,-0.00846354166666663
3,election2020,0,interleaved,-0.00390625,-0.00115966796875,-0.01171875
3,election2020,1,interleaved,0.0,-0.00030517578125,0.0
3,election2020,2,interleaved,-0.00390625,0.0008544921875,-0.00390625
3,facebook_page_reference,0,interleaved,-0.0126953125,-0.02442169189453125,-0.001953125
3,facebook_page_reference,1,interleaved,0.0087890625,0.018688201904296875,-0.005859375
3,facebook_page_reference,2,interleaved,0.0009765625,-0.01793670654296875,-0.009765625
3,twibot20,0,interleaved,-0.0078125,-0.024680455525716294,-0.0048828125
3,twibot20,1,interleaved,0.03092447916666663,0.04563162061903214,0.04134114583333337
3,twibot20,2,interleaved,0.00423177083333337,0.0038562350802950895,0.03548177083333326
3,ukr_rus_suspended,0,interleaved,-0.015625,0.00567626953125,-0.015625
3,ukr_rus_suspended,1,interleaved,0.0078125,-0.0244140625,0.03125
3,ukr_rus_suspended,2,interleaved,0.0234375,0.0130615234375,0.02734375
4,covid_political,0,blocked,0.02408854166666663,0.0035146077473957593,0.041015625
4,covid_political,1,blocked,-0.01334635416666663,-0.0017061586733218004,-0.02604166666666674
4,covid_political,2,blocked,-0.04427083333333337,0.0010692455150461688,-0.02083333333333326
4,election2020,0,blocked,0.0,0.00042724609375,0.00390625
4,election2020,1,blocked,-0.0078125,0.00042724609375,-0.0078125
4,election2020,2,blocked,-0.00390625,0.0018310546875,-0.00390625
4,facebook_page_reference,0,blocked,0.001953125,-0.02019500732421875,-0.01171875
4,facebook_page_reference,1,blocked,-0.01953125,-0.03382301330566406,-0.044921875
4,facebook_page_reference,2,blocked,0.0146484375,0.02223968505859375,0.0205078125
4,twibot20,0,blocked,0.06477864583333337,0.08601782057020402,0.12760416666666663
4,twibot20,1,blocked,-0.03841145833333326,-0.04250102572970915,-0.01627604166666663
4,twibot20,2,blocked,0.01953125,0.009504318237304688,0.03190104166666663
4,ukr_rus_suspended,0,blocked,0.0234375,0.02447509765625,0.05859375
4,ukr_rus_suspended,1,blocked,-0.01171875,-0.00970458984375,0.01953125
4,ukr_rus_suspended,2,blocked,-0.03125,-0.0213623046875,0.05859375
