stream,scope,metric,n,spearman,crossed_seed_target_bootstrap_low,crossed_seed_target_bootstrap_high,naive_spearman_pvalue,same_sign_fraction
fresh,all_targets,accuracy,90,0.42194480360346953,-0.005166242974530722,0.7564997195552476,3.4410871685697186e-05,0.6111111111111112
fresh,all_targets,roc_auc,90,0.27772450100530754,-0.23061792976654358,0.6261508240718936,0.008043236870117404,0.4888888888888889
fresh,above_chance_targets,accuracy,72,0.5845939844894392,0.15939456738691066,0.8258118664858933,6.977774943374254e-08,0.6388888888888888
fresh,above_chance_targets,roc_auc,72,0.42147351247986337,-0.07381370826010544,0.6994727592267135,0.00022684421482410983,0.5
original,all_targets,accuracy,90,0.29893138947077563,-0.27128538417425707,0.7929681937203159,0.004209490568307354,0.6111111111111112
original,all_targets,roc_auc,90,0.14808017840276497,-0.5233928473610182,0.68264240106744,0.16366005149845594,0.4777777777777778
original,above_chance_targets,accuracy,72,0.5481987578859385,0.10077469466304684,0.8965001505680783,6.207519159749843e-07,0.6805555555555556
original,above_chance_targets,roc_auc,72,0.37434421976436266,-0.24464645832520204,0.7902097902097902,0.0011974927530345662,0.5138888888888888
