rung,cells,baseline,mean_delta_accuracy,mean_delta_roc_auc,mean_delta_u1_agreement,accuracy_wins,auc_wins
2,15,blocked,0.006358506944444442,0.003979539282527966,0.005902777777777783,9,9
3,15,interleaved,0.0007378472222222247,-0.0021555111732012005,0.004361979166666667,7,6
4,15,blocked,-0.0014539930555555506,0.0013476148063753745,0.015342881944444442,6,9
