model,dataset,shots,target,task,split,run,roc_auc,accuracy,f1
nm_ss_covid19_twitter,covid_political,10,,classification,test,eval_nm_ss_covid19_twitter_to_covid_political_pl_10shot_30_07_2026_02_37_32,0.9074704027777778,0.8506666666666667,0.847748513169074
nm_ss_covid_political,covid_political,10,,classification,test,eval_nm_ss_covid_political_to_covid_political_pl_10shot_30_07_2026_02_37_32,0.9211452083333334,0.865,0.8640483383685801
nm_ss_midterm,covid_political,10,,classification,test,eval_nm_ss_midterm_to_covid_political_pl_10shot_30_07_2026_02_37_32,0.8205045555555557,0.7441666666666666,0.7583438287153652
nm_ss_ukr_rus_twitter,covid_political,10,,classification,test,eval_nm_ss_ukr_rus_twitter_to_covid_political_pl_10shot_30_07_2026_02_37_32,0.904609,0.8449166666666666,0.8428342200827633
nm_ss_cp_hk_twitter,covid_political,10,,classification,test,eval_nm_ss_cp_hk_twitter_to_covid_political_pl_10shot_30_07_2026_02_37_45,0.721683125,0.6674166666666667,0.6833293660239625
nm_ss_election2020,covid_political,10,,classification,test,eval_nm_ss_election2020_to_covid_political_pl_10shot_30_07_2026_02_37_45,0.8799622777777778,0.82275,0.8202788339670469
nm_ss_twibot20,covid_political,10,,classification,test,eval_nm_ss_twibot20_to_covid_political_pl_10shot_30_07_2026_02_37_45,0.8895137638888889,0.8185,0.8284769255000788
nm_ss_ukr_rus_suspended,covid_political,10,,classification,test,eval_nm_ss_ukr_rus_suspended_to_covid_political_pl_10shot_30_07_2026_02_37_45,0.7319930138888889,0.6604166666666667,0.6174786445132826
nm_ss_ukr_rus_twitter,election2020,10,,classification,test,eval_nm_ss_ukr_rus_twitter_to_election2020_pl_10shot_30_07_2026_02_37_56,0.984552,0.972,0.9723865877712031
nm_ss_covid19_twitter,election2020,10,,classification,test,eval_nm_ss_covid19_twitter_to_election2020_pl_10shot_30_07_2026_02_37_57,0.982676,0.965,0.9655850540806293
nm_ss_covid_political,election2020,10,,classification,test,eval_nm_ss_covid_political_to_election2020_pl_10shot_30_07_2026_02_37_58,0.980246,0.962,0.962890625
nm_ss_midterm,election2020,10,,classification,test,eval_nm_ss_midterm_to_election2020_pl_10shot_30_07_2026_02_37_58,0.976084,0.934,0.9362934362934363
nm_ss_election2020,election2020,10,,classification,test,eval_nm_ss_election2020_to_election2020_pl_10shot_30_07_2026_02_38_09,0.984972,0.952,0.953757225433526
nm_ss_ukr_rus_suspended,election2020,10,,classification,test,eval_nm_ss_ukr_rus_suspended_to_election2020_pl_10shot_30_07_2026_02_38_10,0.8850640000000001,0.785,0.760845383759733
nm_ss_cp_hk_twitter,election2020,10,,classification,test,eval_nm_ss_cp_hk_twitter_to_election2020_pl_10shot_30_07_2026_02_38_11,0.7989740000000001,0.734,0.7432432432432432
nm_ss_twibot20,election2020,10,,classification,test,eval_nm_ss_twibot20_to_election2020_pl_10shot_30_07_2026_02_38_11,0.979368,0.972,0.9725490196078431
nm_ss_covid19_twitter,ukr_rus_suspended,10,,classification,test,eval_nm_ss_covid19_twitter_to_ukr_rus_suspended_pl_10shot_30_07_2026_02_38_22,0.49838000000000005,0.5,0.503968253968254
nm_ss_ukr_rus_twitter,ukr_rus_suspended,10,,classification,test,eval_nm_ss_ukr_rus_twitter_to_ukr_rus_suspended_pl_10shot_30_07_2026_02_38_22,0.49788200000000005,0.499,0.511219512195122
