predictor,kind,spearman_with_roc_auc_ovr_macro_asymmetry,graph_permutation_p_two_sided
missing_bio_rate,signed_source_minus_target,0.8349965439405985,0.0014
in_degree_gini,signed_source_minus_target,0.8200772200772201,0.003
edge_bio_coverage,signed_source_minus_target,-0.7855534178229131,0.008
feature_norm_mean,signed_source_minus_target,0.7594285041672755,0.0125
feature_homophily_random,signed_source_minus_target,-0.6296010296010297,0.0556
out_degree_max,signed_source_minus_target,-0.6277992277992278,0.0585
dirichlet_energy,signed_source_minus_target,0.5420849420849422,0.1136
feature_homophily,signed_source_minus_target,-0.5420849420849422,0.1136
out_degree_gini,signed_source_minus_target,-0.5263835263835264,0.1368
feature_effective_dim,signed_source_minus_target,0.520978120978121,0.1413
in_degree_max,signed_source_minus_target,0.468983268983269,0.1833
reciprocity,signed_source_minus_target,0.4098371625848766,0.2483
density,signed_source_minus_target,-0.36344916344916345,0.3128
largest_scc_frac,signed_source_minus_target,0.3366795366795367,0.3619
n_nodes,signed_source_minus_target,0.15572715572715573,0.6728
n_strongly_connected,signed_source_minus_target,0.14903474903474903,0.6867
degree_assortativity,signed_source_minus_target,0.14182754182754184,0.7063
isolated_fraction,signed_source_minus_target,-0.13699379228174818,0.7081
in_degree_mean,signed_source_minus_target,-0.12303732303732305,0.7329
out_degree_mean,signed_source_minus_target,-0.12303732303732305,0.7329
n_edges,signed_source_minus_target,-0.09317889317889319,0.8009
largest_wcc_frac,signed_source_minus_target,0.07490347490347489,0.8436
n_weakly_connected,signed_source_minus_target,0.04195624195624196,0.9093
avg_clustering_approx,signed_source_minus_target,-0.03191763191763192,0.9365
