predictor,kind,mean_target_spearman_roc_auc_ovr_macro,seed_0_rho,seed_1_rho,seed_2_rho,graph_permutation_p_two_sided,targets_expected_direction,targets_with_correlation,priority_score,evaluable_targets,top1_hits,top1_rate,mean_regret,mean_selected_rank
proxy_a_distance,pairwise_distance,-0.7378608865356849,-0.7352153838901825,-0.7245221499747063,-0.6942657045516242,0.0006,9,9,0.7374181700037635,9,4,0.4444444444444444,0.014065468488931187,2.4444444444444446
neighbor_mean_projected_frechet,pairwise_distance,-0.732804232804233,-0.7301587301587303,-0.7222222222222223,-0.7486772486772488,0.0006,9,9,0.7323645502645505,9,5,0.5555555555555556,0.02784620888845219,2.888888888888889
center_plus_neighbor_mean_projected_frechet,pairwise_distance,-0.6931216931216932,-0.67989417989418,-0.6640211640211642,-0.7328042328042329,0.0018,9,9,0.6918740740740742,9,5,0.5555555555555556,0.0207561683279243,2.7777777777777777
embedding_topic_js_distance,pairwise_distance,-0.6719576719576721,-0.6693121693121694,-0.634920634920635,-0.6719576719576721,0.0017,9,9,0.670815343915344,9,5,0.5555555555555556,0.008203892836727079,2.2222222222222223
feat_frechet,pairwise_distance,-0.6613756613756614,-0.6402116402116403,-0.6322751322751324,-0.6216931216931219,0.0012,8,9,0.6605820105820106,9,4,0.4444444444444444,0.010978939722019786,2.3333333333333335
center_plus_neighbor_mean_proxy_a_distance,pairwise_distance,-0.6602197450531084,-0.6536298220108088,-0.625828210661574,-0.6562594356086735,0.0016,8,9,0.6591633934610234,9,5,0.5555555555555556,0.008031891061174709,2.3333333333333335
feat_centroid_cosdist,pairwise_distance,-0.6481481481481483,-0.626984126984127,-0.626984126984127,-0.6058201058201059,0.0017,9,9,0.6470462962962964,9,5,0.5555555555555556,0.013885604391305114,2.3333333333333335
center_plus_neighbor_mean_mmd2,pairwise_distance,-0.6428571428571429,-0.6137566137566138,-0.6190476190476192,-0.67989417989418,0.0043,9,9,0.6400928571428572,9,4,0.4444444444444444,0.02155556911709665,2.888888888888889
feat_mmd2,pairwise_distance,-0.6375661375661376,-0.6111111111111112,-0.6216931216931217,-0.597883597883598,0.0019,9,9,0.6363547619047619,9,4,0.4444444444444444,0.028623660314128812,3.0
raw_center_mmd2,pairwise_distance,-0.6296296296296298,-0.6031746031746033,-0.58994708994709,-0.6455026455026456,0.008,9,9,0.6245925925925927,9,5,0.5555555555555556,0.013396612534171855,2.3333333333333335
raw_center_projected_frechet,pairwise_distance,-0.6216931216931217,-0.6058201058201059,-0.5873015873015874,-0.6640211640211642,0.0185,9,9,0.610191798941799,9,5,0.5555555555555556,0.008203892836727079,2.2222222222222223
raw_center_proxy_a_distance,pairwise_distance,-0.5984556035985634,-0.593180487355196,-0.5667095718525317,-0.5931645983075582,0.0079,8,9,0.5937278043301347,9,3,0.3333333333333333,0.017214712177047644,2.6666666666666665
center_plus_neighbor_mean_skew_l1,pairwise_distance,-0.5317460317460317,-0.5132275132275131,-0.5158730158730159,-0.6322751322751324,0.0518,8,9,0.5042015873015874,9,3,0.3333333333333333,0.02349590940544482,2.7777777777777777
