view,subset,old_auc,new_auc,old_bce,new_bce
node_bias,all,0.6926127645502644,0.7363629346182918,0.7424632130415753,0.5337779336623379
node_bias,same_graph,0.931946014739229,0.9691007142857142,0.6248581304709133,0.13548344159265044
node_bias,cross_graph,0.662696108276644,0.707270712159864,0.7571638483629078,0.5835647451710488
node_neighbors_bias,all,0.8223481261022928,0.887999399722852,0.7840797107785958,0.4293485060399851
node_neighbors_bias,same_graph,0.9542677891156462,0.9781586451247164,0.6167893180958518,0.11201475516124376
node_neighbors_bias,cross_graph,0.8058581682256236,0.876729494047619,0.8049910098639389,0.4690152248998279
