first,second,normalized_sliced_w1,within_graph_reference,ratio_to_reference
ukr_rus_twitter,covid19_twitter,0.05282050743699074,0.01819706056267023,2.902694490413889
ukr_rus_twitter,midterm,0.11719021201133728,0.01724749617278576,6.794621714208452
ukr_rus_twitter,covid_political,0.20020721852779388,0.017737158574163914,11.287445939589068
ukr_rus_twitter,ukr_rus_suspended,0.1133766695857048,0.018166273832321167,6.241052547825559
ukr_rus_twitter,twibot20,0.09597668796777725,0.016542604193091393,5.801788330755053
ukr_rus_twitter,cp_hk_twitter,0.12369592487812042,0.017371825873851776,7.120490717346448
ukr_rus_twitter,facebook_page_reference,0.2233760803937912,0.01879039127379656,11.887782278663458
covid19_twitter,midterm,0.128530815243721,0.01817908976227045,7.070255822735337
covid19_twitter,covid_political,0.21543608605861664,0.018668752163648605,11.539929619833359
covid19_twitter,ukr_rus_suspended,0.15185098350048065,0.01909786742180586,7.951201050181021
covid19_twitter,twibot20,0.10570915788412094,0.017474197782576084,6.0494426811127155
covid19_twitter,cp_hk_twitter,0.11788466572761536,0.018303419463336468,6.440581551646665
covid19_twitter,facebook_page_reference,0.23044812679290771,0.01972198486328125,11.684834381044487
midterm,covid_political,0.1190788671374321,0.017719187773764133,6.720334400075939
midterm,ukr_rus_suspended,0.12004818022251129,0.018148303031921387,6.61484327274877
midterm,twibot20,0.11415953189134598,0.016524633392691612,6.90844566281486
midterm,cp_hk_twitter,0.1760443150997162,0.017353855073451996,10.144392375906698
midterm,facebook_page_reference,0.2581191062927246,0.018772420473396778,13.749910761828318
covid_political,ukr_rus_suspended,0.17454057931900024,0.01863796543329954,9.364787156819013
covid_political,twibot20,0.15492920577526093,0.017014295794069767,9.105825339492487
covid_political,cp_hk_twitter,0.2687528431415558,0.01784351747483015,15.061651578544156
covid_political,facebook_page_reference,0.30397406220436096,0.019262082874774933,15.780954955937636
ukr_rus_suspended,twibot20,0.151424840092659,0.01744341105222702,8.680919095426948
ukr_rus_suspended,cp_hk_twitter,0.18359403312206268,0.018272632732987404,10.047486632324317
ukr_rus_suspended,facebook_page_reference,0.2375393509864807,0.019691198132932186,12.063224867419944
twibot20,cp_hk_twitter,0.18777865171432495,0.01664896309375763,11.278699499594108
twibot20,facebook_page_reference,0.22681085765361786,0.01806752849370241,12.553507677194181
cp_hk_twitter,facebook_page_reference,0.24727880954742432,0.018896750174462795,13.085784977016772
