first,second,joint_transfer_auc,best_constituent_transfer_auc,transfer_delta_pp,node_shift,node_neighbors_shift,pair_node_shift,pair_node_neighbors_shift
covid19_twitter,covid_political,0.9403838435374149,0.9472060034013606,-0.6822159863945743,0.21543608605861664,0.23549829423427582,0.20222601294517517,0.2350698709487915
covid19_twitter,cp_hk_twitter,0.9473886224489795,0.947036581632653,0.03520408163264488,0.11788466572761536,0.15046849846839905,0.1214086189866066,0.14531740546226501
covid19_twitter,facebook_page_reference,0.9512521598639457,0.9582282142857143,-0.6976054421768518,0.23044812679290771,0.264697790145874,0.2185150384902954,0.23615100979804993
covid19_twitter,midterm,0.9496589795918368,0.9521252380952382,-0.24662585034014306,0.128530815243721,0.1336379200220108,0.12295331060886383,0.13585388660430908
covid19_twitter,twibot20,0.9464746598639455,0.9510614285714286,-0.4586768707483091,0.10570915788412094,0.21414077281951904,0.08954319357872009,0.18834033608436584
covid19_twitter,ukr_rus_suspended,0.9448138095238093,0.9544932312925171,-0.967942176870773,0.15185098350048065,0.14387042820453644,0.11321774870157242,0.14124442636966705
covid_political,cp_hk_twitter,0.8866171683673469,0.8781093367346938,0.8507831632653118,0.2687528431415558,0.2678837478160858,0.24766281247138977,0.2581002414226532
covid_political,facebook_page_reference,0.9194641071428572,0.8931695323129252,2.6294574829932027,0.30397406220436096,0.29828429222106934,0.3002358078956604,0.3180003762245178
covid_political,twibot20,0.9228901700680273,0.9140946428571429,0.8795527210884391,0.15492920577526093,0.3065388798713684,0.14758622646331787,0.2793692946434021
covid_political,ukr_rus_suspended,0.8945582057823129,0.8611475595238095,3.341064625850343,0.17454057931900024,0.2521315813064575,0.1743191033601761,0.24687360227108002
cp_hk_twitter,facebook_page_reference,0.9262285544217687,0.8981990051020409,2.8029549319727787,0.24727880954742432,0.23377421498298645,0.25090885162353516,0.2591710686683655
midterm,covid_political,0.9096045153061225,0.9032344897959184,0.6370025510204158,0.1190788671374321,0.1462966352701187,0.1127852126955986,0.15144728124141693
midterm,cp_hk_twitter,0.9164423469387754,0.9043036054421768,1.2138741496598549,0.1760443150997162,0.18935377895832062,0.16265934705734253,0.18033547699451447
midterm,facebook_page_reference,0.9418819812925171,0.9292621598639456,1.2619821428571543,0.2581191062927246,0.27703145146369934,0.26037827134132385,0.28067660331726074
midterm,twibot20,0.9354691411564627,0.9224866751700681,1.2982465986394631,0.11415953189134598,0.24401764571666718,0.10722309350967407,0.2246684581041336
midterm,ukr_rus_suspended,0.9192002210884355,0.911503044217687,0.7697176870748446,0.12004818022251129,0.16201412677764893,0.11143814772367477,0.16282767057418823
twibot20,cp_hk_twitter,0.9328336479591837,0.9212811479591836,1.1552500000000077,0.18777865171432495,0.32647082209587097,0.1738033890724182,0.27394506335258484
twibot20,facebook_page_reference,0.933404523809524,0.9325114625850338,0.0893061224490177,0.22681085765361786,0.3966899812221527,0.2325122356414795,0.3511418104171753
ukr_rus_suspended,cp_hk_twitter,0.9086964030612247,0.8805555527210883,2.814085034013636,0.18359403312206268,0.22324247658252716,0.14833426475524902,0.20897819101810455
ukr_rus_suspended,facebook_page_reference,0.9189231292517008,0.8902858588435375,2.863727040816333,0.2375393509864807,0.3099812865257263,0.21811838448047638,0.28608110547065735
ukr_rus_suspended,twibot20,0.9317635544217686,0.9271871598639455,0.45763945578231047,0.151424840092659,0.20297424495220184,0.12361034005880356,0.18124401569366455
ukr_rus_twitter,covid19_twitter,0.9504977721088435,0.9459260374149662,0.4571734693877283,0.05282050743699074,0.06125485897064209,0.04050387814640999,0.06719981878995895
ukr_rus_twitter,covid_political,0.9406580527210884,0.9455682482993195,-0.4910195578231136,0.20020721852779388,0.23469199240207672,0.1990646868944168,0.2340448945760727
ukr_rus_twitter,cp_hk_twitter,0.9434428231292517,0.9433289285714285,0.011389455782317981,0.12369592487812042,0.15945285558700562,0.1285838484764099,0.1572125107049942
ukr_rus_twitter,facebook_page_reference,0.9415207227891157,0.9576420238095237,-1.6121301020407985,0.2233760803937912,0.26859238743782043,0.21358658373355865,0.2453044205904007
ukr_rus_twitter,midterm,0.9427076530612245,0.9477860544217686,-0.5078401360544049,0.11719021201133728,0.13412673771381378,0.12191866338253021,0.1449829488992691
ukr_rus_twitter,twibot20,0.950699574829932,0.9484272789115645,0.22722959183674174,0.09597668796777725,0.20084132254123688,0.0875847116112709,0.16986314952373505
ukr_rus_twitter,ukr_rus_suspended,0.9378821088435374,0.9467554421768707,-0.8873333333333289,0.1133766695857048,0.10746800899505615,0.08964327722787857,0.10352202504873276
