case,state,action,validation_source,bce_delta,bce_sd,bce_harmed,auc_delta_pp,auc_harmed,predicted_bce,n
0,initial,A_task,A,-0.0004167536739259431,0.0002159989591846931,1,0.005800104141234725,1,-0.0009558595069606691,8
0,initial,A_task,B,-0.0038405118510126124,0.005626490521459735,2,0.17139012217521757,0,-0.0038225316671625376,8
0,initial,B_task,A,0.017098228121176326,0.00038999246457831655,8,0.029293435811993077,0,-0.009357979236936325,8
0,initial,B_task,B,-0.0887907685711979,0.0005285164301813182,0,0.32757171988487405,0,-0.13386889120056603,8
0,initial,momentum_only,A,0.000657494738698,,1,-0.0076734781265241,1,0.0005373839667563,1
0,initial,momentum_only,B,0.0090426608920098,,1,-0.0088575363159204,1,0.0089765847527067,1
0,rank0_best,A_task,A,0.000834795879200075,0.0008961211612504201,6,-0.04088019728661349,8,-0.00125500440617235,8
0,rank0_best,A_task,B,0.0034310287795960375,0.0014354815402722796,8,-0.0527236163616176,8,0.0020253465506562627,8
0,rank0_best,B_task,A,0.00034060934558507165,0.0002634737613886534,8,-0.03534782528877978,8,-0.0010289163688922875,8
0,rank0_best,B_task,B,0.00305293612182135,0.0011332005208830984,8,-0.04118125438690161,8,0.0017402392387927,8
0,rank0_best,momentum_only,A,1.0126829147333316e-05,,1,-0.0199420928955196,1,-0.000316669191251,1
0,rank0_best,momentum_only,B,0.0007018364965915,,1,-0.0164409637451123,1,0.0005500859941455,1
0,rank0_final,A_task,A,-0.00023803371004757354,0.0005165375034834995,1,0.035121539235111125,0,-0.0027300649662651126,8
0,rank0_final,A_task,B,-0.004381448123604,0.0003229533930193824,0,0.07454043030739593,0,-0.007812242597707001,8
0,rank0_final,B_task,A,0.0005615634843706625,0.0002935897956356897,8,-0.016248872876169163,8,0.0004228196186406409,8
0,rank0_final,B_task,B,-0.00149364899843925,0.0009342338408129917,0,0.0012882143259146128,3,-0.0019281583806733124,8
0,rank0_final,momentum_only,A,0.0001036915928125,,1,-0.007744193077086,1,-0.0003001936445453,1
0,rank0_final,momentum_only,B,-0.0032079726457595,,0,0.0128644943237277,0,-0.0049893394753695,1
0,rank1_best,A_task,A,0.0004489449318498273,0.0007816999779794298,5,-0.04364399313925565,8,-0.00263684598431645,8
0,rank1_best,A_task,B,0.004694256372749737,0.0014586031405098437,8,-0.06418352127074833,8,0.0022557580123601876,8
0,rank1_best,A_with_rank,A,0.0001732976641505875,0.0007962032352571095,4,-0.03711374104022053,8,-0.002563212520504975,8
0,rank1_best,A_with_rank,B,0.004583228379487925,0.0015516152402223352,8,-0.05727862715720897,8,0.0021839879097711127,8
0,rank1_best,B_task,A,-0.00048785270191725,0.00012454574617922924,0,-0.026114445924746373,8,-0.001886479184321775,8
0,rank1_best,B_task,B,0.003472833428531825,0.0011046737069691165,8,-0.03727199435233498,8,0.0016789733682049876,8
0,rank1_best,momentum_only,A,-0.0004716739058494,,0,-0.0131762981414818,1,-0.0008220596292118,1
0,rank1_best,momentum_only,B,0.0009760655462741,,1,-0.0131253004074127,1,0.0006830505799264,1
0,rank1_final,A_task,A,-0.0004439380019902625,0.000376590019379428,1,0.02707867324350795,0,-0.00251758600601625,8
0,rank1_final,A_task,B,-0.003516613971441925,0.00021453480161298362,0,0.07025986611842723,0,-0.006386967006121263,8
0,rank1_final,A_with_rank,A,-0.0003528272733092024,0.0005700833846788202,2,0.037650609016406884,0,-0.0032164307569031874,8
0,rank1_final,A_with_rank,B,-0.00372194908559315,0.00022826156067363485,0,0.08590681552886749,0,-0.006840373886766225,8
0,rank1_final,B_task,A,0.0001807176973670716,0.00021541751727311185,5,-0.008201152086270662,8,8.032513330635e-05,8
0,rank1_final,B_task,B,-0.0014920057728886125,0.0007052590100464716,0,0.01905894875526141,1,-0.0018710925160756126,8
0,rank1_final,momentum_only,A,-0.0001297429203987,,0,-0.0041042804718172,1,-0.0004540511519758,1
0,rank1_final,momentum_only,B,-0.0026394359767436,,0,0.0214838266372696,0,-0.0040203378788456,1
1,initial,A_task,A,0.012499396037310286,0.0030375498805720862,8,-0.32857168614864596,8,0.0065348285473511,8
1,initial,A_task,B,0.05082960166037069,0.006924987385051769,8,-1.4391763508319917,8,0.04628381506567614,8
1,initial,B_task,A,0.0019831279292702,0.00012683760126407301,8,0.2227836906909891,0,-0.007817076004900086,8
1,initial,B_task,B,-0.06211943589150909,9.917992757439381e-05,0,2.3109143167734087,0,-0.09453596971831078,8
1,initial,momentum_only,A,0.0041145794093608,,1,-0.1243777036666893,1,0.0026864071359359,1
1,initial,momentum_only,B,0.0315165579318999,,1,-0.8423702955246082,1,0.0290864707037865,1
1,rank0_best,A_task,A,-0.0024780480191110873,0.0013080268494589113,0,0.07854116857052142,0,-0.00456779574132515,8
1,rank0_best,A_task,B,0.0005736283026635521,0.0005648412488033982,7,-0.010348775982843525,6,4.834705554715801e-05,8
1,rank0_best,B_task,A,-0.0027321031317114127,0.00026039274678802364,0,0.08112248480320046,0,-0.0037916310665115248,8
1,rank0_best,B_task,B,0.0002455543261021086,0.00022463147996843168,6,-0.0027091711759477627,4,5.0831860219173256e-06,8
1,rank0_best,momentum_only,A,-0.0033951662480831,,0,0.1251593589782773,0,-0.0056675259597077,1
1,rank0_best,momentum_only,B,-0.0002693153917789,,0,0.0440119504928726,0,-0.0008697551983559,1
1,rank0_final,A_task,A,-0.01080087581649415,0.0021967028204964902,0,0.158879142999653,0,-0.013269740427680926,8
1,rank0_final,A_task,B,-0.004092093650251588,0.0008426941542482088,0,0.09209956228732466,0,-0.005000028082247875,8
1,rank0_final,B_task,A,-0.0026886427775024624,0.0011033258596149812,0,0.010398665070536476,2,-0.0030949475756313874,8
1,rank0_final,B_task,B,-0.0031823731493204376,0.0007039798743714924,0,0.06563367843627206,0,-0.003761456791969163,8
1,rank0_final,momentum_only,A,0.0011193469166755,,1,-0.0337429285049317,1,0.0010247289122128,1
1,rank0_final,momentum_only,B,-0.000520146638155,,0,0.0114389181137042,0,-0.0005727611160303,1
1,rank1_best,A_task,A,0.0018078093416988375,0.0009899939337493292,8,-0.08257294893264511,8,-0.0002893678429693513,8
1,rank1_best,A_task,B,0.0006609716918319056,0.0004435123366192583,7,-0.05377463698386371,8,-0.0006732517147147875,8
1,rank1_best,A_with_rank,A,0.0019975437782704377,0.0011605615038629885,8,-0.08796176314353474,8,-0.0005499892452238375,8
1,rank1_best,A_with_rank,B,0.000718744285404646,0.0004973194806896588,7,-0.05610455274581284,8,-0.0007763172567522626,8
1,rank1_best,B_task,A,0.0034594844095408375,0.0002865248155564034,8,-0.017835760116570426,7,0.0012368546301569875,8
1,rank1_best,B_task,B,0.00012669013813134306,8.956513041827208e-05,7,-0.02142109274863854,8,-0.0005027945615069126,8
1,rank1_best,momentum_only,A,0.0072486035525798,,1,0.0663389205932674,0,0.0011807179997925,1
1,rank1_best,momentum_only,B,0.0015877090394496,,1,0.0376120805740454,0,0.0004586326885018,1
1,rank1_final,A_task,A,-0.005450701341032887,0.001204451386780913,0,0.07583306133747134,0,-0.007055566908889175,8
1,rank1_final,A_task,B,-0.0027683757245539876,0.0005820276649846719,0,0.06398451924324307,0,-0.0035546093333975125,8
1,rank1_final,A_with_rank,A,-0.005734123662114075,0.0013203413890825943,0,0.08324606716632593,0,-0.007440065481711975,8
1,rank1_final,A_with_rank,B,-0.0028693516738711997,0.0006243475792088541,0,0.06579343378544233,0,-0.0036660591589642126,8
1,rank1_final,B_task,A,-0.004287147894501587,0.0007070408839933729,0,0.04967423081397576,0,-0.005586969428520537,8
1,rank1_final,B_task,B,-0.0024524258915334376,0.0004898346832220986,0,0.0608406633138672,0,-0.003145402952651325,8
1,rank1_final,momentum_only,A,-0.0025670863687991,,0,0.0150913715362466,0,-0.0034827255871731,1
1,rank1_final,momentum_only,B,-0.0011370252817868,,0,0.0330074071884234,0,-0.0015094063507493,1
