case,state,group,left,right,cosine,conflict_fraction,norm_left,norm_right,norm_ratio
0,initial,all,train_A,train_B,0.6579947847273958,0.0,0.1567116447161581,1.7029690205720338,11.606873845604502
0,initial,all,train_A,val_A,0.767455647024353,0.0,0.1567116447161581,0.1719625349346917,1.1737967397045006
0,initial,all,train_A,val_B,0.6599195547698086,0.0,0.1567116447161581,1.693541446139834,11.559921635188392
0,initial,all,train_B,val_A,0.8508886712882514,0.0,1.7029690205720338,0.1719625349346917,0.10100006051345792
0,initial,all,train_B,val_B,0.9962019462441875,0.0,1.7029690205720338,1.693541446139834,0.9946805483364918
0,initial,decoder_bias,train_A,train_B,1.0,0.0,0.0038082441897131,0.08957107458263631,30.551048179655766
0,initial,decoder_bias,train_A,val_A,1.0,0.0,0.0038082441897131,0.0054210037924349,1.8432531898779827
0,initial,decoder_bias,train_A,val_B,1.0,0.0,0.0038082441897131,0.0896615460515022,30.486776452630156
0,initial,decoder_bias,train_B,val_A,1.0,0.0,0.08957107458263631,0.0054210037924349,0.06053847632353512
0,initial,decoder_bias,train_B,val_B,1.0,0.0,0.08957107458263631,0.0896615460515022,1.0012856641689214
0,initial,first_layer,train_A,train_B,0.6439579375670076,0.0,0.14878998352193712,1.5574978019177508,11.138886156619225
0,initial,first_layer,train_A,val_A,0.7521764948312911,0.0,0.14878998352193712,0.1606389501272408,1.1507171443353728
0,initial,first_layer,train_A,val_B,0.6458010845196779,0.0,0.14878998352193712,1.5490174126311362,11.096193620393935
0,initial,first_layer,train_B,val_A,0.851990666479508,0.0,1.5574978019177508,0.1606389501272408,0.10316529181809353
0,initial,first_layer,train_B,val_B,0.99586590899913,0.0,1.5574978019177508,1.5490174126311362,0.9948075063913158
0,initial,second_layer,train_A,train_B,0.7882725718957663,0.0,0.048898146840846424,0.682802254172483,15.5277997117854
0,initial,second_layer,train_A,val_A,0.9065849444898808,0.0,0.048898146840846424,0.0611298113939944,1.3911504838349043
0,initial,second_layer,train_A,val_B,0.7910055284591343,0.0,0.048898146840846424,0.6786667019374053,15.444633137795261
0,initial,second_layer,train_B,val_A,0.851242819428851,0.0,0.682802254172483,0.0611298113939944,0.08954290479532667
0,initial,second_layer,train_B,val_B,0.9979531956242637,0.0,0.682802254172483,0.6786667019374053,0.9941105083355394
0,rank0_best,all,train_A,train_B,0.5228306474243322,0.0,0.1934249072223013,0.17218329574210556,0.9484725804477008
0,rank0_best,all,train_A,val_A,0.7679272744066751,0.0,0.1934249072223013,0.1115357138249017,0.619827624724138
0,rank0_best,all,train_A,val_B,-0.6886520926805821,1.0,0.1934249072223013,0.1938417646106184,1.0772198106837279
0,rank0_best,all,train_B,val_A,0.6347301862542244,0.0,0.17218329574210556,0.1115357138249017,0.6762522848502445
0,rank0_best,all,train_B,val_B,-0.6020697412213856,1.0,0.17218329574210556,0.1938417646106184,1.175282173951241
0,rank0_best,decoder_bias,train_A,train_B,1.0,0.0,0.007513688382459763,0.00565331097459415,0.827078953712633
0,rank0_best,decoder_bias,train_A,val_A,1.0,0.0,0.007513688382459763,0.0056253466755151,0.8367110966144988
0,rank0_best,decoder_bias,train_A,val_B,-1.0,1.0,0.007513688382459763,0.0077246571891009,1.1489614348207002
0,rank0_best,decoder_bias,train_B,val_A,1.0,0.0,0.00565331097459415,0.0056253466755151,1.3643966230548996
0,rank0_best,decoder_bias,train_B,val_B,-1.0,1.0,0.00565331097459415,0.0077246571891009,1.8735727397815785
0,rank0_best,first_layer,train_A,train_B,0.5070041241821663,0.0,0.18127930232768114,0.1607256204200192,0.9397949550656048
0,rank0_best,first_layer,train_A,val_A,0.746857433894393,0.0,0.18127930232768114,0.101922168557726,0.6012109180644472
0,rank0_best,first_layer,train_A,val_B,-0.6726696720270107,1.0,0.18127930232768114,0.1815590189854604,1.0709668566883603
0,rank0_best,first_layer,train_B,val_A,0.6197267894669691,0.0,0.1607256204200192,0.101922168557726,0.6601127539888789
0,rank0_best,first_layer,train_B,val_B,-0.5997138134965401,1.0,0.1607256204200192,0.1815590189854604,1.1758916213221258
0,rank0_best,second_layer,train_A,train_B,0.6409670055686899,0.0,0.06681143963742349,0.061270886358492635,1.0348355511032397
0,rank0_best,second_layer,train_A,val_A,0.9175655470816535,0.0,0.06681143963742349,0.0449493324722529,0.7667429158581671
