group,k,model,task,dataset,target,split,shots,roc_auc,accuracy,f1,spearman,rmse,mae,r2,mse,run
single,1,NM,classification,election2020,,test,10,0.98038,0.964,0.9642147117296223,,,,,,eval_NM_to_election2020_pl_10shot_14_07_2026_11_54_25
single,1,NM,classification,twibot20,,test,10,0.6398302777777778,0.5988333333333333,0.6107697283311773,,,,,,eval_NM_to_twibot20_pl_10shot_14_07_2026_11_53_16
single,1,CL,classification,election2020,,test,10,0.664866,0.639,0.6429277942631059,,,,,,eval_CL_to_election2020_pl_10shot_14_07_2026_11_54_25
single,1,CL,classification,twibot20,,test,10,0.6106375138888889,0.5836666666666667,0.5588131402331332,,,,,,eval_CL_to_twibot20_pl_10shot_14_07_2026_11_53_44
single,1,FP,classification,election2020,,test,10,0.495312,0.5,0.6666666666666666,,,,,,eval_FP_to_election2020_pl_10shot_14_07_2026_11_54_43
single,1,FP,classification,twibot20,,test,10,0.4895432777777778,0.5011666666666666,0.6563325295671145,,,,,,eval_FP_to_twibot20_pl_10shot_14_07_2026_11_53_53
pair,2,NMCL,classification,election2020,,test,10,0.978152,0.959,0.9594460929772503,,,,,,eval_NMCL_to_election2020_pl_10shot_14_07_2026_11_53_53
pair,2,NMCL,classification,twibot20,,test,10,0.6223992916666667,0.5881666666666666,0.5858890564772917,,,,,,eval_NMCL_to_twibot20_pl_10shot_14_07_2026_11_53_16
pair,2,NMFP,classification,election2020,,test,10,0.9816099999999999,0.965,0.9655172413793104,,,,,,eval_NMFP_to_election2020_pl_10shot_14_07_2026_11_54_11
pair,2,NMFP,classification,twibot20,,test,10,0.6233447777777777,0.5893333333333334,0.5782988190997775,,,,,,eval_NMFP_to_twibot20_pl_10shot_14_07_2026_11_53_16
pair,2,CLFP,classification,election2020,,test,10,0.561172,0.557,0.5565565565565566,,,,,,eval_CLFP_to_election2020_pl_10shot_14_07_2026_11_54_24
pair,2,CLFP,classification,twibot20,,test,10,0.6401969861111111,0.6061666666666666,0.5560773999624272,,,,,,eval_CLFP_to_twibot20_pl_10shot_14_07_2026_11_53_16
triple,3,MIX,classification,election2020,,test,10,0.98051,0.968,0.9682539682539683,,,,,,eval_MIX_to_election2020_pl_10shot_14_07_2026_11_54_59
triple,3,MIX,classification,twibot20,,test,10,0.6097460277777778,0.5839166666666666,0.5933707956673996,,,,,,eval_MIX_to_twibot20_pl_10shot_14_07_2026_11_53_53
single,1,NM,regression,covid19_twitter,account_age_days,test,10,,,,0.04410067437187024,7.460839076166901,7.3756914138793945,-44.133182525634766,55.664119720458984,eval_NM_to_covid19_twitter_reg_10shot_account_age_days_14_07_2026_11_19_57
single,1,NM,regression,covid19_twitter,followers_count,test,10,,,,-0.0765577187841977,5.556185792567005,5.172481060028076,-6.668300628662109,30.871200561523438,eval_NM_to_covid19_twitter_reg_10shot_followers_count_14_07_2026_11_17_40
single,1,NM,regression,covid19_twitter,statuses_count,test,10,,,,-0.02848656173396167,8.191415098200991,7.889354228973389,-13.006561279296875,67.09928131103516,eval_NM_to_covid19_twitter_reg_10shot_statuses_count_14_07_2026_11_17_41
single,1,NM,regression,midterm,account_age_days,test,10,,,,-0.06131976801352982,7.466696229376625,7.3472137451171875,-32.038818359375,55.75155258178711,eval_NM_to_midterm_reg_10shot_account_age_days_14_07_2026_10_58_12
single,1,NM,regression,midterm,followers_count,test,10,,,,-0.0555391234799399,6.36659254793227,5.9928412437438965,-7.932826995849609,40.53350067138672,eval_NM_to_midterm_reg_10shot_followers_count_14_07_2026_10_58_12
single,1,NM,regression,midterm,statuses_count,test,10,,,,-0.015710646003370084,9.600422977030263,9.402083396911621,-23.85382652282715,92.16812133789062,eval_NM_to_midterm_reg_10shot_statuses_count_14_07_2026_10_58_12
single,1,NM,regression,twibot20,account_age_days,test,10,,,,0.05647124437603649,7.772332040978731,7.68785285949707,-45.90118408203125,60.40914535522461,eval_NM_to_twibot20_reg_10shot_account_age_days_14_07_2026_11_32_27
