order,rung,model_id,seed,checkpoint_update,n_sources,sources,aliases,loss,accuracy,positive_probability,negative_probability,probability_margin
C,1,ss_twibot20,39,20,1,twibot20,"specialist:twibot20,ladder:C:1",0.7163547608587477,0.764268073770735,0.8053698407279121,0.48236098554399276,0.32300885518391925
C,1,ss_twibot20,39,60,1,twibot20,"specialist:twibot20,ladder:C:1",0.10359927339272366,0.9842413398954604,0.9847019910812378,0.03127113062914254,0.9534308579232957
C,1,ss_twibot20,39,180,1,twibot20,"specialist:twibot20,ladder:C:1",0.06693159900088277,0.9908797674708896,0.996599190764957,0.017737028719643097,0.9788621597819858
C,1,ss_twibot20,39,500,1,twibot20,"specialist:twibot20,ladder:C:1",0.06839855029021338,0.9906790653864542,0.9969664745860629,0.017587907668333475,0.9793785611788431
C,1,ss_twibot20,40,20,1,twibot20,"specialist:twibot20,ladder:C:1",1.5465710759162903,0.7244293755955167,0.88904117875629,0.5511241356531779,0.3379170431031121
C,1,ss_twibot20,40,60,1,twibot20,"specialist:twibot20,ladder:C:1",0.1539312516235643,0.9730793370140923,0.9883020122845968,0.05422656412702054,0.9340754614935981
C,1,ss_twibot20,40,180,1,twibot20,"specialist:twibot20,ladder:C:1",0.07904007708809029,0.9853023158179389,0.9966708819071451,0.028389797255739622,0.9682810836368136
C,1,ss_twibot20,40,500,1,twibot20,"specialist:twibot20,ladder:C:1",0.09229098517365249,0.9831813640064664,0.9970119198163351,0.03194797277663181,0.9650639361805387
C,1,ss_twibot20,41,20,1,twibot20,"specialist:twibot20,ladder:C:1",0.9968145555920072,0.657323075665368,0.8158675697114732,0.6398952007293701,0.17597236898210314
C,1,ss_twibot20,41,60,1,twibot20,"specialist:twibot20,ladder:C:1",0.10056634058451487,0.9843567146195306,0.9939811362160577,0.031478128675694786,0.9625030093722873
C,1,ss_twibot20,41,180,1,twibot20,"specialist:twibot20,ladder:C:1",0.05118426801022401,0.9927954607539706,0.9968878494368659,0.012565231853740342,0.9843226141399808
C,1,ss_twibot20,41,500,1,twibot20,"specialist:twibot20,ladder:C:1",0.04718119075692408,0.9929608835114373,0.9970171848932902,0.012022970538257342,0.9849942061636183
B,1,ss_ukr_rus_suspended,39,20,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.6094734105798933,0.7300338215298123,0.8076408240530226,0.53379069103135,0.27385013302167255
B,1,ss_ukr_rus_suspended,39,60,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.03823277809553676,0.9961278504795499,0.9893247617615594,0.05744741691483392,0.9318773415353563
B,1,ss_ukr_rus_suspended,39,180,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.0035120146623941967,0.9998886916372511,0.9990386168162028,0.0056469770578486435,0.9933916396564908
B,1,ss_ukr_rus_suspended,39,500,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.0029871527913201135,0.9995028376579285,0.9998210536109077,0.004904694997094339,0.9949163662062751
B,1,ss_ukr_rus_suspended,40,20,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.6592379808425903,0.7279611892170377,0.779857251379225,0.536742134226693,0.24311511715253195
B,1,ss_ukr_rus_suspended,40,60,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.04925771098997858,0.9974466297361586,0.9854915473196242,0.0747022960955898,0.9107892513275146
B,1,ss_ukr_rus_suspended,40,180,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.0011491612381683404,0.9999999933772616,0.9991198248333402,0.0014029160665813833,0.9977169036865234
B,1,ss_ukr_rus_suspended,40,500,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.0005097784776606002,0.9999999933772616,0.9998802410231696,0.0008883245189079187,0.9989919132656522
B,1,ss_ukr_rus_suspended,41,20,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.7510528233316209,0.6885995533731248,0.8117888106240166,0.5882009036011167,0.22358790702290005
B,1,ss_ukr_rus_suspended,41,60,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.0782345524057746,0.9757652017805312,0.990376869837443,0.10898608797126347,0.8813907835218642
B,1,ss_ukr_rus_suspended,41,180,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.001592627473857849,0.9999083148108588,0.9994251330693563,0.0024392718053907934,0.9969858593410916
B,1,ss_ukr_rus_suspended,41,500,1,ukr_rus_suspended,"specialist:ukr_rus_suspended,ladder:B:1",0.0007605741060009071,0.9998168150583903,0.9999214741918776,0.0010879133529265851,0.9988335635926988
A,1,ss_ukr_rus_twitter,39,20,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",3.4317016866472034,0.515084445476532,0.8949066930347018,0.9502225319544474,-0.05531583891974555
A,1,ss_ukr_rus_twitter,39,60,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",0.33291423693299294,0.9108901156319512,0.9955396122402616,0.18534977692696783,0.810189836555057
A,1,ss_ukr_rus_twitter,39,180,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",0.1133535515723957,0.9677179257074991,0.996966713004642,0.07024048567594339,0.9267262352837456
A,1,ss_ukr_rus_twitter,39,500,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",0.12432833334605675,0.9643832312689887,0.9970848626560636,0.0745828183223946,0.9225020474857755
A,1,ss_ukr_rus_twitter,40,20,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",4.038036690817939,0.52186605003145,0.9175565640131632,0.9434326688448588,-0.025876104831695557
A,1,ss_ukr_rus_twitter,40,60,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",0.2733260580442018,0.936212526427375,0.9959752824571397,0.13604340309070218,0.8599318729506599
A,1,ss_ukr_rus_twitter,40,180,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",0.030741457497545827,0.9961410893334283,0.9971012473106384,0.009269743895856664,0.9878314998414781
A,1,ss_ukr_rus_twitter,40,500,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",0.011828874697029177,0.9977085259225633,0.9974786506758796,0.0034988458396077882,0.9939798182911344
A,1,ss_ukr_rus_twitter,41,20,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",3.566825363371107,0.5153938200738695,0.9078345961040921,0.9456615183088515,-0.03782692220475939
A,1,ss_ukr_rus_twitter,41,60,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",0.7712179277506139,0.8637576831711663,0.9958795176612006,0.2742959971850117,0.7215835253397623
A,1,ss_ukr_rus_twitter,41,180,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",0.32492071060308564,0.9358067115147909,0.9969410234027438,0.1314237957703881,0.8655172321531508
A,1,ss_ukr_rus_twitter,41,500,1,ukr_rus_twitter,"specialist:ukr_rus_twitter,ladder:A:1",0.3645874097467943,0.9342715276612176,0.9970274964968363,0.1327941413490205,0.8642333481046889
A,2,ordA_r2,39,20,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,2.0165081553988986,0.5465338031450907,0.8612769709693061,0.8594660626517402,0.001810908317565918
A,2,ordA_r2,39,60,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,0.09486769066683741,0.9856197701560127,0.9934941331545512,0.0276287379868639,0.9658653868569268
A,2,ordA_r2,39,180,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,0.02163987858714083,0.9963718851407369,0.9967257181803385,0.005179060590712147,0.9915466705958048
A,2,ordA_r2,39,500,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,0.014234312125962687,0.9975056582027011,0.9969691700405545,0.0025272132084587107,0.9944419595930312
A,2,ordA_r2,40,20,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,2.1264375713136463,0.5628608796331618,0.8775068057907952,0.8251551853285896,0.05235162046220568
A,2,ordA_r2,40,60,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,0.0782439019660362,0.9839757548438178,0.9899071852366129,0.03591575089295576,0.95399143298467
A,2,ordA_r2,40,180,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,0.040454843181578326,0.9909761349360148,0.9968114296595255,0.02317357315809608,0.9736378524038527
A,2,ordA_r2,40,500,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,0.024567063298251115,0.9959754546483358,0.9969508316781786,0.009807317492333014,0.9871435165405273
A,2,ordA_r2,41,20,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,3.7872887982262506,0.5217181576622857,0.8942218886481391,0.944134944015079,-0.04991305536693997
A,2,ordA_r2,41,60,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,0.09347684057300082,0.9869324167569479,0.9924277067184448,0.02890067135417161,0.9635270370377435
A,2,ordA_r2,41,180,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,0.07410218291907869,0.9897113906012641,0.9967507388856676,0.02225528010320785,0.9744954572783576
A,2,ordA_r2,41,500,2,"ukr_rus_twitter,covid19_twitter",ladder:A:2,0.054153273721693845,0.9919334120220609,0.9969583021269904,0.015500054258761034,0.9814582467079163
B,2,ordB_r2,39,20,2,"ukr_rus_suspended,election2020",ladder:B:2,1.3522376981046464,0.6363296045197381,0.6789333952797784,0.6961971157126956,-0.017263720432917278
B,2,ordB_r2,39,60,2,"ukr_rus_suspended,election2020",ladder:B:2,0.23981562380989394,0.9177858299679227,0.9712277518378364,0.18376594616307151,0.7874618106418185
B,2,ordB_r2,39,180,2,"ukr_rus_suspended,election2020",ladder:B:2,0.0009948607888266754,0.9999996225039164,0.9982935984929403,0.00023434646350829603,0.9980592528978983
B,2,ordB_r2,39,500,2,"ukr_rus_suspended,election2020",ladder:B:2,0.00016006614086134304,0.9999999933772616,0.9996872875425551,4.354868723213359e-06,0.9996829297807481
B,2,ordB_r2,40,20,2,"ukr_rus_suspended,election2020",ladder:B:2,1.504647023148007,0.6466166973114014,0.8878288533952501,0.6859987676143646,0.2018300857808855
B,2,ordB_r2,40,60,2,"ukr_rus_suspended,election2020",ladder:B:2,1.1278008106682036,0.6962799032529196,0.8963245617018806,0.5593365463945601,0.33698801861868966
