train_source,model_id,seed,checkpoint_update,n_sources,sources,aliases,target,in_training,loss,accuracy,positive_probability,negative_probability,probability_margin
covid19_twitter,ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,ukr_rus_twitter,False,0.0038338068407028913,0.9992233514785767,0.993565022945404,6.084828783059493e-05,0.9935041666030884
covid19_twitter,ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,covid19_twitter,True,1.6479001715197228e-05,1.0,0.9999691843986511,2.07258790396736e-06,0.999967098236084
covid19_twitter,ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,midterm,False,0.000407582672778517,0.9999200105667114,0.9996561408042908,0.00024297594791278243,0.9994131922721863
covid19_twitter,ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,covid_political,False,0.3653644025325775,0.9680508971214294,1.0,0.06459729373455048,0.9354026913642883
covid19_twitter,ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,election2020,False,0.00011436294880695641,1.0,0.9999104142189026,0.00013884715735912323,0.9997715950012207
covid19_twitter,ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,ukr_rus_suspended,False,0.3447149097919464,0.9495746493339539,0.9732112884521484,0.07491079717874527,0.8983004689216614
covid19_twitter,ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,twibot20,False,0.0023218761198222637,0.9998899698257446,0.9992380142211914,0.0036605000495910645,0.9955775141716003
covid19_twitter,ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,cp_hk_twitter,False,0.0008142071310430765,0.9999033212661743,0.9988335371017456,0.00023723045887891203,0.9985963106155396
covid19_twitter,ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,facebook_page_reference,False,0.4312427043914795,0.9643999934196472,0.9995116591453552,0.07333844900131226,0.926173210144043
covid19_twitter,ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,ukr_rus_twitter,False,0.023614956066012383,0.9921299815177917,0.9783176779747009,1.7384592865710147e-05,0.9783002734184265
covid19_twitter,ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,covid19_twitter,True,2.010686876019463e-05,1.0,0.9999622106552124,2.33190189646848e-06,0.9999598860740662
covid19_twitter,ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,midterm,False,0.0030211552511900663,0.9994266629219055,0.9965687394142151,1.3588342881121207e-05,0.9965551495552063
covid19_twitter,ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,covid_political,False,0.14581596851348877,0.983609139919281,0.9999873638153076,0.03340325504541397,0.9665840864181519
covid19_twitter,ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,election2020,False,0.0014908579178154469,0.9996895790100098,0.9999704360961914,0.0023499010130763054,0.9976205229759216
covid19_twitter,ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,ukr_rus_suspended,False,0.3349471986293793,0.9741959571838379,0.9714321494102478,0.04718310013413429,0.9242490530014038
covid19_twitter,ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,twibot20,False,0.005064178258180618,0.9980133175849915,0.9951980113983154,4.868653923040256e-05,0.9951493144035339
covid19_twitter,ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,cp_hk_twitter,False,0.006801377981901169,0.9976833462715149,0.9942700862884521,1.160788451670669e-05,0.994258463382721
covid19_twitter,ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,facebook_page_reference,False,0.055940546095371246,0.9942633509635925,0.9994461536407471,0.01085009053349495,0.9885960817337036
