variant,order,rung,task,dataset,role,control_value,variant_value,delta_vs_matched40k,control_model,variant_model
fixed10k,A,1,classification,covid_political,heldout,0.9259742222222223,0.9398366666666668,0.01386244444444451,matched40k__nm_ladder_h2m_ordA_r1,fixed10k__nm_ladder_fx10k_h2m_ordA_r1
fixed10k,A,1,classification,election2020,heldout,0.986394,0.984434,-0.0019599999999999618,matched40k__nm_ladder_h2m_ordA_r1,fixed10k__nm_ladder_fx10k_h2m_ordA_r1
fixed10k,A,1,classification,twibot20,heldout,0.622469125,0.5996371666666667,-0.02283195833333329,matched40k__nm_ladder_h2m_ordA_r1,fixed10k__nm_ladder_fx10k_h2m_ordA_r1
fixed10k,A,1,classification,ukr_rus_suspended,heldout,0.480718,0.483672,0.002954000000000012,matched40k__nm_ladder_h2m_ordA_r1,fixed10k__nm_ladder_fx10k_h2m_ordA_r1
fixed10k,A,2,classification,covid_political,heldout,0.9308580555555556,0.939150888888889,0.008292833333333416,matched40k__nm_ladder_h2m_ordA_r2,fixed10k__nm_ladder_fx10k_h2m_ordA_r2
fixed10k,A,2,classification,election2020,heldout,0.984216,0.9795020000000001,-0.004713999999999885,matched40k__nm_ladder_h2m_ordA_r2,fixed10k__nm_ladder_fx10k_h2m_ordA_r2
fixed10k,A,2,classification,twibot20,heldout,0.5967944444444445,0.6280235277777778,0.031229083333333296,matched40k__nm_ladder_h2m_ordA_r2,fixed10k__nm_ladder_fx10k_h2m_ordA_r2
fixed10k,A,2,classification,ukr_rus_suspended,heldout,0.47898599999999997,0.50444,0.025454000000000032,matched40k__nm_ladder_h2m_ordA_r2,fixed10k__nm_ladder_fx10k_h2m_ordA_r2
fixed10k,A,3,classification,covid_political,heldout,0.9286403749999999,0.9247415555555556,-0.003898819444444257,matched40k__nm_ladder_h2m_ordA_r3,fixed10k__nm_ladder_fx10k_h2m_ordA_r3
fixed10k,A,3,classification,election2020,heldout,0.985774,0.9856880000000001,-8.599999999991947e-05,matched40k__nm_ladder_h2m_ordA_r3,fixed10k__nm_ladder_fx10k_h2m_ordA_r3
fixed10k,A,3,classification,twibot20,heldout,0.5907462916666667,0.6323104444444445,0.04156415277777781,matched40k__nm_ladder_h2m_ordA_r3,fixed10k__nm_ladder_fx10k_h2m_ordA_r3
fixed10k,A,3,classification,ukr_rus_suspended,heldout,0.502724,0.498614,-0.004109999999999947,matched40k__nm_ladder_h2m_ordA_r3,fixed10k__nm_ladder_fx10k_h2m_ordA_r3
fixed10k,A,4,classification,covid_political,newcomer,0.9109949305555556,0.9097040694444445,-0.0012908611111110968,matched40k__nm_ladder_h2m_ordA_r4,fixed10k__nm_ladder_fx10k_h2m_ordA_r4
fixed10k,A,4,classification,election2020,heldout,0.983584,0.976948,-0.006635999999999975,matched40k__nm_ladder_h2m_ordA_r4,fixed10k__nm_ladder_fx10k_h2m_ordA_r4
fixed10k,A,4,classification,twibot20,heldout,0.6206157361111111,0.6012166805555555,-0.019399055555555544,matched40k__nm_ladder_h2m_ordA_r4,fixed10k__nm_ladder_fx10k_h2m_ordA_r4
fixed10k,A,4,classification,ukr_rus_suspended,heldout,0.48990999999999996,0.501516,0.011606000000000005,matched40k__nm_ladder_h2m_ordA_r4,fixed10k__nm_ladder_fx10k_h2m_ordA_r4
fixed10k,A,5,classification,covid_political,incumbent,0.9109009166666666,0.916449861111111,0.005548944444444426,matched40k__nm_ladder_h2m_ordA_r5,fixed10k__nm_ladder_fx10k_h2m_ordA_r5
fixed10k,A,5,classification,election2020,newcomer,0.9851540000000001,0.9825520000000001,-0.002601999999999993,matched40k__nm_ladder_h2m_ordA_r5,fixed10k__nm_ladder_fx10k_h2m_ordA_r5
fixed10k,A,5,classification,twibot20,heldout,0.5952293611111111,0.5954733055555556,0.00024394444444442165,matched40k__nm_ladder_h2m_ordA_r5,fixed10k__nm_ladder_fx10k_h2m_ordA_r5
fixed10k,A,5,classification,ukr_rus_suspended,heldout,0.483668,0.494848,0.011180000000000023,matched40k__nm_ladder_h2m_ordA_r5,fixed10k__nm_ladder_fx10k_h2m_ordA_r5
fixed10k,A,6,classification,covid_political,incumbent,0.8821471388888888,0.904645763888889,0.022498625000000105,matched40k__nm_ladder_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r6
fixed10k,A,6,classification,election2020,incumbent,0.98081,0.9815879999999999,0.0007779999999999454,matched40k__nm_ladder_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r6
fixed10k,A,6,classification,twibot20,heldout,0.6031777777777778,0.5889944166666666,-0.014183361111111181,matched40k__nm_ladder_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r6
fixed10k,A,6,classification,ukr_rus_suspended,newcomer,0.48310600000000004,0.514622,0.03151599999999999,matched40k__nm_ladder_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r6
fixed10k,A,7,classification,covid_political,incumbent,0.9289335555555557,0.9170670555555555,-0.011866500000000224,matched40k__nm_ladder_h2m_ordA_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,A,7,classification,election2020,incumbent,0.9830399999999999,0.978086,-0.004953999999999903,matched40k__nm_ladder_h2m_ordA_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,A,7,classification,twibot20,newcomer,0.6257938333333334,0.619304875,-0.0064889583333334055,matched40k__nm_ladder_h2m_ordA_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,A,7,classification,ukr_rus_suspended,incumbent,0.48111200000000004,0.48026199999999997,-0.0008500000000000729,matched40k__nm_ladder_h2m_ordA_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,A,8,classification,covid_political,incumbent,0.9147064166666666,0.8974852361111111,-0.01722118055555555,matched40k__nm_ladder_h2m_ordA_r8,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
fixed10k,A,8,classification,election2020,incumbent,0.9761920000000001,0.983344,0.007151999999999936,matched40k__nm_ladder_h2m_ordA_r8,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
fixed10k,A,8,classification,twibot20,incumbent,0.5938041111111111,0.567819625,-0.025984486111111038,matched40k__nm_ladder_h2m_ordA_r8,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
fixed10k,A,8,classification,ukr_rus_suspended,incumbent,0.49102599999999996,0.499484,0.008458000000000021,matched40k__nm_ladder_h2m_ordA_r8,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
sequential,A,1,classification,covid_political,heldout,0.9259742222222223,0.9224760277777778,-0.0034981944444444357,matched40k__nm_ladder_h2m_ordA_r1,sequential__nm_ladder_seq_h2m_r1
sequential,A,1,classification,election2020,heldout,0.986394,0.983852,-0.0025420000000000442,matched40k__nm_ladder_h2m_ordA_r1,sequential__nm_ladder_seq_h2m_r1
sequential,A,1,classification,twibot20,heldout,0.622469125,0.5986619166666667,-0.023807208333333274,matched40k__nm_ladder_h2m_ordA_r1,sequential__nm_ladder_seq_h2m_r1
sequential,A,1,classification,ukr_rus_suspended,heldout,0.480718,0.503556,0.022838000000000025,matched40k__nm_ladder_h2m_ordA_r1,sequential__nm_ladder_seq_h2m_r1
sequential,A,2,classification,covid_political,heldout,0.9308580555555556,0.9111218055555556,-0.01973625000000001,matched40k__nm_ladder_h2m_ordA_r2,sequential__nm_ladder_seq_h2m_r2
sequential,A,2,classification,election2020,heldout,0.984216,0.9845759999999999,0.00035999999999991594,matched40k__nm_ladder_h2m_ordA_r2,sequential__nm_ladder_seq_h2m_r2
sequential,A,2,classification,twibot20,heldout,0.5967944444444445,0.5966745555555556,-0.00011988888888891935,matched40k__nm_ladder_h2m_ordA_r2,sequential__nm_ladder_seq_h2m_r2
sequential,A,2,classification,ukr_rus_suspended,heldout,0.47898599999999997,0.49189400000000005,0.012908000000000086,matched40k__nm_ladder_h2m_ordA_r2,sequential__nm_ladder_seq_h2m_r2
sequential,A,3,classification,covid_political,heldout,0.9286403749999999,0.8973032361111112,-0.03133713888888867,matched40k__nm_ladder_h2m_ordA_r3,sequential__nm_ladder_seq_h2m_r3
sequential,A,3,classification,election2020,heldout,0.985774,0.987904,0.0021299999999999653,matched40k__nm_ladder_h2m_ordA_r3,sequential__nm_ladder_seq_h2m_r3
sequential,A,3,classification,twibot20,heldout,0.5907462916666667,0.5561518333333333,-0.03459445833333341,matched40k__nm_ladder_h2m_ordA_r3,sequential__nm_ladder_seq_h2m_r3
sequential,A,3,classification,ukr_rus_suspended,heldout,0.502724,0.51586,0.013136000000000037,matched40k__nm_ladder_h2m_ordA_r3,sequential__nm_ladder_seq_h2m_r3
sequential,A,4,classification,covid_political,newcomer,0.9109949305555556,0.880561125,-0.030433805555555637,matched40k__nm_ladder_h2m_ordA_r4,sequential__nm_ladder_seq_h2m_r4
sequential,A,4,classification,election2020,heldout,0.983584,0.979134,-0.004450000000000065,matched40k__nm_ladder_h2m_ordA_r4,sequential__nm_ladder_seq_h2m_r4
sequential,A,4,classification,twibot20,heldout,0.6206157361111111,0.5185205833333333,-0.10209515277777781,matched40k__nm_ladder_h2m_ordA_r4,sequential__nm_ladder_seq_h2m_r4
sequential,A,4,classification,ukr_rus_suspended,heldout,0.48990999999999996,0.48895199999999994,-0.0009580000000000144,matched40k__nm_ladder_h2m_ordA_r4,sequential__nm_ladder_seq_h2m_r4
sequential,A,5,classification,covid_political,incumbent,0.9109009166666666,0.9343511527777778,0.02345023611111119,matched40k__nm_ladder_h2m_ordA_r5,sequential__nm_ladder_seq_h2m_r5
sequential,A,5,classification,election2020,newcomer,0.9851540000000001,0.978344,-0.006810000000000094,matched40k__nm_ladder_h2m_ordA_r5,sequential__nm_ladder_seq_h2m_r5
sequential,A,5,classification,twibot20,heldout,0.5952293611111111,0.5759424305555556,-0.019286930555555526,matched40k__nm_ladder_h2m_ordA_r5,sequential__nm_ladder_seq_h2m_r5
sequential,A,5,classification,ukr_rus_suspended,heldout,0.483668,0.51838,0.034711999999999965,matched40k__nm_ladder_h2m_ordA_r5,sequential__nm_ladder_seq_h2m_r5
sequential,A,6,classification,covid_political,incumbent,0.8821471388888888,0.8496911805555556,-0.03245595833333326,matched40k__nm_ladder_h2m_ordA_r6,sequential__nm_ladder_seq_h2m_r6
sequential,A,6,classification,election2020,incumbent,0.98081,0.981252,0.00044200000000005346,matched40k__nm_ladder_h2m_ordA_r6,sequential__nm_ladder_seq_h2m_r6
sequential,A,6,classification,twibot20,heldout,0.6031777777777778,0.5603200138888889,-0.042857763888888956,matched40k__nm_ladder_h2m_ordA_r6,sequential__nm_ladder_seq_h2m_r6
sequential,A,6,classification,ukr_rus_suspended,newcomer,0.48310600000000004,0.512894,0.029787999999999926,matched40k__nm_ladder_h2m_ordA_r6,sequential__nm_ladder_seq_h2m_r6
sequential,A,7,classification,covid_political,incumbent,0.9289335555555557,0.9097050416666667,-0.01922851388888902,matched40k__nm_ladder_h2m_ordA_r7,sequential__nm_ladder_seq_h2m_r7
sequential,A,7,classification,election2020,incumbent,0.9830399999999999,0.983844,0.0008040000000001379,matched40k__nm_ladder_h2m_ordA_r7,sequential__nm_ladder_seq_h2m_r7
sequential,A,7,classification,twibot20,newcomer,0.6257938333333334,0.6152162083333335,-0.010577624999999924,matched40k__nm_ladder_h2m_ordA_r7,sequential__nm_ladder_seq_h2m_r7
sequential,A,7,classification,ukr_rus_suspended,incumbent,0.48111200000000004,0.50047,0.01935799999999993,matched40k__nm_ladder_h2m_ordA_r7,sequential__nm_ladder_seq_h2m_r7
sequential,A,8,classification,covid_political,incumbent,0.9147064166666666,0.8738663611111112,-0.04084005555555548,matched40k__nm_ladder_h2m_ordA_r8,sequential__nm_ladder_seq_h2m_r8
sequential,A,8,classification,election2020,incumbent,0.9761920000000001,0.985504,0.009311999999999987,matched40k__nm_ladder_h2m_ordA_r8,sequential__nm_ladder_seq_h2m_r8
sequential,A,8,classification,twibot20,incumbent,0.5938041111111111,0.6425092083333332,0.04870509722222216,matched40k__nm_ladder_h2m_ordA_r8,sequential__nm_ladder_seq_h2m_r8
sequential,A,8,classification,ukr_rus_suspended,incumbent,0.49102599999999996,0.49882400000000005,0.007798000000000083,matched40k__nm_ladder_h2m_ordA_r8,sequential__nm_ladder_seq_h2m_r8
