logical_id,variant,order,rung,added,sources,model_key,checkpoint_step,schedule,exposure,train_edges,ukr_rus_twitter,covid19_twitter,midterm,twibot20,cp_hk_twitter
fixed10k_A_r1,fixed10k,A,1,ukr_rus,ukr_rus,fixed10k__nm_ladder_fx10k_h2m_ordA_r1,10000,interleaved,10k_per_active_source,full_adjacency,0.7651795918367347,0.8591387755102041,0.7045030612244898,0.7663461734693877,0.5557650510204082
fixed10k_A_r2,fixed10k,A,2,covid,"ukr_rus,covid",fixed10k__nm_ladder_fx10k_h2m_ordA_r2,20000,interleaved,10k_per_active_source,full_adjacency,0.7777663265306123,0.9002556122448979,0.7150086734693878,0.8348545918367347,0.5661872448979591
fixed10k_A_r3,fixed10k,A,3,midterm,"ukr_rus,covid,midterm",fixed10k__nm_ladder_fx10k_h2m_ordA_r3,30000,interleaved,10k_per_active_source,full_adjacency,0.7715872448979592,0.8852497448979592,0.728195918367347,0.8274112244897959,0.5569122448979592
fixed10k_A_r4,fixed10k,A,4,covid_political,"ukr_rus,covid,midterm,covid_political",fixed10k__nm_ladder_fx10k_h2m_ordA_r4,40000,interleaved,10k_per_active_source,full_adjacency,0.7572510204081633,0.8692066326530612,0.7154341836734693,0.8206392857142857,0.5694489795918367
fixed10k_A_r5,fixed10k,A,5,election2020,"ukr_rus,covid,midterm,covid_political,election2020",fixed10k__nm_ladder_fx10k_h2m_ordA_r5,50000,interleaved,10k_per_active_source,full_adjacency,0.7389153061224489,0.8691239795918367,0.7317497448979592,0.8183801020408163,0.5678209183673469
fixed10k_A_r6,fixed10k,A,6,ukr_rus_suspended,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",fixed10k__nm_ladder_fx10k_h2m_ordA_r6,60000,interleaved,10k_per_active_source,full_adjacency,0.7427413265306122,0.8609270408163265,0.7059877551020408,0.8039627551020408,0.5475316326530613
fixed10k_A_r7,fixed10k,A,7,twibot20,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",fixed10k__nm_ladder_fx10k_h2m_ordA_r7,70000,interleaved,10k_per_active_source,full_adjacency,0.7257734693877551,0.8553239795918367,0.6997127551020408,0.8073255102040816,0.5549857142857143
fixed10k_A_r8,fixed10k,A,8,cp_hk,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",fixed10k__nm_ladder_fx10k_h2m_ordA_r8,80000,interleaved,10k_per_active_source,full_adjacency,0.7068801020408163,0.842634693877551,0.6940454081632653,0.8015423469387755,0.5583525510204081
fixed10k_C_r1,fixed10k,C,1,election2020,election2020,fixed10k__nm_ladder_fx10k_h2m_ordC_r1,10000,interleaved,10k_per_active_source,full_adjacency,0.5590112244897959,0.4844341836734694,0.5659877551020408,0.5376392857142858,0.4578464285714286
fixed10k_C_r2,fixed10k,C,2,covid_political,"election2020,covid_political",fixed10k__nm_ladder_fx10k_h2m_ordC_r2,20000,interleaved,10k_per_active_source,full_adjacency,0.5288244897959183,0.5784479591836734,0.6418385204081632,0.6183872448979592,0.49844770408163264
fixed10k_C_r3,fixed10k,C,3,cp_hk,"election2020,covid_political,cp_hk",fixed10k__nm_ladder_fx10k_h2m_ordC_r3,30000,interleaved,10k_per_active_source,full_adjacency,0.5500790816326531,0.6328142857142857,0.6398005102040817,0.6455994897959184,0.5730173469387755
fixed10k_C_r4,fixed10k,C,4,ukr_rus_suspended,"election2020,covid_political,cp_hk,ukr_rus_suspended",fixed10k__nm_ladder_fx10k_h2m_ordC_r4,40000,interleaved,10k_per_active_source,full_adjacency,0.5521122448979592,0.6596857142857143,0.6283688775510204,0.6274262755102041,0.5439530612244898
fixed10k_C_r5,fixed10k,C,5,midterm,"election2020,covid_political,cp_hk,ukr_rus_suspended,midterm",fixed10k__nm_ladder_fx10k_h2m_ordC_r5,50000,interleaved,10k_per_active_source,full_adjacency,0.5898908163265306,0.7264969387755102,0.6655576530612245,0.650784693877551,0.5507130102040816
fixed10k_C_r6,fixed10k,C,6,twibot20,"election2020,covid_political,cp_hk,ukr_rus_suspended,midterm,twibot20",fixed10k__nm_ladder_fx10k_h2m_ordC_r6,60000,interleaved,10k_per_active_source,full_adjacency,0.6359561224489796,0.7804142857142857,0.6904204081632653,0.8074908163265306,0.556034693877551
fixed10k_C_r7,fixed10k,C,7,ukr_rus,"election2020,covid_political,cp_hk,ukr_rus_suspended,midterm,twibot20,ukr_rus",fixed10k__nm_ladder_fx10k_h2m_ordC_r7,70000,interleaved,10k_per_active_source,full_adjacency,0.7169795918367347,0.8359831632653061,0.695798724489796,0.8082852040816326,0.5554859693877551
fixed10k_C_r8,fixed10k,C,8,covid,"election2020,covid_political,cp_hk,ukr_rus_suspended,midterm,twibot20,ukr_rus,covid",fixed10k__nm_ladder_fx10k_h2m_ordA_r8,80000,interleaved,10k_per_active_source,full_adjacency,0.7068801020408163,0.842634693877551,0.6940454081632653,0.8015423469387755,0.5583525510204081
matched40k_A_r1,matched40k,A,1,ukr_rus,ukr_rus,matched40k__nm_ladder_h2m_ordA_r1,40000,interleaved,matched_total_40k,full_adjacency,0.7700862244897959,0.8777173469387755,0.709722193877551,0.7956642857142857,0.5700869897959183
matched40k_A_r2,matched40k,A,2,covid,"ukr_rus,covid",matched40k__nm_ladder_h2m_ordA_r2,40000,interleaved,matched_total_40k,full_adjacency,0.7669479591836734,0.8798551020408163,0.7108482142857143,0.8174142857142858,0.5617992346938776
matched40k_A_r3,matched40k,A,3,midterm,"ukr_rus,covid,midterm",matched40k__nm_ladder_h2m_ordA_r3,40000,interleaved,matched_total_40k,full_adjacency,0.7545926020408164,0.8810892857142857,0.7105086734693877,0.815968112244898,0.5607147959183674
matched40k_A_r4,matched40k,A,4,covid_political,"ukr_rus,covid,midterm,covid_political",matched40k__nm_ladder_h2m_ordA_r4,40000,interleaved,matched_total_40k,full_adjacency,0.747455612244898,0.8635744897959183,0.7270285714285715,0.7985979591836735,0.5659785714285714
matched40k_A_r5,matched40k,A,5,election2020,"ukr_rus,covid,midterm,covid_political,election2020",matched40k__nm_ladder_h2m_ordA_r5,40000,interleaved,matched_total_40k,full_adjacency,0.7617158163265306,0.8800505102040816,0.7289959183673469,0.8248301020408163,0.5566436224489796
matched40k_A_r6,matched40k,A,6,ukr_rus_suspended,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",matched40k__nm_ladder_h2m_ordA_r6,40000,interleaved,matched_total_40k,full_adjacency,0.7191510204081633,0.8442448979591837,0.7044964285714286,0.7942908163265306,0.5436918367346939
matched40k_A_r7,matched40k,A,7,twibot20,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",matched40k__nm_ladder_h2m_ordA_r7,40000,interleaved,matched_total_40k,full_adjacency,0.729068112244898,0.8669346938775511,0.7062377551020408,0.8212255102040816,0.5585357142857142
matched40k_A_r8,matched40k,A,8,cp_hk,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",matched40k__nm_ladder_h2m_ordA_r8,40000,interleaved,matched_total_40k,full_adjacency,0.7350484693877551,0.8551438775510204,0.7064035714285715,0.8129150510204082,0.5587581632653061
sequential_A_r1,sequential,A,1,ukr_rus,ukr_rus,sequential__nm_ladder_seq_h2m_r1,40000,sequential_blocks,matched_total_40k,full_adjacency,0.7719535714285715,0.874644387755102,0.7077545918367347,0.8013627551020408,0.5711117346938775
sequential_A_r2,sequential,A,2,covid,"ukr_rus,covid",sequential__nm_ladder_seq_h2m_r2,40000,sequential_blocks,matched_total_40k,full_adjacency,0.7463826530612245,0.8876505102040816,0.7202928571428572,0.8033234693877551,0.552375
sequential_A_r3,sequential,A,3,midterm,"ukr_rus,covid,midterm",sequential__nm_ladder_seq_h2m_r3,40000,sequential_blocks,matched_total_40k,full_adjacency,0.6345229591836735,0.7979994897959184,0.6838739795918367,0.7456698979591837,0.5213642857142857
sequential_A_r4,sequential,A,4,covid_political,"ukr_rus,covid,midterm,covid_political",sequential__nm_ladder_seq_h2m_r4,40000,sequential_blocks,matched_total_40k,full_adjacency,0.6357908163265306,0.7658617346938775,0.6731948979591836,0.7152770408163265,0.5361530612244898
sequential_A_r5,sequential,A,5,election2020,"ukr_rus,covid,midterm,covid_political,election2020",sequential__nm_ladder_seq_h2m_r5,40000,sequential_blocks,matched_total_40k,full_adjacency,0.5351341836734694,0.6281734693877551,0.6634117346938776,0.6140915816326531,0.49460561224489796
sequential_A_r6,sequential,A,6,ukr_rus_suspended,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",sequential__nm_ladder_seq_h2m_r6,40000,sequential_blocks,matched_total_40k,full_adjacency,0.5969507653061225,0.6977339285714286,0.5814747448979591,0.6091961734693877,0.49217755102040817
sequential_A_r7,sequential,A,7,twibot20,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",sequential__nm_ladder_seq_h2m_r7,40000,sequential_blocks,matched_total_40k,full_adjacency,0.6558410714285714,0.8059836734693877,0.6657010204081633,0.8196433673469388,0.5168341836734693
sequential_A_r8,sequential,A,8,cp_hk,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",sequential__nm_ladder_seq_h2m_r8,40000,sequential_blocks,matched_total_40k,full_adjacency,0.5824321428571428,0.707534693877551,0.6090989795918368,0.6307257653061225,0.5312206632653061
split_A_r1,split,A,1,ukr_rus,ukr_rus,split__nm_ladder_tts_h2m_r1,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.7849755102040816,0.8788540816326531,0.7102275510204081,0.8246956632653061,0.5758015306122449
split_A_r2,split,A,2,covid,"ukr_rus,covid",split__nm_ladder_tts_h2m_r2,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.7585301020408163,0.8937390306122449,0.7084295918367347,0.8048441326530612,0.5589946428571428
split_A_r3,split,A,3,midterm,"ukr_rus,covid,midterm",split__nm_ladder_tts_h2m_r3,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.7709533163265306,0.8838520408163265,0.7277030612244898,0.8323260204081633,0.5636576530612245
split_A_r4,split,A,4,covid_political,"ukr_rus,covid,midterm,covid_political",split__nm_ladder_tts_h2m_r4,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.7213785714285714,0.8559770408163265,0.7289525510204081,0.8079505102040816,0.5405954081632653
split_A_r5,split,A,5,election2020,"ukr_rus,covid,midterm,covid_political,election2020",split__nm_ladder_tts_h2m_r5,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.7537719387755102,0.8537867346938776,0.7189204081632653,0.8101877551020408,0.5613446428571428
split_A_r6,split,A,6,ukr_rus_suspended,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",split__nm_ladder_tts_h2m_r6,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.7223211734693877,0.8492780612244898,0.6953382653061224,0.780030612244898,0.5536744897959184
split_A_r7,split,A,7,twibot20,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",split__nm_ladder_tts_h2m_r7,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.7293566326530613,0.856084693877551,0.7026625,0.8249260204081633,0.5483739795918368
split_A_r8,split,A,8,cp_hk,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",split__nm_ladder_tts_h2m_r8,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.7299137755102041,0.8571117346938776,0.7068173469387755,0.8183877551020409,0.5617392857142857
