variant,order,task,dataset,entry_rung,before,after,delta,before_model,after_model
fixed10k,A,classification,covid_political,4,0.9247415555555556,0.9097040694444445,-0.015037486111111109,fixed10k__nm_ladder_fx10k_h2m_ordA_r3,fixed10k__nm_ladder_fx10k_h2m_ordA_r4
fixed10k,A,classification,election2020,5,0.976948,0.9825520000000001,0.005604000000000053,fixed10k__nm_ladder_fx10k_h2m_ordA_r4,fixed10k__nm_ladder_fx10k_h2m_ordA_r5
fixed10k,A,classification,ukr_rus_suspended,6,0.494848,0.514622,0.019774000000000014,fixed10k__nm_ladder_fx10k_h2m_ordA_r5,fixed10k__nm_ladder_fx10k_h2m_ordA_r6
fixed10k,A,classification,twibot20,7,0.5889944166666666,0.619304875,0.030310458333333345,fixed10k__nm_ladder_fx10k_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,C,classification,covid_political,2,0.9267924027777779,0.8932341527777776,-0.033558250000000234,fixed10k__nm_ladder_fx10k_h2m_ordC_r1,fixed10k__nm_ladder_fx10k_h2m_ordC_r2
fixed10k,C,classification,ukr_rus_suspended,4,0.48087,0.49538400000000005,0.014514000000000027,fixed10k__nm_ladder_fx10k_h2m_ordC_r3,fixed10k__nm_ladder_fx10k_h2m_ordC_r4
fixed10k,C,classification,twibot20,6,0.5552485972222222,0.5959828611111111,0.0407342638888889,fixed10k__nm_ladder_fx10k_h2m_ordC_r5,fixed10k__nm_ladder_fx10k_h2m_ordC_r6
matched40k,A,classification,covid_political,4,0.9286403749999999,0.9109949305555556,-0.01764544444444427,matched40k__nm_ladder_h2m_ordA_r3,matched40k__nm_ladder_h2m_ordA_r4
matched40k,A,classification,election2020,5,0.983584,0.9851540000000001,0.0015700000000000713,matched40k__nm_ladder_h2m_ordA_r4,matched40k__nm_ladder_h2m_ordA_r5
matched40k,A,classification,ukr_rus_suspended,6,0.483668,0.48310600000000004,-0.0005619999999999514,matched40k__nm_ladder_h2m_ordA_r5,matched40k__nm_ladder_h2m_ordA_r6
matched40k,A,classification,twibot20,7,0.6031777777777778,0.6257938333333334,0.02261605555555557,matched40k__nm_ladder_h2m_ordA_r6,matched40k__nm_ladder_h2m_ordA_r7
sequential,A,classification,covid_political,4,0.8973032361111112,0.880561125,-0.016742111111111235,sequential__nm_ladder_seq_h2m_r3,sequential__nm_ladder_seq_h2m_r4
sequential,A,classification,election2020,5,0.979134,0.978344,-0.0007899999999999574,sequential__nm_ladder_seq_h2m_r4,sequential__nm_ladder_seq_h2m_r5
sequential,A,classification,ukr_rus_suspended,6,0.51838,0.512894,-0.005485999999999991,sequential__nm_ladder_seq_h2m_r5,sequential__nm_ladder_seq_h2m_r6
sequential,A,classification,twibot20,7,0.5603200138888889,0.6152162083333335,0.0548961944444446,sequential__nm_ladder_seq_h2m_r6,sequential__nm_ladder_seq_h2m_r7
split,A,classification,covid_political,4,0.9322020694444443,0.9116570833333333,-0.020544986111110997,split__nm_ladder_tts_h2m_r3,split__nm_ladder_tts_h2m_r4
split,A,classification,election2020,5,0.980612,0.9820479999999999,0.0014359999999998818,split__nm_ladder_tts_h2m_r4,split__nm_ladder_tts_h2m_r5
split,A,classification,ukr_rus_suspended,6,0.494548,0.493444,-0.0011039999999999939,split__nm_ladder_tts_h2m_r5,split__nm_ladder_tts_h2m_r6
split,A,classification,twibot20,7,0.6030469583333333,0.5957650555555556,-0.007281902777777738,split__nm_ladder_tts_h2m_r6,split__nm_ladder_tts_h2m_r7
fixed10k,A,static_lp,covid19_twitter,2,0.8591387755102041,0.9002556122448979,0.041116836734693796,fixed10k__nm_ladder_fx10k_h2m_ordA_r1,fixed10k__nm_ladder_fx10k_h2m_ordA_r2
fixed10k,A,static_lp,midterm,3,0.7150086734693878,0.728195918367347,0.013187244897959194,fixed10k__nm_ladder_fx10k_h2m_ordA_r2,fixed10k__nm_ladder_fx10k_h2m_ordA_r3
fixed10k,A,static_lp,twibot20,7,0.8039627551020408,0.8073255102040816,0.0033627551020407598,fixed10k__nm_ladder_fx10k_h2m_ordA_r6,fixed10k__nm_ladder_fx10k_h2m_ordA_r7
fixed10k,A,static_lp,cp_hk_twitter,8,0.5549857142857143,0.5583525510204081,0.0033668367346938455,fixed10k__nm_ladder_fx10k_h2m_ordA_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
fixed10k,C,static_lp,cp_hk_twitter,3,0.49844770408163264,0.5730173469387755,0.07456964285714285,fixed10k__nm_ladder_fx10k_h2m_ordC_r2,fixed10k__nm_ladder_fx10k_h2m_ordC_r3
fixed10k,C,static_lp,midterm,5,0.6283688775510204,0.6655576530612245,0.03718877551020405,fixed10k__nm_ladder_fx10k_h2m_ordC_r4,fixed10k__nm_ladder_fx10k_h2m_ordC_r5
fixed10k,C,static_lp,twibot20,6,0.650784693877551,0.8074908163265306,0.15670612244897963,fixed10k__nm_ladder_fx10k_h2m_ordC_r5,fixed10k__nm_ladder_fx10k_h2m_ordC_r6
fixed10k,C,static_lp,ukr_rus_twitter,7,0.6359561224489796,0.7169795918367347,0.08102346938775506,fixed10k__nm_ladder_fx10k_h2m_ordC_r6,fixed10k__nm_ladder_fx10k_h2m_ordC_r7
fixed10k,C,static_lp,covid19_twitter,8,0.8359831632653061,0.842634693877551,0.0066515306122448825,fixed10k__nm_ladder_fx10k_h2m_ordC_r7,fixed10k__nm_ladder_fx10k_h2m_ordA_r8
matched40k,A,static_lp,covid19_twitter,2,0.8777173469387755,0.8798551020408163,0.002137755102040839,matched40k__nm_ladder_h2m_ordA_r1,matched40k__nm_ladder_h2m_ordA_r2
matched40k,A,static_lp,midterm,3,0.7108482142857143,0.7105086734693877,-0.00033954081632658895,matched40k__nm_ladder_h2m_ordA_r2,matched40k__nm_ladder_h2m_ordA_r3
matched40k,A,static_lp,twibot20,7,0.7942908163265306,0.8212255102040816,0.026934693877550986,matched40k__nm_ladder_h2m_ordA_r6,matched40k__nm_ladder_h2m_ordA_r7
matched40k,A,static_lp,cp_hk_twitter,8,0.5585357142857142,0.5587581632653061,0.0002224489795918938,matched40k__nm_ladder_h2m_ordA_r7,matched40k__nm_ladder_h2m_ordA_r8
sequential,A,static_lp,covid19_twitter,2,0.874644387755102,0.8876505102040816,0.013006122448979585,sequential__nm_ladder_seq_h2m_r1,sequential__nm_ladder_seq_h2m_r2
sequential,A,static_lp,midterm,3,0.7202928571428572,0.6838739795918367,-0.03641887755102047,sequential__nm_ladder_seq_h2m_r2,sequential__nm_ladder_seq_h2m_r3
sequential,A,static_lp,twibot20,7,0.6091961734693877,0.8196433673469388,0.21044719387755106,sequential__nm_ladder_seq_h2m_r6,sequential__nm_ladder_seq_h2m_r7
sequential,A,static_lp,cp_hk_twitter,8,0.5168341836734693,0.5312206632653061,0.01438647959183681,sequential__nm_ladder_seq_h2m_r7,sequential__nm_ladder_seq_h2m_r8
