stream,model,checkpoints,mean_accuracy,mean_auc,mean_u1_agreement,std_u1_agreement
fresh,ss_covid,3,0.7164930555555556,0.7543633449224778,0.8749782986111111,0.08550099556845901
fresh,ss_covid_political,3,0.6868923611111111,0.7144063455087167,0.7622178819444444,0.15315750843016138
fresh,ss_cp_hk,3,0.6684895833333333,0.7190737076747564,0.797265625,0.08741320675903509
fresh,ss_election2020,3,0.720920138888889,0.7480714821521147,0.7970703125,0.152622850037883
fresh,ss_facebook_page_reference,3,0.6322916666666667,0.6692046742380401,0.6832248263888889,0.15024706493736578
fresh,ss_midterm,3,0.6845486111111111,0.7274313232045114,0.7871744791666667,0.14243000296792355
fresh,ss_twibot20,3,0.7052083333333333,0.7543347299834828,0.860134548611111,0.08464379274982456
fresh,ss_ukr_rus,3,0.7297960069444444,0.7640088823106554,0.8765407986111111,0.09942231108127737
fresh,ss_ukr_rus_suspended,3,0.6581380208333333,0.6916865313494647,0.7814453125,0.04950253501273699
original,ss_covid,3,0.7220920138888889,0.7536215322989005,0.8746961805555556,0.0877055779979198
original,ss_covid_political,3,0.6861545138888889,0.7185926366735387,0.760915798611111,0.16221242695511703
original,ss_cp_hk,3,0.6633680555555556,0.7028860822136019,0.8118272569444444,0.07636236525737862
original,ss_election2020,3,0.7108723958333333,0.7401480827802494,0.7992404513888889,0.1515906102534193
original,ss_facebook_page_reference,3,0.6416883680555556,0.6700579796308352,0.6886284722222222,0.1457647495366536
original,ss_midterm,3,0.6873046875,0.7274554970823688,0.7891710069444444,0.13957458049314034
original,ss_twibot20,3,0.7149088541666667,0.7626653129671828,0.8596788194444444,0.08325768321878461
original,ss_ukr_rus,3,0.7281901041666666,0.7630903926896461,0.876953125,0.09951655375553063
original,ss_ukr_rus_suspended,3,0.6535807291666667,0.6869035932752822,0.7894314236111111,0.056039425676859995
