seed,target,stream,model,n,accuracy,auc,u1_accuracy,raw_accuracy,u1_agreement_rate,accuracy_when_healthy,accuracy_when_unhealthy,error_rate_ratio_unhealthy_to_healthy
0,covid_political,original,ss_covid,3072,0.8766276041666666,0.9334575511791088,0.91015625,0.7389322916666666,0.9430338541666666,0.917155678287884,0.2057142857142857,9.587690476190476
0,covid_political,original,ss_covid_political,3072,0.8138020833333334,0.897971824363426,0.8899739583333334,0.7389322916666666,0.8776041666666666,0.9009643916913946,0.1888297872340425,8.190692485457006
0,covid_political,original,ss_cp_hk,3072,0.6722005208333334,0.7489375361689814,0.8053385416666666,0.7389322916666666,0.8011067708333334,0.798049573344169,0.1653027823240589,4.133178778069398
0,covid_political,original,ss_election2020,3072,0.890625,0.9326838740596064,0.8971354166666666,0.7389322916666666,0.958984375,0.9107264086897487,0.4206349206349206,6.489770052507698
0,covid_political,original,ss_facebook_page_reference,3072,0.5511067708333334,0.6227747599283854,0.779296875,0.7389322916666666,0.5960286458333334,0.7771709448388858,0.217566478646253,3.51136219999684
0,covid_political,original,ss_midterm,3072,0.7513020833333334,0.8891853049949364,0.8876953125,0.7389322916666666,0.8284505208333334,0.8856581532416503,0.1024667931688804,7.849560176581442
0,covid_political,original,ss_twibot20,3072,0.8271484375,0.9185067635995372,0.8958333333333334,0.7389322916666666,0.9020182291666666,0.9007578491519308,0.1495016611295681,8.569930534581696
0,covid_political,original,ss_ukr_rus,3072,0.8857421875,0.9464057639793112,0.9059244791666666,0.7389322916666666,0.9479166666666666,0.9175824175824177,0.30625,8.417499999999995
0,covid_political,original,ss_ukr_rus_suspended,3072,0.6474609375,0.6844465467664931,0.7151692708333334,0.7389322916666666,0.7395833333333334,0.7451584507042254,0.37,2.4721243523316065
0,covid_political,fresh,ss_covid,3072,0.8815104166666666,0.946966665762442,0.9251302083333334,0.73828125,0.9342447916666666,0.9317073170731708,0.1683168316831683,12.178217821782187
0,covid_political,fresh,ss_covid_political,3072,0.8326822916666666,0.9176839192708334,0.9010416666666666,0.73828125,0.8873697916666666,0.9134262655906088,0.1965317919075144,9.2807387087293
0,covid_political,fresh,ss_cp_hk,3072,0.6959635416666666,0.7932332356770834,0.8248697916666666,0.73828125,0.8020833333333334,0.8246753246753247,0.1743421052631578,4.709307992202729
0,covid_political,fresh,ss_election2020,3072,0.900390625,0.9428383156105324,0.9075520833333334,0.73828125,0.966796875,0.9178451178451178,0.392156862745098,7.398746383799418
0,covid_political,fresh,ss_facebook_page_reference,3072,0.5641276041666666,0.6584667629665799,0.7825520833333334,0.73828125,0.6149088541666666,0.7818951826363155,0.2163989856297548,3.592772612003382
0,covid_political,fresh,ss_midterm,3072,0.7620442708333334,0.9114696361400464,0.9039713541666666,0.73828125,0.82421875,0.9040284360189572,0.0962962962962963,9.416369455875628
0,covid_political,fresh,ss_twibot20,3072,0.8356119791666666,0.9377382066514758,0.9085286458333334,0.73828125,0.8977864583333334,0.9144307469180566,0.143312101910828,10.01163230055058
0,covid_political,fresh,ss_ukr_rus,3072,0.8955078125,0.9572474161783854,0.9147135416666666,0.73828125,0.9567057291666666,0.9234433480775774,0.2781954887218045,9.4283709273183
0,covid_political,fresh,ss_ukr_rus_suspended,3072,0.66796875,0.7095139114945023,0.7379557291666666,0.73828125,0.7477213541666666,0.7714410100130605,0.3612903225806451,2.7945069124423965
0,election2020,original,ss_covid,256,0.984375,0.98760986328125,0.984375,0.91015625,1.0,0.984375,,
0,election2020,original,ss_covid_political,256,0.96875,0.986480712890625,0.97265625,0.91015625,0.99609375,0.9725490196078432,0.0,36.42857142857141
0,election2020,original,ss_cp_hk,256,0.8828125,0.933349609375,0.9296875,0.91015625,0.8984375,0.9521739130434784,0.2692307692307692,15.279720279720298
0,election2020,original,ss_election2020,256,0.97265625,0.98321533203125,0.98046875,0.91015625,0.9921875,0.9803149606299212,0.0,50.80000000000009
0,election2020,original,ss_facebook_page_reference,256,0.921875,0.96026611328125,0.9140625,0.91015625,0.9140625,0.9572649572649572,0.5454545454545454,10.636363636363647
0,election2020,original,ss_midterm,256,0.984375,0.98309326171875,0.984375,0.91015625,1.0,0.984375,,
0,election2020,original,ss_twibot20,256,0.984375,0.99090576171875,0.984375,0.91015625,1.0,0.984375,,
0,election2020,original,ss_ukr_rus,256,0.984375,0.98736572265625,0.984375,0.91015625,1.0,0.984375,,
0,election2020,original,ss_ukr_rus_suspended,256,0.9296875,0.97235107421875,0.89453125,0.91015625,0.89453125,0.960698689956332,0.6666666666666666,8.481481481481486
0,election2020,fresh,ss_covid,256,0.9765625,0.9857177734375,0.9765625,0.87890625,1.0,0.9765625,,
0,election2020,fresh,ss_covid_political,256,0.96875,0.9859619140625,0.96875,0.87890625,0.9765625,0.98,0.5,24.99999999999998
0,election2020,fresh,ss_cp_hk,256,0.8984375,0.9586181640625,0.921875,0.87890625,0.9140625,0.9487179487179488,0.3636363636363636,12.4090909090909
0,election2020,fresh,ss_election2020,256,0.96484375,0.977783203125,0.97265625,0.87890625,0.9921875,0.9724409448818898,0.0,36.28571428571435
0,election2020,fresh,ss_facebook_page_reference,256,0.9140625,0.97161865234375,0.9296875,0.87890625,0.90625,0.9655172413793104,0.4166666666666667,16.916666666666686
0,election2020,fresh,ss_midterm,256,0.9765625,0.983489990234375,0.97265625,0.87890625,0.99609375,0.976470588235294,1.0,0.0
0,election2020,fresh,ss_twibot20,256,0.97265625,0.9837646484375,0.9765625,0.87890625,0.99609375,0.976470588235294,0.0,42.49999999999995
