order,rung,run_id,run_name,url,state,git_commit,last_history_step,requested_samples,exported_rows
A,1,w8kcea0a,nm_ladder_fx10k_h2m_ordA_r1_02_08_2026_09_08_30,https://wandb.ai/eibl-usc/graph-clip/runs/w8kcea0a,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,9999,5000,5000
A,2,m81l08qg,nm_ladder_fx10k_h2m_ordA_r2_02_08_2026_09_08_30,https://wandb.ai/eibl-usc/graph-clip/runs/m81l08qg,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,19999,5000,5000
A,3,1iysjktr,nm_ladder_fx10k_h2m_ordA_r3_02_08_2026_09_08_30,https://wandb.ai/eibl-usc/graph-clip/runs/1iysjktr,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,29999,5000,5000
A,4,famqpihm,nm_ladder_fx10k_h2m_ordA_r4_02_08_2026_09_08_30,https://wandb.ai/eibl-usc/graph-clip/runs/famqpihm,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,39999,5000,5000
A,5,2h7d2k6i,nm_ladder_fx10k_h2m_ordA_r5_02_08_2026_09_29_57,https://wandb.ai/eibl-usc/graph-clip/runs/2h7d2k6i,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,49999,5000,5000
A,6,9ii3hmb3,nm_ladder_fx10k_h2m_ordA_r6_02_08_2026_09_49_09,https://wandb.ai/eibl-usc/graph-clip/runs/9ii3hmb3,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,59999,5000,5000
A,7,5toevrr3,nm_ladder_fx10k_h2m_ordA_r7_02_08_2026_10_04_20,https://wandb.ai/eibl-usc/graph-clip/runs/5toevrr3,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,69999,5000,5000
A,8,p39kx0yi,nm_ladder_fx10k_h2m_ordA_r8_02_08_2026_10_19_57,https://wandb.ai/eibl-usc/graph-clip/runs/p39kx0yi,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,79999,5000,5000
C,1,b735jv8r,nm_ladder_fx10k_h2m_ordC_r1_02_08_2026_09_52_31,https://wandb.ai/eibl-usc/graph-clip/runs/b735jv8r,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,9999,5000,5000
C,2,epmou5h6,nm_ladder_fx10k_h2m_ordC_r2_02_08_2026_09_52_30,https://wandb.ai/eibl-usc/graph-clip/runs/epmou5h6,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,19999,5000,5000
C,3,jgj6qv7a,nm_ladder_fx10k_h2m_ordC_r3_02_08_2026_09_52_31,https://wandb.ai/eibl-usc/graph-clip/runs/jgj6qv7a,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,29999,5000,5000
C,4,xsuiw2fq,nm_ladder_fx10k_h2m_ordC_r4_02_08_2026_09_52_31,https://wandb.ai/eibl-usc/graph-clip/runs/xsuiw2fq,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,39999,5000,5000
C,5,dpt2wz6q,nm_ladder_fx10k_h2m_ordC_r5_02_08_2026_10_17_36,https://wandb.ai/eibl-usc/graph-clip/runs/dpt2wz6q,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,49999,5000,5000
C,6,5wna7nha,nm_ladder_fx10k_h2m_ordC_r6_02_08_2026_10_31_58,https://wandb.ai/eibl-usc/graph-clip/runs/5wna7nha,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,59999,5000,5000
C,7,avvroqfq,nm_ladder_fx10k_h2m_ordC_r7_02_08_2026_10_52_14,https://wandb.ai/eibl-usc/graph-clip/runs/avvroqfq,finished,7c6bae468338ef2f4dbf1d86fc707833192250a3,69999,5000,5000
