logical_id,variant,order,rung,added,sources,model_key,checkpoint_step,schedule,exposure,train_edges,covid_political,election2020,ukr_rus_suspended,twibot20
fixed10k_A_r1,fixed10k,A,1,ukr_rus,ukr_rus,fixed10k__nm_ladder_fx10k_h2m_ordA_r1,10000,interleaved,10k_per_active_source,full_adjacency,0.9398366666666668,0.984434,0.483672,0.5996371666666667
fixed10k_A_r2,fixed10k,A,2,covid,"ukr_rus,covid",fixed10k__nm_ladder_fx10k_h2m_ordA_r2,20000,interleaved,10k_per_active_source,full_adjacency,0.939150888888889,0.9795020000000001,0.50444,0.6280235277777778
fixed10k_A_r3,fixed10k,A,3,midterm,"ukr_rus,covid,midterm",fixed10k__nm_ladder_fx10k_h2m_ordA_r3,30000,interleaved,10k_per_active_source,full_adjacency,0.9247415555555556,0.9856880000000001,0.498614,0.6323104444444445
fixed10k_A_r4,fixed10k,A,4,covid_political,"ukr_rus,covid,midterm,covid_political",fixed10k__nm_ladder_fx10k_h2m_ordA_r4,40000,interleaved,10k_per_active_source,full_adjacency,0.9097040694444445,0.976948,0.501516,0.6012166805555555
fixed10k_A_r5,fixed10k,A,5,election2020,"ukr_rus,covid,midterm,covid_political,election2020",fixed10k__nm_ladder_fx10k_h2m_ordA_r5,50000,interleaved,10k_per_active_source,full_adjacency,0.916449861111111,0.9825520000000001,0.494848,0.5954733055555556
fixed10k_A_r6,fixed10k,A,6,ukr_rus_suspended,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",fixed10k__nm_ladder_fx10k_h2m_ordA_r6,60000,interleaved,10k_per_active_source,full_adjacency,0.904645763888889,0.9815879999999999,0.514622,0.5889944166666666
fixed10k_A_r7,fixed10k,A,7,twibot20,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",fixed10k__nm_ladder_fx10k_h2m_ordA_r7,70000,interleaved,10k_per_active_source,full_adjacency,0.9170670555555555,0.978086,0.48026199999999997,0.619304875
fixed10k_A_r8,fixed10k,A,8,cp_hk,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",fixed10k__nm_ladder_fx10k_h2m_ordA_r8,80000,interleaved,10k_per_active_source,full_adjacency,0.8974852361111111,0.983344,0.499484,0.567819625
fixed10k_C_r1,fixed10k,C,1,election2020,election2020,fixed10k__nm_ladder_fx10k_h2m_ordC_r1,10000,interleaved,10k_per_active_source,full_adjacency,0.9267924027777779,0.980396,0.5277540000000001,0.5619342222222222
fixed10k_C_r2,fixed10k,C,2,covid_political,"election2020,covid_political",fixed10k__nm_ladder_fx10k_h2m_ordC_r2,20000,interleaved,10k_per_active_source,full_adjacency,0.8932341527777776,0.9822960000000001,0.510164,0.5299366666666667
fixed10k_C_r3,fixed10k,C,3,cp_hk,"election2020,covid_political,cp_hk",fixed10k__nm_ladder_fx10k_h2m_ordC_r3,30000,interleaved,10k_per_active_source,full_adjacency,0.9241489444444445,0.983736,0.48087,0.5871012777777778
fixed10k_C_r4,fixed10k,C,4,ukr_rus_suspended,"election2020,covid_political,cp_hk,ukr_rus_suspended",fixed10k__nm_ladder_fx10k_h2m_ordC_r4,40000,interleaved,10k_per_active_source,full_adjacency,0.8797730555555556,0.973458,0.49538400000000005,0.5722259444444444
fixed10k_C_r5,fixed10k,C,5,midterm,"election2020,covid_political,cp_hk,ukr_rus_suspended,midterm",fixed10k__nm_ladder_fx10k_h2m_ordC_r5,50000,interleaved,10k_per_active_source,full_adjacency,0.833709361111111,0.981014,0.490676,0.5552485972222222
fixed10k_C_r6,fixed10k,C,6,twibot20,"election2020,covid_political,cp_hk,ukr_rus_suspended,midterm,twibot20",fixed10k__nm_ladder_fx10k_h2m_ordC_r6,60000,interleaved,10k_per_active_source,full_adjacency,0.8821653750000001,0.982858,0.511248,0.5959828611111111
fixed10k_C_r7,fixed10k,C,7,ukr_rus,"election2020,covid_political,cp_hk,ukr_rus_suspended,midterm,twibot20,ukr_rus",fixed10k__nm_ladder_fx10k_h2m_ordC_r7,70000,interleaved,10k_per_active_source,full_adjacency,0.8435122500000001,0.9846919999999999,0.49515,0.562452875
fixed10k_C_r8,fixed10k,C,8,covid,"election2020,covid_political,cp_hk,ukr_rus_suspended,midterm,twibot20,ukr_rus,covid",fixed10k__nm_ladder_fx10k_h2m_ordA_r8,80000,interleaved,10k_per_active_source,full_adjacency,0.8974852361111111,0.983344,0.499484,0.567819625
matched40k_A_r1,matched40k,A,1,ukr_rus,ukr_rus,matched40k__nm_ladder_h2m_ordA_r1,40000,interleaved,matched_total_40k,full_adjacency,0.9259742222222223,0.986394,0.480718,0.622469125
matched40k_A_r2,matched40k,A,2,covid,"ukr_rus,covid",matched40k__nm_ladder_h2m_ordA_r2,40000,interleaved,matched_total_40k,full_adjacency,0.9308580555555556,0.984216,0.47898599999999997,0.5967944444444445
matched40k_A_r3,matched40k,A,3,midterm,"ukr_rus,covid,midterm",matched40k__nm_ladder_h2m_ordA_r3,40000,interleaved,matched_total_40k,full_adjacency,0.9286403749999999,0.985774,0.502724,0.5907462916666667
matched40k_A_r4,matched40k,A,4,covid_political,"ukr_rus,covid,midterm,covid_political",matched40k__nm_ladder_h2m_ordA_r4,40000,interleaved,matched_total_40k,full_adjacency,0.9109949305555556,0.983584,0.48990999999999996,0.6206157361111111
matched40k_A_r5,matched40k,A,5,election2020,"ukr_rus,covid,midterm,covid_political,election2020",matched40k__nm_ladder_h2m_ordA_r5,40000,interleaved,matched_total_40k,full_adjacency,0.9109009166666666,0.9851540000000001,0.483668,0.5952293611111111
matched40k_A_r6,matched40k,A,6,ukr_rus_suspended,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",matched40k__nm_ladder_h2m_ordA_r6,40000,interleaved,matched_total_40k,full_adjacency,0.8821471388888888,0.98081,0.48310600000000004,0.6031777777777778
matched40k_A_r7,matched40k,A,7,twibot20,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",matched40k__nm_ladder_h2m_ordA_r7,40000,interleaved,matched_total_40k,full_adjacency,0.9289335555555557,0.9830399999999999,0.48111200000000004,0.6257938333333334
matched40k_A_r8,matched40k,A,8,cp_hk,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",matched40k__nm_ladder_h2m_ordA_r8,40000,interleaved,matched_total_40k,full_adjacency,0.9147064166666666,0.9761920000000001,0.49102599999999996,0.5938041111111111
sequential_A_r1,sequential,A,1,ukr_rus,ukr_rus,sequential__nm_ladder_seq_h2m_r1,40000,sequential_blocks,matched_total_40k,full_adjacency,0.9224760277777778,0.983852,0.503556,0.5986619166666667
sequential_A_r2,sequential,A,2,covid,"ukr_rus,covid",sequential__nm_ladder_seq_h2m_r2,40000,sequential_blocks,matched_total_40k,full_adjacency,0.9111218055555556,0.9845759999999999,0.49189400000000005,0.5966745555555556
sequential_A_r3,sequential,A,3,midterm,"ukr_rus,covid,midterm",sequential__nm_ladder_seq_h2m_r3,40000,sequential_blocks,matched_total_40k,full_adjacency,0.8973032361111112,0.987904,0.51586,0.5561518333333333
sequential_A_r4,sequential,A,4,covid_political,"ukr_rus,covid,midterm,covid_political",sequential__nm_ladder_seq_h2m_r4,40000,sequential_blocks,matched_total_40k,full_adjacency,0.880561125,0.979134,0.48895199999999994,0.5185205833333333
sequential_A_r5,sequential,A,5,election2020,"ukr_rus,covid,midterm,covid_political,election2020",sequential__nm_ladder_seq_h2m_r5,40000,sequential_blocks,matched_total_40k,full_adjacency,0.9343511527777778,0.978344,0.51838,0.5759424305555556
sequential_A_r6,sequential,A,6,ukr_rus_suspended,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",sequential__nm_ladder_seq_h2m_r6,40000,sequential_blocks,matched_total_40k,full_adjacency,0.8496911805555556,0.981252,0.512894,0.5603200138888889
sequential_A_r7,sequential,A,7,twibot20,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",sequential__nm_ladder_seq_h2m_r7,40000,sequential_blocks,matched_total_40k,full_adjacency,0.9097050416666667,0.983844,0.50047,0.6152162083333335
sequential_A_r8,sequential,A,8,cp_hk,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",sequential__nm_ladder_seq_h2m_r8,40000,sequential_blocks,matched_total_40k,full_adjacency,0.8738663611111112,0.985504,0.49882400000000005,0.6425092083333332
split_A_r1,split,A,1,ukr_rus,ukr_rus,split__nm_ladder_tts_h2m_r1,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.9269187777777778,0.98307,0.501468,0.6117374305555555
split_A_r2,split,A,2,covid,"ukr_rus,covid",split__nm_ladder_tts_h2m_r2,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.9357610000000001,0.984172,0.50396,0.5810244027777778
split_A_r3,split,A,3,midterm,"ukr_rus,covid,midterm",split__nm_ladder_tts_h2m_r3,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.9322020694444443,0.9839399999999998,0.508576,0.5898943055555556
split_A_r4,split,A,4,covid_political,"ukr_rus,covid,midterm,covid_political",split__nm_ladder_tts_h2m_r4,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.9116570833333333,0.980612,0.482588,0.5930264444444444
split_A_r5,split,A,5,election2020,"ukr_rus,covid,midterm,covid_political,election2020",split__nm_ladder_tts_h2m_r5,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.9122428194444444,0.9820479999999999,0.494548,0.585168125
split_A_r6,split,A,6,ukr_rus_suspended,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended",split__nm_ladder_tts_h2m_r6,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.9189898055555554,0.9840519999999999,0.493444,0.6030469583333333
split_A_r7,split,A,7,twibot20,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",split__nm_ladder_tts_h2m_r7,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.9074854583333334,0.977352,0.484336,0.5957650555555556
split_A_r8,split,A,8,cp_hk,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk",split__nm_ladder_tts_h2m_r8,40000,interleaved,matched_total_40k,background_train_holdout_nm,0.8948375416666667,0.9799880000000001,0.5051599999999999,0.5926391944444445
