order,rung,added,n_sources,model_key,covid19_twitter,cp_hk_twitter,midterm,twibot20,ukr_rus_twitter
A,1,ukr_rus,1,ukr_only_nm,0.866590306122449,0.5661941326530612,0.7025380102040817,0.8190237244897959,0.7825632653061224
A,2,covid,2,merged_ukr_rus_covid_nm_wb,0.8810321428571428,0.5656783163265307,0.6991619897959184,0.829570918367347,0.8147617346938776
A,3,midterm,3,merged_ukr_rus_covid_midterm_nm_wb,0.8641709183673469,0.5553737244897959,0.7111237244897959,0.8219612244897959,0.7731418367346938
A,4,covid_political,4,nm_ladder_4src,0.8443979591836734,0.5437400510204081,0.725747193877551,0.8017204081632653,0.7556811224489796
A,5,election2020,5,nm_ladder_5src,0.8561454081632653,0.5447244897959184,0.7102392857142857,0.8066813775510204,0.7573892857142858
A,6,ukr_rus_suspended,6,nm_ladder_6src,0.8376390306122449,0.5179349489795918,0.6908390306122449,0.7920112244897959,0.7392724489795919
A,7,twibot20,7,nm_ladder_7src,0.8227622448979592,0.5412456632653061,0.702322193877551,0.7900594387755102,0.7042734693877551
A,8,cp_hk,8,merged_ukr_rus_covid_midterm_all8_nm_wb,0.8324459183673469,0.560602806122449,0.6971783163265306,0.805105612244898,0.7353186224489796
B,1,covid,1,nm_ss_covid19_twitter,0.8664091836734694,0.5678301020408163,0.7019948979591837,0.8171502551020409,0.7415566326530613
B,2,ukr_rus,2,merged_ukr_rus_covid_nm_wb,0.8810321428571428,0.5656783163265307,0.6991619897959184,0.829570918367347,0.8147617346938776
B,3,twibot20,3,nm_ladder_ordB_r3,0.8455290816326531,0.5600910714285714,0.6897724489795919,0.8032964285714286,0.7476913265306122
B,4,midterm,4,nm_ladder_ordB_r4,0.8378826530612244,0.5408711734693877,0.7014502551020408,0.8214091836734694,0.7523775510204082
B,5,ukr_rus_suspended,5,nm_ladder_ordB_r5,0.8188035714285714,0.5404283163265307,0.6866528061224489,0.790936224489796,0.706879081632653
B,6,cp_hk,6,nm_ladder_ordB_r6,0.834815306122449,0.5535390306122449,0.6911053571428571,0.8021459183673469,0.72745
B,7,covid_political,7,nm_ladder_ordB_r7,0.8205785714285714,0.562490306122449,0.6914410714285715,0.7980617346938775,0.7279
B,8,election2020,8,merged_ukr_rus_covid_midterm_all8_nm_wb,0.8324459183673469,0.560602806122449,0.6971783163265306,0.805105612244898,0.7353186224489796
C,1,election2020,1,nm_ss_election2020,0.5115025510204082,0.5361762755102041,0.5623548469387755,0.6092928571428572,0.5283908163265306
C,2,covid_political,2,nm_ladder_ordC_r2,0.5421650510204081,0.5308191326530612,0.5957920918367346,0.6215918367346939,0.49802704081632654
C,3,cp_hk,3,nm_ladder_ordC_r3,0.5899729591836734,0.5532196428571429,0.6286614795918367,0.6749045918367347,0.5169688775510204
C,4,ukr_rus_suspended,4,nm_ladder_ordC_r4,0.7087479591836735,0.5799247448979592,0.6390053571428571,0.6741061224489796,0.5998489795918367
C,5,midterm,5,nm_ladder_ordC_r5,0.725475,0.5562181122448979,0.7056920918367346,0.6678132653061224,0.6206948979591836
C,6,twibot20,6,nm_ladder_ordC_r6,0.7434214285714286,0.5570012755102041,0.6677420918367347,0.7623045918367347,0.6226755102040816
C,7,ukr_rus,7,nm_ladder_ordC_r7,0.8092734693877551,0.5593548469387755,0.6984841836734694,0.7905244897959184,0.7053551020408163
C,8,covid,8,merged_ukr_rus_covid_midterm_all8_nm_wb,0.8324459183673469,0.560602806122449,0.6971783163265306,0.805105612244898,0.7353186224489796
