dataset,common_neighbors,adamic_adar,preferential_attachment,jaccard,raw_feature_cosine
ukr_rus_twitter,0.6717602040816326,0.6767022959183674,0.4893135204081633,0.6866688775510205,0.5569561224489796
covid19_twitter,0.6947015306122449,0.6959270408163265,0.5050443877551021,0.694844387755102,0.5855117346938775
midterm,0.5777783163265306,0.578063775510204,0.5234573979591837,0.5755150510204081,0.5672058673469388
twibot20,0.7207400510204082,0.7237232142857143,0.48562882653061223,0.7257515306122448,0.591559693877551
cp_hk_twitter,0.5334673469387755,0.5335224489795919,0.48711530612244897,0.5270099489795919,0.5109002551020408
