order,rung,added,n_sources,model_key,covid19_twitter__account_age_days,covid19_twitter__followers_count,covid19_twitter__statuses_count,midterm__account_age_days,midterm__followers_count,midterm__statuses_count,twibot20__account_age_days,twibot20__followers_count,twibot20__statuses_count,ukr_rus_twitter__account_age_days,ukr_rus_twitter__followers_count,ukr_rus_twitter__statuses_count
A,1,ukr_rus,1,ukr_only_nm,0.01995253611311809,0.028944699531780547,0.11989686950307031,-0.010223272798373022,0.043570171402708135,0.07817134302658034,-0.003310038229169142,-0.09966416831500083,0.016977082894224078,0.03391637745248493,0.04392079164073277,0.08597191045190188
A,2,covid,2,merged_ukr_rus_covid_nm_wb,0.07943717971982785,0.07802751558470532,0.08552932497914588,0.18846033934574166,0.2228983328347727,0.12905552712110524,0.08199937517464441,0.10686459346449469,0.17101174715983586,0.1246708371938856,0.10403130949114564,0.10454693039498604
A,3,midterm,3,merged_ukr_rus_covid_midterm_nm_wb,-0.0522125951264438,-0.03169539985206996,-0.1624577400622261,0.026779042160253317,0.09058499010209618,-0.045380833042812825,0.01330061839105539,0.21795394306291427,0.06981303033705866,-0.02870971877808808,-0.008618993321055654,-0.05256862327580721
A,4,covid_political,4,nm_ladder_4src,-0.007483246959115179,-0.01879341367513918,-0.05954481258452848,0.07898694701990301,-0.07887457274469883,-0.050067900293293686,0.04770258447983249,-0.026294326689224195,-0.06988157128341059,0.01794796678206579,-0.02944922017570973,-0.0706363852693445
A,5,election2020,5,nm_ladder_5src,-0.026137450202981766,0.06282311907849214,0.06403880173190049,-0.015162368692686777,-0.07988790948610666,-0.022274383281329895,-0.001109155761797516,-0.050594170824781376,-0.0951481021908544,0.04551535869552181,0.025302082374358128,0.0006340800566704414
A,6,ukr_rus_suspended,6,nm_ladder_6src,-0.004853921302239384,-0.015672217635382305,0.12727596104576916,-0.07997053905239303,-0.17944249295180842,-0.039848546325495164,-0.026345115272975783,-0.31276659451685074,-0.08821845977658896,0.027155212873720008,-0.03718768510193893,0.06922371711567527
A,7,twibot20,7,nm_ladder_7src,0.026822294054717127,0.051554521063279464,0.059573801866550764,-0.08339290680051249,-0.0026513683376538505,0.023088364582025764,-0.10539653653692092,-0.12845963960378276,-0.02823226556512972,0.034448152745675184,0.07975388542410478,0.07630144056405928
A,8,cp_hk,8,merged_ukr_rus_covid_midterm_all8_nm_wb,-0.025634901299686406,0.05537962373285712,0.09794626048509815,-0.06930094765629968,0.06901048350232876,0.059632345620064024,-0.046391932850378716,-0.029637697086609092,0.035822841303738244,-0.04799408926383409,0.010143940241991065,0.03098870038787967
B,1,covid,1,nm_ss_covid19_twitter,-0.08931627088602295,-0.07322619350020952,-0.05150283310950325,-0.11459958820248684,-0.16322879939759657,-0.08539058372687859,-0.06259060931573174,-0.17483435205258963,-0.12517825628508783,-0.122738967922551,-0.07797541769386707,-0.046739716369675194
B,2,ukr_rus,2,merged_ukr_rus_covid_nm_wb,0.07943717971982785,0.07802751558470532,0.08552932497914588,0.18846033934574166,0.2228983328347727,0.12905552712110524,0.08199937517464441,0.10686459346449469,0.17101174715983586,0.1246708371938856,0.10403130949114564,0.10454693039498604
