feature_set,algorithm,n_features,mean_target_spearman,mae,rmse,r2,top1_hits,mean_regret,priority_score
source_only,extra_trees,20,0.8703703703703703,0.06675444103422606,0.09123558882568351,0.02237180569229147,4,0.009604070216049372,0.8036159293361442
source_only,ridge,20,0.8518518518518519,0.06808949922312912,0.09315826312479304,-0.01926690918048446,5,0.004008728780864204,0.7837623526287227
handpicked,extra_trees,25,0.8042328042328043,0.04718772151067163,0.07134757655122144,0.402134336876214,7,0.004090108989197546,0.7570450827221327
source_plus_original,ridge,26,0.8042328042328042,0.07015537079778578,0.09358845951062672,-0.02870240888976716,6,0.012026789158950635,0.7340774334350184
all_graph_descriptors,extra_trees,80,0.7857142857142859,0.05661032945672184,0.08235314193667799,0.20346382290492027,2,0.032062596450617306,0.7291039562575641
all_full_coverage,extra_trees,109,0.7513227513227514,0.05301163964542342,0.07421327222141519,0.35314294184744544,3,0.023740113811728414,0.698311111677328
handpicked,ridge,25,0.7539682539682541,0.061564880630954236,0.07898232816662631,0.26733571441378856,5,0.005881679205246925,0.6924033733372998
source_plus_original,extra_trees,26,0.7380952380952382,0.05837133536471682,0.08170857936110668,0.21588370603251816,1,0.04612991898148151,0.6797239027305214
original_pairwise,ridge,6,0.6931216931216932,0.07667111173140584,0.09882270529118051,-0.14698737224111968,5,0.012198591820987668,0.6164505813902874
original_pairwise,extra_trees,6,0.5873015873015874,0.059541956091096554,0.08201382589549572,0.21001416669640782,3,0.03629075038580249,0.5277596312104909
all_full_coverage,ridge,109,0.5634920634920636,0.04928959846300892,0.06646077389334981,0.48122869300812976,2,0.03193540219907409,0.5142024650290546
all_graph_descriptors,ridge,80,0.6322751322751323,0.12749130612748652,0.17442124265564332,-2.573089641386515,3,0.020132257908950617,0.5047838261476458
