predictor,kind,graphs,mean_target_spearman_auc,auc_graph_permutation_p_two_sided,targets_same_sign_as_mean,evaluable_targets,top1_hits,top1_rate,mean_regret,mean_selected_rank
in_degree_gini,absolute_gap,9,-0.5423280423280423,0.006,7,9,1,0.1111111111111111,0.07595096120155555,3.5555555555555554
feature_homophily_random,absolute_gap,9,-0.49735449735449744,0.0115,8,9,3,0.3333333333333333,0.06844634985633334,3.5555555555555554
feature_norm_mean,absolute_gap,9,-0.4867724867724868,0.006,8,9,0,0.0,0.09586593865122223,4.222222222222222
edge_bio_coverage,absolute_gap,9,-0.4268196967486659,0.001,8,9,1,0.1111111111111111,0.11141823282244445,4.777777777777778
missing_bio_rate,absolute_gap,9,-0.3233908688118558,0.04,7,9,1,0.1111111111111111,0.10142923282244445,4.222222222222222
out_degree_gini,absolute_gap,9,-0.3227513227513228,0.1085,6,9,1,0.1111111111111111,0.10145851413188889,4.555555555555555
avg_clustering_approx,absolute_gap,9,-0.29894179894179895,0.193,6,9,1,0.1111111111111111,0.10898553202244443,4.555555555555555
reciprocity,absolute_gap,9,-0.2940837820920336,0.212,6,9,3,0.3333333333333333,0.03406936093366667,2.888888888888889
isolated_fraction,absolute_gap,9,-0.2686149513369859,0.193,7,9,5,0.5555555555555556,0.04298825731155556,2.7777777777777777
largest_wcc_frac,absolute_gap,9,-0.25132275132275134,0.102,6,9,1,0.1111111111111111,0.08053848230633331,3.888888888888889
in_degree_mean,absolute_gap,9,-0.15343915343915346,0.567,5,9,0,0.0,0.0974287744891111,4.555555555555555
out_degree_mean,absolute_gap,9,-0.15343915343915346,0.5925,5,9,0,0.0,0.0974287744891111,4.555555555555555
feature_effective_dim,absolute_gap,9,-0.14021164021164023,0.489,5,9,2,0.2222222222222222,0.07338093997977778,4.0
density,absolute_gap,9,-0.1084656084656085,0.7015,5,9,2,0.2222222222222222,0.07794745315566666,3.7777777777777777
largest_scc_frac,absolute_gap,9,-0.07936507936507937,0.7035,4,9,2,0.2222222222222222,0.082028805364,4.0
degree_assortativity,absolute_gap,9,-0.010582010582010594,0.968,4,9,1,0.1111111111111111,0.09279858315588889,4.555555555555555
out_degree_max,absolute_gap,9,-0.010582010582010566,0.9625,5,9,1,0.1111111111111111,0.13618483647644444,4.777777777777778
dirichlet_energy,absolute_gap,9,0.002645502645502647,0.994,5,9,0,0.0,0.15073212171133332,5.222222222222222
feature_homophily,absolute_gap,9,0.002645502645502647,0.9975,5,9,0,0.0,0.15073212171133332,5.222222222222222
in_degree_max,absolute_gap,9,0.21693121693121695,0.2895,7,9,2,0.2222222222222222,0.066898,3.0
n_strongly_connected,absolute_gap,9,0.37830687830687837,0.108,7,9,6,0.6666666666666666,0.016312257311555563,1.6666666666666667
n_edges,absolute_gap,9,0.3862433862433863,0.038,7,9,5,0.5555555555555556,0.027389086249444448,1.8888888888888888
n_nodes,absolute_gap,9,0.4021164021164022,0.075,7,9,6,0.6666666666666666,0.016312257311555563,1.6666666666666667
n_weakly_connected,absolute_gap,9,0.4365079365079365,0.0575,8,9,6,0.6666666666666666,0.03581714620044444,2.0
