predictor,kind,unordered_pairs,spearman_with_auc_asymmetry,graph_permutation_p_two_sided
edge_bio_coverage,signed_source_minus_target,36,-0.9041396656207992,0.001
missing_bio_rate,signed_source_minus_target,36,0.8897187538364743,0.002
in_degree_gini,signed_source_minus_target,36,0.8442728442728443,0.003
feature_norm_mean,signed_source_minus_target,36,0.8110438991115259,0.0075
largest_scc_frac,signed_source_minus_target,36,0.7418275418275418,0.0155
feature_effective_dim,signed_source_minus_target,36,0.7142857142857143,0.0165
reciprocity,signed_source_minus_target,36,0.6448207697848138,0.039
dirichlet_energy,signed_source_minus_target,36,0.6115830115830116,0.052
feature_homophily,signed_source_minus_target,36,-0.6115830115830116,0.057
in_degree_max,signed_source_minus_target,36,0.5639639639639641,0.0835
out_degree_max,signed_source_minus_target,36,-0.5217503217503218,0.1305
feature_homophily_random,signed_source_minus_target,36,-0.5111969111969112,0.1315
out_degree_gini,signed_source_minus_target,36,-0.37940797940797943,0.29
n_nodes,signed_source_minus_target,36,0.25611325611325614,0.4855
density,signed_source_minus_target,36,-0.2471042471042471,0.5075
n_strongly_connected,signed_source_minus_target,36,0.2344916344916345,0.5315
n_weakly_connected,signed_source_minus_target,36,0.22213642213642215,0.5405
largest_wcc_frac,signed_source_minus_target,36,0.1456885456885457,0.6815
degree_assortativity,signed_source_minus_target,36,0.1431145431145431,0.6855
n_edges,signed_source_minus_target,36,0.12947232947232948,0.717
isolated_fraction,signed_source_minus_target,36,0.09306714337694405,0.8145
avg_clustering_approx,signed_source_minus_target,36,-0.027799227799227798,0.939
in_degree_mean,signed_source_minus_target,36,-0.023166023166023165,0.954
out_degree_mean,signed_source_minus_target,36,-0.023166023166023165,0.9455
