stream,model,decoder,n,accuracy,auc
original,ss_twibot20,full_model,1024,0.6943359375,0.7738265991210938
original,ss_twibot20,raw_center/prototype,1024,0.8427734375,0.9242534637451172
original,ss_twibot20,raw_center/ridge,1024,0.83984375,0.9196071624755859
original,ss_twibot20,raw_context/prototype,1024,0.7158203125,0.8020515441894531
original,ss_twibot20,raw_context/ridge,1024,0.68359375,0.75311279296875
original,ss_twibot20,raw_joint/prototype,1024,0.80078125,0.877685546875
original,ss_twibot20,raw_joint/ridge,1024,0.82421875,0.9042205810546875
original,ss_twibot20,S0_conv_center/prototype,1024,0.7724609375,0.8763504028320312
original,ss_twibot20,S0_conv_center/ridge,1024,0.7890625,0.881561279296875
original,ss_twibot20,S0_pool/prototype,1024,0.7763671875,0.8622932434082031
original,ss_twibot20,S0_pool/ridge,1024,0.771484375,0.8704109191894531
original,ss_twibot20,U1_pre_meta/prototype,1024,0.7236328125,0.81500244140625
original,ss_twibot20,U1_pre_meta/ridge,1024,0.7392578125,0.8232231140136719
original,ss_twibot20,M2_post_meta/prototype,1024,0.6796875,0.75067138671875
original,ss_twibot20,M2_post_meta/ridge,1024,0.6640625,0.7458152770996094
original,ss_twibot20,final_input/prototype,1024,0.6796875,0.75067138671875
original,ss_twibot20,final_input/ridge,1024,0.6640625,0.7458152770996094
original,ss_election2020,full_model,1024,0.59375,0.6424598693847656
original,ss_election2020,raw_center/prototype,1024,0.8427734375,0.9242534637451172
original,ss_election2020,raw_center/ridge,1024,0.83984375,0.9196071624755859
original,ss_election2020,raw_context/prototype,1024,0.7158203125,0.8020515441894531
original,ss_election2020,raw_context/ridge,1024,0.68359375,0.75311279296875
original,ss_election2020,raw_joint/prototype,1024,0.80078125,0.877685546875
original,ss_election2020,raw_joint/ridge,1024,0.82421875,0.9042205810546875
original,ss_election2020,S0_conv_center/prototype,1024,0.798828125,0.8896369934082031
original,ss_election2020,S0_conv_center/ridge,1024,0.8037109375,0.8839035034179688
original,ss_election2020,S0_pool/prototype,1024,0.7841796875,0.8711509704589844
original,ss_election2020,S0_pool/ridge,1024,0.78125,0.8698883056640625
original,ss_election2020,U1_pre_meta/prototype,1024,0.677734375,0.7536849975585938
original,ss_election2020,U1_pre_meta/ridge,1024,0.69140625,0.7671394348144531
original,ss_election2020,M2_post_meta/prototype,1024,0.552734375,0.5959243774414062
original,ss_election2020,M2_post_meta/ridge,1024,0.5634765625,0.6090240478515625
original,ss_election2020,final_input/prototype,1024,0.552734375,0.5959243774414062
original,ss_election2020,final_input/ridge,1024,0.5634765625,0.6090240478515625
fresh,ss_twibot20,full_model,1024,0.6806640625,0.7541389465332031
fresh,ss_twibot20,raw_center/prototype,1024,0.853515625,0.9321174621582031
fresh,ss_twibot20,raw_center/ridge,1024,0.8505859375,0.93011474609375
fresh,ss_twibot20,raw_context/prototype,1024,0.6865234375,0.7626399993896484
fresh,ss_twibot20,raw_context/ridge,1024,0.65625,0.7155590057373047
fresh,ss_twibot20,raw_joint/prototype,1024,0.8115234375,0.8696746826171875
fresh,ss_twibot20,raw_joint/ridge,1024,0.83203125,0.9037971496582031
fresh,ss_twibot20,S0_conv_center/prototype,1024,0.8154296875,0.8968582153320312
fresh,ss_twibot20,S0_conv_center/ridge,1024,0.8212890625,0.9008064270019531
fresh,ss_twibot20,S0_pool/prototype,1024,0.7783203125,0.8500823974609375
fresh,ss_twibot20,S0_pool/ridge,1024,0.7890625,0.859405517578125
fresh,ss_twibot20,U1_pre_meta/prototype,1024,0.7109375,0.7876853942871094
fresh,ss_twibot20,U1_pre_meta/ridge,1024,0.712890625,0.7993736267089844
fresh,ss_twibot20,M2_post_meta/prototype,1024,0.6591796875,0.7382240295410156
fresh,ss_twibot20,M2_post_meta/ridge,1024,0.6474609375,0.7389602661132812
fresh,ss_twibot20,final_input/prototype,1024,0.6591796875,0.7382240295410156
fresh,ss_twibot20,final_input/ridge,1024,0.6474609375,0.7389602661132812
fresh,ss_election2020,full_model,1024,0.599609375,0.6567001342773438
fresh,ss_election2020,raw_center/prototype,1024,0.853515625,0.9321174621582031
fresh,ss_election2020,raw_center/ridge,1024,0.8505859375,0.93011474609375
fresh,ss_election2020,raw_context/prototype,1024,0.6865234375,0.7626399993896484
fresh,ss_election2020,raw_context/ridge,1024,0.65625,0.7155590057373047
fresh,ss_election2020,raw_joint/prototype,1024,0.8115234375,0.8696746826171875
fresh,ss_election2020,raw_joint/ridge,1024,0.83203125,0.9037971496582031
fresh,ss_election2020,S0_conv_center/prototype,1024,0.798828125,0.8896026611328125
fresh,ss_election2020,S0_conv_center/ridge,1024,0.796875,0.8878860473632812
fresh,ss_election2020,S0_pool/prototype,1024,0.7978515625,0.8694648742675781
fresh,ss_election2020,S0_pool/ridge,1024,0.7978515625,0.8693771362304688
fresh,ss_election2020,U1_pre_meta/prototype,1024,0.685546875,0.7470779418945312
fresh,ss_election2020,U1_pre_meta/ridge,1024,0.685546875,0.7537574768066406
fresh,ss_election2020,M2_post_meta/prototype,1024,0.5732421875,0.6070709228515625
fresh,ss_election2020,M2_post_meta/ridge,1024,0.587890625,0.6193580627441406
fresh,ss_election2020,final_input/prototype,1024,0.5732421875,0.6070709228515625
fresh,ss_election2020,final_input/ridge,1024,0.587890625,0.6193580627441406
