stream,occurrence_index,label,pred_b,pred_c,correct_b,correct_c,outcome,loss_b_raw,loss_c_raw,loss_b_cal,loss_c_cal,c_minus_b_loss,prob1_b_cal,prob1_c_cal,global_node_id,context_nodes,incoming,outgoing,center_context_cosine,raw_center_prediction,raw_context_prediction,episode_id
original,0,0,0,0,True,True,both_correct,1.3269167745635814e-07,0.0008264286595968611,0.010591296678215144,0.06095679484487307,0.050365498166657925,0.010535406386469737,0.05913611093184553,147324,10,0,1,0.7566334,0,0,0
original,1,0,0,0,True,True,both_correct,0.0034924599939337563,0.02043878745742089,0.18019225230430783,0.1991363309256234,0.018944078621315585,0.1648903557763909,0.18056182904684628,116053,11,2,0,0.64388573,0,1,0
original,2,0,0,0,True,True,both_correct,2.554368163326329e-06,0.14427435206665457,0.024567105732514766,0.3945510142277337,0.36998390849521895,0.024267790503247007,0.32601742008530493,67446,0,0,0,0.0,0,0,0
original,3,0,0,0,True,True,both_correct,8.082259177686613e-08,0.0022222509980506784,0.00919369374573524,0.08842295359447443,0.07922925984873919,0.009151560960892717,0.08462636573259641,138003,18,0,2,0.7633953,0,0,0
original,4,1,1,1,True,True,both_correct,5.042188072066341e-08,0.008853715739306076,0.00803454893067845,0.14727206660630146,0.139237517675623,0.9919976417872561,0.8630591359013589,82939,2,2,0,0.62732375,1,1,0
original,5,1,1,1,True,True,both_correct,3.24702939294259e-07,0.17717901691410667,0.013669841555320632,0.4236410223856481,0.40997118083032746,0.9864231664448766,0.6546588476039502,46228,9,0,1,0.6204461,1,1,0
original,6,1,0,0,False,False,both_wrong,5.028933827140297,2.2305376542341793,1.6531906869793582,1.1885511690927084,-0.4646395178866498,0.19143811401949537,0.30466234868809816,35707,0,0,0,0.0,1,0,0
original,7,1,1,1,True,True,both_correct,3.721613514134552e-05,0.0017272337498441125,0.052245465699406524,0.08046597074605726,0.028220505046650732,0.9490958677664337,0.9226863013759908,138024,4,2,0,0.70299876,1,1,0
original,8,0,0,0,True,True,both_correct,0.0003404496482410033,0.01840963407521112,0.09640929052096542,0.19182920105218057,0.09541991053121515,0.09190773355971972,0.17455215792482387,144052,1,1,0,0.6560928,0,0,1
original,9,0,1,0,False,True,c_only,4.047203790319682,0.09212402493856817,1.429569440252055,0.33784752570537335,-1.0917219145466817,0.7605880187820724,0.28669595986251456,124886,2,0,1,0.8306052,0,0,1
original,10,0,0,0,True,True,both_correct,0.0027777479593173895,0.22741300228655908,0.16963891226699274,0.46205728555027054,0.2924183732832778,0.1560304913806082,0.37001375020078237,64633,1,0,1,0.48575652,0,0,1
original,11,0,1,1,False,False,both_wrong,1.3729294171438902,2.501937008801047,0.8601231837490118,1.2711876828853574,0.4110644991363457,0.5768900411635418,0.7195017191416369,57843,1,0,1,0.5533369,1,0,1
original,12,1,0,0,False,False,both_wrong,5.997169040289921,3.524307170063731,1.8843885581278537,1.590204359823075,-0.2941841983047786,0.15192192246105413,0.20388394179025515,14421,1,0,1,0.6201996,1,0,1
original,13,1,0,0,False,False,both_wrong,0.9198219568573436,1.557179559882391,0.7538846060565363,0.9832988997158341,0.22941429365929777,0.47053515420326575,0.37407502513665125,109431,26,11,0,0.6270735,1,0,1
original,14,1,0,1,False,True,c_only,1.6612867539776544,0.24987403688416243,0.9227092615124928,0.4775265752465342,-0.4451826862659586,0.39744081004895815,0.6203158003318064,9001,10,0,1,0.6214498,1,0,1
original,15,1,0,1,False,True,c_only,0.8737481768078056,0.06478852040369738,0.7421270149049074,0.2989963228866115,-0.4431306920182959,0.4761001656241526,0.7415621362380567,89566,1,0,1,0.6871294,1,1,1
original,16,0,0,0,True,True,both_correct,0.4918369586503384,0.1080460714358532,0.6301991392663996,0.3570092347876124,-0.2731899044787872,0.4675142483739973,0.30023396448594386,113121,5,0,2,0.7196802,0,0,2
original,17,0,0,1,True,False,b_only,0.0001018619050846865,0.7390084502073729,0.06914827586731338,0.7107857871376498,0.6416375112703364,0.06681169948534486,0.5087419784797856,69518,0,0,0,0.0,0,0,2
original,18,0,0,0,True,True,both_correct,0.055576096821634814,0.18961871305861014,0.3646358121853749,0.4337336736178345,0.0690978614324596,0.3055504851186182,0.3519151654075208,52334,0,0,0,0.0,0,0,2
original,19,0,0,0,True,True,both_correct,1.2064385282960778e-06,0.00795511765984356,0.019857706538177054,0.14163761188562646,0.1217799053474494,0.01966184090702333,0.1320642709058314,69382,0,0,0,0.0,0,0,2
original,20,1,1,1,True,True,both_correct,0.0005340949448538836,0.27560333188235014,0.10900538643420447,0.4942427055831795,0.385237319148975,0.8967255873318511,0.6100327067780756,81792,28,0,3,0.90130204,1,1,2
original,21,1,1,1,True,True,both_correct,0.00010785716753549511,0.017413403266253364,0.07025282326451651,0.18804396039080362,0.11779113712628711,0.9321581188531949,0.8285782818069689,37646,10,0,1,0.75137794,1,1,2
original,22,1,1,1,True,True,both_correct,0.00014706118544137963,0.6126923452971541,0.07654349899320624,0.6609468495963904,0.5844033506031842,0.9263126197460892,0.5163621856259895,90078,10,0,1,0.8782671,1,1,2
original,23,1,1,1,True,True,both_correct,1.3941889440358595e-05,0.1539023616277844,0.039671676436557154,0.40346916115998055,0.3637974847234234,0.961104940755175,0.6679986267841327,74905,20,3,2,0.74324787,1,1,2
original,24,0,0,0,True,True,both_correct,0.0016761600061133224,0.39602759877479704,0.14834523684716,0.5623355808864685,0.4139903440393085,0.13786657666695668,0.4301234843800539,124827,40,6,0,0.7755222,0,1,3
