stream,model,decoder,full_model_outcome,n,conditional_accuracy
original,ss_twibot20,full_model,both_correct,446,1.0
original,ss_twibot20,full_model,b_only,265,1.0
original,ss_twibot20,full_model,c_only,162,0.0
original,ss_twibot20,full_model,both_wrong,151,0.0
original,ss_twibot20,raw_center/prototype,both_correct,446,0.9103139013452914
original,ss_twibot20,raw_center/prototype,b_only,265,0.8490566037735849
original,ss_twibot20,raw_center/prototype,c_only,162,0.7530864197530864
original,ss_twibot20,raw_center/prototype,both_wrong,151,0.7284768211920529
original,ss_twibot20,raw_center/ridge,both_correct,446,0.905829596412556
original,ss_twibot20,raw_center/ridge,b_only,265,0.8490566037735849
original,ss_twibot20,raw_center/ridge,c_only,162,0.7530864197530864
original,ss_twibot20,raw_center/ridge,both_wrong,151,0.7218543046357616
original,ss_twibot20,raw_context/prototype,both_correct,446,0.8295964125560538
original,ss_twibot20,raw_context/prototype,b_only,265,0.7018867924528301
original,ss_twibot20,raw_context/prototype,c_only,162,0.6111111111111112
original,ss_twibot20,raw_context/prototype,both_wrong,151,0.5165562913907285
original,ss_twibot20,raw_context/ridge,both_correct,446,0.8004484304932735
original,ss_twibot20,raw_context/ridge,b_only,265,0.6339622641509434
original,ss_twibot20,raw_context/ridge,c_only,162,0.6172839506172839
original,ss_twibot20,raw_context/ridge,both_wrong,151,0.4966887417218543
original,ss_twibot20,raw_joint/prototype,both_correct,446,0.905829596412556
original,ss_twibot20,raw_joint/prototype,b_only,265,0.7773584905660378
original,ss_twibot20,raw_joint/prototype,c_only,162,0.7160493827160493
original,ss_twibot20,raw_joint/prototype,both_wrong,151,0.6225165562913907
original,ss_twibot20,raw_joint/ridge,both_correct,446,0.9237668161434978
original,ss_twibot20,raw_joint/ridge,b_only,265,0.8150943396226416
original,ss_twibot20,raw_joint/ridge,c_only,162,0.7283950617283951
original,ss_twibot20,raw_joint/ridge,both_wrong,151,0.6490066225165563
original,ss_twibot20,S0_conv_center/prototype,both_correct,446,0.8766816143497758
original,ss_twibot20,S0_conv_center/prototype,b_only,265,0.8264150943396227
original,ss_twibot20,S0_conv_center/prototype,c_only,162,0.5864197530864198
original,ss_twibot20,S0_conv_center/prototype,both_wrong,151,0.5695364238410596
original,ss_twibot20,S0_conv_center/ridge,both_correct,446,0.8946188340807175
original,ss_twibot20,S0_conv_center/ridge,b_only,265,0.8150943396226416
original,ss_twibot20,S0_conv_center/ridge,c_only,162,0.6358024691358025
original,ss_twibot20,S0_conv_center/ridge,both_wrong,151,0.5960264900662252
original,ss_twibot20,S0_pool/prototype,both_correct,446,0.9484304932735426
original,ss_twibot20,S0_pool/prototype,b_only,265,0.8830188679245283
original,ss_twibot20,S0_pool/prototype,c_only,162,0.47530864197530864
original,ss_twibot20,S0_pool/prototype,both_wrong,151,0.40397350993377484
original,ss_twibot20,S0_pool/ridge,both_correct,446,0.9439461883408071
original,ss_twibot20,S0_pool/ridge,b_only,265,0.8452830188679246
original,ss_twibot20,S0_pool/ridge,c_only,162,0.5308641975308642
original,ss_twibot20,S0_pool/ridge,both_wrong,151,0.39072847682119205
original,ss_twibot20,U1_pre_meta/prototype,both_correct,446,0.9484304932735426
original,ss_twibot20,U1_pre_meta/prototype,b_only,265,0.9056603773584906
original,ss_twibot20,U1_pre_meta/prototype,c_only,162,0.25308641975308643
original,ss_twibot20,U1_pre_meta/prototype,both_wrong,151,0.24503311258278146
original,ss_twibot20,U1_pre_meta/ridge,both_correct,446,0.9484304932735426
original,ss_twibot20,U1_pre_meta/ridge,b_only,265,0.909433962264151
original,ss_twibot20,U1_pre_meta/ridge,c_only,162,0.3148148148148148
original,ss_twibot20,U1_pre_meta/ridge,both_wrong,151,0.2781456953642384
original,ss_twibot20,M2_post_meta/prototype,both_correct,446,0.8542600896860987
original,ss_twibot20,M2_post_meta/prototype,b_only,265,0.8641509433962264
original,ss_twibot20,M2_post_meta/prototype,c_only,162,0.2839506172839506
original,ss_twibot20,M2_post_meta/prototype,both_wrong,151,0.26490066225165565
original,ss_twibot20,M2_post_meta/ridge,both_correct,446,0.8385650224215246
original,ss_twibot20,M2_post_meta/ridge,b_only,265,0.8113207547169812
original,ss_twibot20,M2_post_meta/ridge,c_only,162,0.3148148148148148
original,ss_twibot20,M2_post_meta/ridge,both_wrong,151,0.26490066225165565
original,ss_twibot20,final_input/prototype,both_correct,446,0.8542600896860987
original,ss_twibot20,final_input/prototype,b_only,265,0.8641509433962264
original,ss_twibot20,final_input/prototype,c_only,162,0.2839506172839506
original,ss_twibot20,final_input/prototype,both_wrong,151,0.26490066225165565
original,ss_twibot20,final_input/ridge,both_correct,446,0.8385650224215246
original,ss_twibot20,final_input/ridge,b_only,265,0.8113207547169812
original,ss_twibot20,final_input/ridge,c_only,162,0.3148148148148148
original,ss_twibot20,final_input/ridge,both_wrong,151,0.26490066225165565
original,ss_election2020,full_model,both_correct,446,1.0
original,ss_election2020,full_model,b_only,265,0.0
