stream,model,full_model_outcome,n,raw_joint_ridge_accuracy,u1_ridge_accuracy,full_accuracy,encoder_repairs_rate,encoder_breaks_rate,inference_repairs_rate,inference_breaks_rate
original,ss_twibot20,all,1024,0.82421875,0.7392578125,0.6943359375,0.0830078125,0.16796875,0.0458984375,0.0908203125
original,ss_twibot20,both_correct,446,0.9237668161434978,0.9484304932735426,1.0,0.06278026905829596,0.03811659192825112,0.0515695067264574,0.0
original,ss_twibot20,b_only,265,0.8150943396226416,0.909433962264151,1.0,0.1509433962264151,0.05660377358490566,0.09056603773584905,0.0
original,ss_twibot20,c_only,162,0.7283950617283951,0.3148148148148148,0.0,0.08024691358024691,0.49382716049382713,0.0,0.3148148148148148
original,ss_twibot20,both_wrong,151,0.6490066225165563,0.2781456953642384,0.0,0.026490066225165563,0.3973509933774834,0.0,0.2781456953642384
original,ss_election2020,all,1024,0.82421875,0.69140625,0.59375,0.0771484375,0.2099609375,0.09375,0.19140625
original,ss_election2020,both_correct,446,0.9237668161434978,0.8587443946188341,1.0,0.042600896860986545,0.10762331838565023,0.1412556053811659,0.0
original,ss_election2020,b_only,265,0.8150943396226416,0.5056603773584906,0.0,0.06037735849056604,0.36981132075471695,0.0,0.5056603773584906
original,ss_election2020,c_only,162,0.7283950617283951,0.7962962962962963,1.0,0.1728395061728395,0.10493827160493827,0.2037037037037037,0.0
original,ss_election2020,both_wrong,151,0.6490066225165563,0.4105960264900662,0.0,0.10596026490066225,0.3443708609271523,0.0,0.4105960264900662
fresh,ss_twibot20,all,1024,0.83203125,0.712890625,0.6806640625,0.0712890625,0.1904296875,0.046875,0.0791015625
fresh,ss_twibot20,both_correct,439,0.908883826879271,0.9567198177676538,1.0,0.08428246013667426,0.03644646924829157,0.04328018223234624,0.0
fresh,ss_twibot20,b_only,258,0.8682170542635659,0.8875968992248062,1.0,0.09689922480620156,0.07751937984496124,0.1124031007751938,0.0
fresh,ss_twibot20,c_only,175,0.7485714285714286,0.2742857142857143,0.0,0.03428571428571429,0.5085714285714286,0.0,0.2742857142857143
fresh,ss_twibot20,both_wrong,152,0.6447368421052632,0.21710526315789475,0.0,0.03289473684210526,0.4605263157894737,0.0,0.21710526315789475
fresh,ss_election2020,all,1024,0.83203125,0.685546875,0.599609375,0.07421875,0.220703125,0.095703125,0.181640625
fresh,ss_election2020,both_correct,439,0.908883826879271,0.8792710706150342,1.0,0.06150341685649203,0.09111617312072894,0.12072892938496584,0.0
fresh,ss_election2020,b_only,258,0.8682170542635659,0.5193798449612403,0.0,0.046511627906976744,0.3953488372093023,0.0,0.5193798449612403
fresh,ss_election2020,c_only,175,0.7485714285714286,0.7428571428571429,1.0,0.16,0.1657142857142857,0.2571428571428571,0.0
fresh,ss_election2020,both_wrong,152,0.6447368421052632,0.34210526315789475,0.0,0.05921052631578947,0.3618421052631579,0.0,0.34210526315789475
