selection,stream,occurrence_index,label,pred_b,pred_c,correct_b,correct_c,outcome,loss_b_raw,loss_c_raw,loss_b_cal,loss_c_cal,c_minus_b_loss,prob1_b_cal,prob1_c_cal,global_node_id,context_nodes,incoming,outgoing,center_context_cosine,raw_center_prediction,raw_context_prediction,episode_id
b_only_largest_advantage,original,848,0,0,1,True,False,b_only,0.49500258690469257,5.775288446453583,0.6312898758644908,2.350322518756287,1.7190326428917961,0.46809473343555674,0.9046615911684982,19590,1,0,1,0.3884073,0,0,106
b_only_largest_advantage,original,919,1,1,0,True,False,b_only,0.00013382189550785678,3.8884493410406824,0.07457406410084519,1.7077468929834536,1.6331728288826084,0.9281387297527934,0.18127376203030687,132636,1,0,1,0.68430066,1,1,114
b_only_largest_advantage,original,142,1,1,0,True,False,b_only,0.0007337212028050715,3.2294607552484154,0.11880971868300641,1.49662839756751,1.3778186788845037,0.8879767500729552,0.2238837360043739,105894,2,1,0,0.7776763,1,0,17
b_only_largest_advantage,original,174,1,1,0,True,False,b_only,0.00476999869553122,2.965211549597796,0.19553163954644406,1.4139172076431104,1.2183855680966662,0.8223973228742506,0.2431887939054574,7699,4,0,1,0.5652559,1,1,21
b_only_largest_advantage,original,82,0,0,1,True,False,b_only,0.03291634559363488,3.3154863546080815,0.32017602189950295,1.523786126298269,1.2036101043987661,0.27397876981040176,0.7821146182608455,107894,0,0,0,0.0,0,0,10
b_only_largest_advantage,original,35,0,0,1,True,False,b_only,0.0019593805099350657,2.783146067912543,0.15464586053511287,1.357511729268447,1.2028658687333342,0.1432814783938188,0.7426997863313037,14577,20,0,2,0.7856855,0,0,4
b_only_largest_advantage,original,654,1,1,0,True,False,b_only,0.002647973787234967,2.7317807970498564,0.1675069143374475,1.3416765207301835,1.174169606392736,0.8457707693241244,0.2614070466709412,135707,1,0,1,0.52408075,1,0,81
b_only_largest_advantage,original,446,1,1,0,True,False,b_only,0.14105086196472733,3.2852556187791153,0.45865615800223347,1.514229130477107,1.0555729724748735,0.6321325612588258,0.21997769360451644,125870,37,0,4,0.58041775,1,1,55
b_only_largest_advantage,original,838,1,1,0,True,False,b_only,0.05417448537286876,2.977633872410234,0.36234100964937066,1.4177823575192712,1.0554413478699005,0.6960449693155449,0.24225064697599857,125605,0,0,0,0.0,1,0,104
b_only_largest_advantage,original,636,1,1,0,True,False,b_only,0.003595632837209547,2.3668478191011877,0.18157658820974867,1.2299934336911043,1.0484168454813556,0.8339543717851845,0.2922944969705137,78087,0,0,0,0.0,1,0,79
b_only_largest_advantage,original,588,1,1,0,True,False,b_only,5.025235785974257e-05,1.9512291178209962,0.05681478166314756,1.1037787309150784,1.046963949251931,0.9447690417125953,0.33161562695384833,143365,5,0,1,0.7785401,1,1,73
b_only_largest_advantage,original,634,0,0,1,True,False,b_only,0.00014355482773872075,1.8991922868838178,0.07603500789015596,1.087967672668858,1.0119326647787021,0.07321623875264739,0.6630995095066728,46831,2,2,0,0.59009016,0,0,79
c_only_largest_advantage,original,950,1,0,1,False,True,c_only,10.915632628030435,0.36103719281492086,3.1739410493964684,0.5439367486610076,-2.630004300735461,0.04183838541839909,0.5804586287651362,42020,2,0,1,0.7317411,1,1,118
c_only_largest_advantage,original,321,0,1,0,False,True,c_only,9.291048747713802,0.32584711754641826,2.732434136000451,0.5243934597629615,-2.2080406762374896,0.934939269896716,0.40808572466629234,111157,2,0,2,0.6985968,0,0,40
c_only_largest_advantage,original,930,0,1,0,False,True,c_only,7.684156911181628,0.24680693933527373,2.3087835617709764,0.47546569295333435,-1.8333178688176421,0.900617929789982,0.3784044835999429,38387,10,0,1,0.70260143,0,0,116
