model_id	rung	seed	schedule	sources	order	segment_sources	segment_steps	source_counts
r2_blocked_s0	2	0	blocked	ukr_rus,covid	ukr_rus,covid	ukr_rus,covid	1250,1250	1250,1250
r2_replay100_s0	2	0	replay100	ukr_rus,covid	ukr_rus,covid	ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid,ukr_rus,covid	100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50	1250,1250
