train_source,target,in_training,loss,accuracy,positive_probability,negative_probability,probability_margin,prompt_slot,eval_seed,nodes,checkpoint_sha256
ukr_rus_twitter,ukr_rus_twitter,True,0.00039731874130666256,0.9999933242797852,0.9993459582328796,0.00012386339949443936,0.9992220997810364,0,10039,150000,4a17e434794dadc27f9b0b6965846946bed00d7abe500dd7ff9bc4d1411e9c44
ukr_rus_twitter,covid19_twitter,False,0.0274775642901659,0.9893866777420044,0.9999997615814209,0.03448621928691864,0.9655135273933411,1,10040,150000,4a17e434794dadc27f9b0b6965846946bed00d7abe500dd7ff9bc4d1411e9c44
ukr_rus_twitter,midterm,False,0.031368907541036606,0.9877833127975464,0.9998875260353088,0.03511614724993706,0.9647713899612427,2,10041,150000,4a17e434794dadc27f9b0b6965846946bed00d7abe500dd7ff9bc4d1411e9c44
ukr_rus_twitter,covid_political,False,0.25311973690986633,0.9435758590698242,1.0,0.1165454164147377,0.8834545612335205,3,10042,78672,4a17e434794dadc27f9b0b6965846946bed00d7abe500dd7ff9bc4d1411e9c44
ukr_rus_twitter,election2020,False,0.5719208717346191,0.8157844543457031,0.9999992251396179,0.3821057677268982,0.6178934574127197,4,10043,78932,4a17e434794dadc27f9b0b6965846946bed00d7abe500dd7ff9bc4d1411e9c44
ukr_rus_twitter,ukr_rus_suspended,False,0.09039764106273651,0.9788989424705505,0.9740126729011536,0.025884050875902176,0.9481286406517029,5,10044,72295,4a17e434794dadc27f9b0b6965846946bed00d7abe500dd7ff9bc4d1411e9c44
ukr_rus_twitter,twibot20,False,0.03418295457959175,0.9868166446685791,0.9999390840530396,0.049765221774578094,0.9501738548278809,6,10045,150000,4a17e434794dadc27f9b0b6965846946bed00d7abe500dd7ff9bc4d1411e9c44
ukr_rus_twitter,cp_hk_twitter,False,0.004722988232970238,0.9998499751091003,0.9999147653579712,0.00849450845271349,0.9914202690124512,7,10046,150000,4a17e434794dadc27f9b0b6965846946bed00d7abe500dd7ff9bc4d1411e9c44
ukr_rus_twitter,facebook_page_reference,False,0.0210359375923872,0.9968433380126953,0.999518096446991,0.006140830926597118,0.9933772683143616,8,10047,150000,4a17e434794dadc27f9b0b6965846946bed00d7abe500dd7ff9bc4d1411e9c44
covid19_twitter,ukr_rus_twitter,False,0.01000553835183382,0.9958500266075134,0.9843783378601074,0.0002384280669502914,0.9841399192810059,0,10039,150000,30db427223299f854b1fa145a7b7bfa107df303b25ec9a62de9fa7c69f8031a9
covid19_twitter,covid19_twitter,True,0.00014078208187129349,0.9999933242797852,0.9998173117637634,3.0019366022315808e-05,0.9997872710227966,1,10040,150000,30db427223299f854b1fa145a7b7bfa107df303b25ec9a62de9fa7c69f8031a9
covid19_twitter,midterm,False,0.0010718265548348427,0.9998499751091003,0.9988208413124084,0.0005852400790899992,0.9982355833053589,2,10041,150000,30db427223299f854b1fa145a7b7bfa107df303b25ec9a62de9fa7c69f8031a9
covid19_twitter,covid_political,False,0.34376397728919983,0.9670912027359009,0.9999994039535522,0.06656339019536972,0.9334360361099243,3,10042,78672,30db427223299f854b1fa145a7b7bfa107df303b25ec9a62de9fa7c69f8031a9
covid19_twitter,election2020,False,0.0006967408116906881,1.0,0.9994096755981445,0.0007989222649484873,0.9986107349395752,4,10043,78932,30db427223299f854b1fa145a7b7bfa107df303b25ec9a62de9fa7c69f8031a9
covid19_twitter,ukr_rus_suspended,False,0.43911662697792053,0.9476519227027893,0.972572386264801,0.08117260038852692,0.8913998007774353,5,10044,72295,30db427223299f854b1fa145a7b7bfa107df303b25ec9a62de9fa7c69f8031a9
covid19_twitter,twibot20,False,0.00358121981844306,0.9994566440582275,0.9982753992080688,0.004800164606422186,0.9934752583503723,6,10045,150000,30db427223299f854b1fa145a7b7bfa107df303b25ec9a62de9fa7c69f8031a9
covid19_twitter,cp_hk_twitter,False,0.00216465350240469,0.9988266825675964,0.9973441362380981,0.0008377717458643019,0.99650639295578,7,10046,150000,30db427223299f854b1fa145a7b7bfa107df303b25ec9a62de9fa7c69f8031a9
covid19_twitter,facebook_page_reference,False,0.45088115334510803,0.961430013179779,0.9995073080062866,0.07983963191509247,0.919667661190033,8,10047,150000,30db427223299f854b1fa145a7b7bfa107df303b25ec9a62de9fa7c69f8031a9
midterm,ukr_rus_twitter,False,0.0035201667342334986,0.9999866485595703,0.9957047700881958,0.002401511650532484,0.9933032393455505,0,10039,150000,bd2751a3ab235ec19061f1d2476fb6e0741faeab4b716eff1ccf7beeff71d104
midterm,covid19_twitter,False,0.000486374570755288,1.0,0.9999985098838806,0.0009695810731500387,0.9990289211273193,1,10040,150000,bd2751a3ab235ec19061f1d2476fb6e0741faeab4b716eff1ccf7beeff71d104
midterm,midterm,True,0.0002651795221026987,0.9999433159828186,0.9996112585067749,5.0547721912153065e-05,0.9995607137680054,2,10041,150000,bd2751a3ab235ec19061f1d2476fb6e0741faeab4b716eff1ccf7beeff71d104
midterm,covid_political,False,0.16047579050064087,0.9765227437019348,1.0,0.048310913145542145,0.9516890645027161,3,10042,78672,bd2751a3ab235ec19061f1d2476fb6e0741faeab4b716eff1ccf7beeff71d104
