source,target,task,shots,n_way,split,accuracy,roc_auc,is_self,eval_run_dir,indegree_ks,outdegree_ks,feat_centroid_cosdist,feat_frechet,feat_mmd2,proxy_a_distance,homophily_gap
covid,covid,nm,3,30,test,0.6641,0.9815,True,eval_nm_matrix_covid_to_covid19_twitter_nm_3shot_30way_30_06_2026_01_01_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covid,ukr,nm,3,30,test,0.4589,0.9245,False,eval_nm_matrix_covid_to_ukr_rus_twitter_nm_3shot_30way_30_06_2026_00_49_57,0.02183999999999997,0.03079999999999994,0.001045823097229004,0.020562823291776975,0.0007489431837538474,0.19333333333333336,0.008344292640686035
covid,midterm,nm,3,30,test,0.3126,0.8837,False,eval_nm_matrix_covid_to_midterm_nm_3shot_30way_30_06_2026_11_01_18,0.05457999999999996,0.09560000000000002,0.014151036739349365,0.05168411530632126,0.013257297329239193,0.8399999999999999,-0.03213798999786377
covid,cp_hk,nm,3,30,test,0.1572,0.7169,False,eval_nm_matrix_covid_to_cp_hk_twitter_nm_3shot_30way_02_07_2026_11_50_04,0.14222,0.11592000000000002,0.017424046993255615,0.07058503160666504,0.013850514624808463,1.0566666666666666,-0.006275832653045654
covid,twibot20,nm,3,30,test,0.4062,0.924,False,eval_nm_matrix_covid_to_twibot20_nm_3shot_30way_02_07_2026_08_19_29,0.21607999999999994,0.39936000000000005,0.004548013210296631,0.03292125477023764,0.0033336378193951077,0.5583333333333331,-0.030635535717010498
ukr,covid,nm,3,30,test,0.6142,0.9741,False,eval_nm_matrix_ukr_to_covid19_twitter_nm_3shot_30way_30_06_2026_00_57_28,0.026160000000000072,0.026540000000000008,0.001045823097229004,0.02056282329176083,0.0006076934693215463,0.19333333333333336,-0.008344292640686035
ukr,ukr,nm,3,30,test,0.5151,0.9497,True,eval_nm_matrix_ukr_to_ukr_rus_twitter_nm_3shot_30way_30_06_2026_00_47_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ukr,midterm,nm,3,30,test,0.3079,0.884,False,eval_nm_matrix_ukr_to_midterm_nm_3shot_30way_30_06_2026_10_59_51,0.03499999999999992,0.10021999999999998,0.01206672191619873,0.04609582136724957,0.009452736531888606,0.7549999999999999,-0.040482282638549805
ukr,cp_hk,nm,3,30,test,0.1577,0.7186,False,eval_nm_matrix_ukr_to_cp_hk_twitter_nm_3shot_30way_02_07_2026_11_50_04,0.11565999999999999,0.11706000000000005,0.02055227756500244,0.07591846728030219,0.014692980460337735,1.0733333333333333,-0.01462012529373169
ukr,twibot20,nm,3,30,test,0.3987,0.9235,False,eval_nm_matrix_ukr_to_twibot20_nm_3shot_30way_02_07_2026_08_18_03,0.23497999999999997,0.38042,0.005118668079376221,0.03459323169644073,0.0034294401260468454,0.6150000000000002,-0.03897982835769653
midterm,covid,nm,3,30,test,0.3183,0.8792,False,eval_nm_cm_midterm_to_covid19_twitter_nm_3shot_30way_29_06_2026_23_00_16,0.05579999999999996,0.1008,0.014151036739349365,0.05168411530637319,0.01350128149676011,0.8133333333333335,0.03213798999786377
midterm,ukr,nm,3,30,test,0.2256,0.7935,False,eval_nm_cm_midterm_to_ukr_rus_twitter_nm_3shot_30way_30_06_2026_11_00_14,0.03693999999999997,0.10239999999999994,0.01206672191619873,0.046095821367312495,0.010422595364911413,0.81,0.040482282638549805
midterm,midterm,nm,3,30,test,0.4171,0.926,True,eval_nm_cm_midterm_to_midterm_nm_3shot_30way_29_06_2026_23_26_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midterm,cp_hk,nm,3,30,test,0.1236,0.6576,False,eval_nm_cm_midterm_to_cp_hk_twitter_nm_3shot_30way_02_07_2026_11_51_57,0.08538000000000001,0.04580000000000001,0.03788304328918457,0.1081125156460415,0.03215376962293259,1.3716666666666666,0.025862157344818115
midterm,twibot20,nm,3,30,test,0.2634,0.8651,False,eval_nm_cm_midterm_to_twibot20_nm_3shot_30way_02_07_2026_08_25_38,0.26682000000000006,0.47807999999999995,0.011127710342407227,0.04746306539285389,0.0110585743715097,0.8766666666666665,0.0015024542808532715
twibot20,covid,nm,3,30,test,0.4998,0.9404,False,eval_nm_twibot20_to_covid19_twitter_nm_3shot_30way_02_07_2026_10_50_48,0.2076800000000001,0.40132,0.004548013210296631,0.0329212547702854,0.003632947691687427,0.5916666666666668,0.030635535717010498
twibot20,ukr,nm,3,30,test,0.3396,0.8523,False,eval_nm_twibot20_to_ukr_rus_twitter_nm_3shot_30way_02_07_2026_10_53_58,0.23540000000000005,0.38499999999999995,0.005118668079376221,0.034593231696422054,0.005008973078207468,0.6166666666666667,0.03897982835769653
twibot20,midterm,nm,3,30,test,0.2698,0.8475,False,eval_nm_twibot20_to_midterm_nm_3shot_30way_02_07_2026_10_49_28,0.2671,0.47997999999999996,0.011127710342407227,0.047463065392836755,0.010507821272562667,0.8966666666666665,-0.0015024542808532715
twibot20,cp_hk,nm,3,30,test,0.1306,0.6708,False,eval_nm_twibot20_to_cp_hk_twitter_nm_3shot_30way_02_07_2026_11_53_57,0.34968,0.49156,0.019626855850219727,0.07822102041514528,0.015034460990875242,1.1549999999999998,0.024359703063964844
twibot20,twibot20,nm,3,30,test,0.4839,0.9507,True,eval_nm_twibot20_to_twibot20_nm_3shot_30way_02_07_2026_11_08_36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
