architecture,baseline,baseline_mean_roc_auc,update100_mean_roc_auc,mean_delta,update100_cells_above_baseline_fraction
prodigy,topology_degree_prototype,0.5785237948099772,0.5840374708460508,0.005513676036073613,0.4838709677419355
prodigy,topology_degree_logistic,0.5913815145139342,0.5840374708460508,-0.007344043667883323,0.2661290322580645
vision,topology_degree_prototype,0.5785237948099772,0.7390682512144319,0.16054445640445467,0.5161290322580645
vision,topology_degree_logistic,0.5913815145139342,0.7390682512144319,0.14768673670049776,0.532258064516129
gilt,topology_degree_prototype,0.5785237948099772,0.6831340151733253,0.10461022036334806,0.5
gilt,topology_degree_logistic,0.5913815145139342,0.6831340151733253,0.09175250065939113,0.5
