model,mean_pp,median_pp,win_fraction,n
PRODIGY / NM,-0.8286257143373849,-0.37078857421875,0.35,180
GraphSAGE / LP,-1.1200687170574348,-0.2955124228646522,0.3111111111111111,180
GraphSAGE / GraphMAE,-0.3225088814523643,-0.1586456411084458,0.38333333333333336,180
SAMGPT / GraphCL,-1.3929732988383796,-0.518120659722221,0.25555555555555554,180
